"",,,,"1958-1962",,,,"1963-1967",,,,"1968-1972",,,,"1973-1977",,,,"1978-1982",,,,"1983-1987",,,,"1988-1992",,,,"1993-1997",,,,"1998-2002",,,,"2003-2007",,,,"2008-2012",,,,"2013-2017",,
"Total population (1000 inhab)","Antigua and Barbuda","Americas | Central America and Caribbean | Lesser Antilles and Bahamas",1962,57.14,"E",,1967,63.36,"E",,1972,69.18,"E",,1977,72.88,"E",,1982,72.45,"E",,1987,67.84,"E",,1992,68.43,"E",,1997,77.74,"E",,2002,86.27,"E",,2007,91.38,"E",,2012,96.78,"E",,2017,102.0,"E",
"Total population (1000 inhab)","Bahamas","Americas | Central America and Caribbean | Lesser Antilles and Bahamas",1962,121.1,"E",,1967,152.6,"E",,1972,177.8,"E",,1977,197.1,"E",,1982,220.3,"E",,1987,243.4,"E",,1992,266.1,"E",,1997,287.0,"E",,2002,309.2,"E",,2007,342.3,"E",,2012,372.0,"E",,2017,395.4,"E",
"Total population (1000 inhab)","Barbados","Americas | Central America and Caribbean | Lesser Antilles and Bahamas",1962,232.6,"E",,1967,236.6,"E",,1972,241.4,"E",,1977,248.8,"E",,1982,253.8,"E",,1987,257.6,"E",,1992,262.2,"E",,1997,266.9,"E",,2002,271.5,"E",,2007,276.2,"E",,2012,281.6,"E",,2017,285.7,"E",
"Total population (1000 inhab)","Dominica","Americas | Central America and Caribbean | Lesser Antilles and Bahamas",1962,61.98,"E",,1967,67.69,"E",,1972,71.73,"E",,1977,73.41,"E",,1982,75.17,"E",,1987,72.37,"E",,1992,70.97,"E",,1997,70.75,"E",,2002,69.82,"E",,2007,70.95,"E",,2012,72.04,"E",,2017,73.92,"E",
"Total population (1000 inhab)","Grenada","Americas | Central America and Caribbean | Lesser Antilles and Bahamas",1962,92.42,"E",,1967,94.96,"E",,1972,93.93,"E",,1977,90.18,"E",,1982,93.09,"E",,1987,99.38,"E",,1992,97.2,"E",,1997,101.1,"E",,2002,102.1,"E",,2007,103.6,"E",,2012,105.5,"E",,2017,107.8,"E",
"Total population (1000 inhab)","Saint Kitts and Nevis","Americas | Central America and Caribbean | Lesser Antilles and Bahamas",1962,50.97,"E",,1967,47.38,"E",,1972,44.33,"E",,1977,43.94,"E",,1982,42.76,"E",,1987,41.35,"E",,1992,41.36,"E",,1997,43.85,"E",,2002,46.64,"E",,2007,49.78,"E",,2012,52.59,"E",,2017,55.34,"E",
"Total population (1000 inhab)","Saint Lucia","Americas | Central America and Caribbean | Lesser Antilles and Bahamas",1962,92.08,"E",,1967,99.53,"E",,1972,106.5,"E",,1977,112.8,"E",,1982,121.2,"E",,1987,131.0,"E",,1992,141.9,"E",,1997,151.1,"E",,2002,159.8,"E",,2007,167.3,"E",,2012,174.8,"E",,2017,178.8,"E",
"Total population (1000 inhab)","Saint Vincent and the Grenadines","Americas | Central America and Caribbean | Lesser Antilles and Bahamas",1962,83.21,"E",,1967,87.74,"E",,1972,92.46,"E",,1977,97.65,"E",,1982,102.2,"E",,1987,105.9,"E",,1992,108.0,"E",,1997,108.0,"E",,2002,108.1,"E",,2007,109.0,"E",,2012,109.3,"E",,2017,109.9,"E",
"Total population (1000 inhab)","Trinidad and Tobago","Americas | Central America and Caribbean | Lesser Antilles and Bahamas",1962,880.0,"E",,1967,925.9,"E",,1972,968.7,"E",,1977,1040.0,"E",,1982,1121.0,"E",,1987,1195.0,"E",,1992,1237.0,"E",,1997,1261.0,"E",,2002,1278.0,"E",,2007,1309.0,"E",,2012,1342.0,"E",,2017,1369.0,"E",
"Total population (1000 inhab)","Canada","Americas | Northern America | Northern America",1962,18669.0,"E",,1967,20401.0,"E",,1972,22156.0,"E",,1977,23742.0,"E",,1982,25041.0,"E",,1987,26570.0,"E",,1992,28384.0,"E",,1997,29903.0,"E",,2002,31321.0,"E",,2007,33020.0,"E",,2012,34901.0,"E",,2017,36624.0,"E",
"Total population (1000 inhab)","United States of America","Americas | Northern America | Northern America",1962,192398.0,"E",,1967,203982.0,"E",,1972,213352.0,"E",,1977,223324.0,"E",,1982,234133.0,"E",,1987,245403.0,"E",,1992,257454.0,"E",,1997,272137.0,"E",,2002,287507.0,"E",,2007,300595.0,"E",,2012,313335.0,"E",,2017,324459.0,"E",
"Total population (1000 inhab)","Mexico","Americas | Northern America | Mexico",1962,40650.0,"E",,1967,47430.0,"E",,1972,55478.0,"E",,1977,64346.0,"E",,1982,72603.0,"E",,1987,80503.0,"E",,1992,88828.0,"E",,1997,97282.0,"E",,2002,104356.0,"E",,2007,111836.0,"E",,2012,120828.0,"E",,2017,129163.0,"E",
"Total population (1000 inhab)","Guyana","Americas | Southern America | Guyana",1962,606.3,"E",,1967,675.9,"E",,1972,721.9,"E",,1977,762.4,"E",,1982,781.2,"E",,1987,757.5,"E",,1992,748.1,"E",,1997,760.5,"E",,2002,751.9,"E",,2007,747.9,"E",,2012,753.1,"E",,2017,777.9,"E",
"Total population (1000 inhab)","Suriname","Americas | Southern America | Guyana",1962,306.3,"E",,1967,350.8,"E",,1972,371.3,"E",,1977,361.0,"E",,1982,364.0,"E",,1987,383.7,"E",,1992,422.8,"E",,1997,456.0,"E",,2002,483.0,"E",,2007,509.7,"E",,2012,537.1,"E",,2017,563.4,"E",
"Total population (1000 inhab)","Bolivia (Plurinational State of)","Americas | Southern America | Andean",1962,3838.0,"E",,1967,4237.0,"E",,1972,4698.0,"E",,1977,5234.0,"E",,1982,5835.0,"E",,1987,6465.0,"E",,1992,7132.0,"E",,1997,7871.0,"E",,2002,8653.0,"E",,2007,9441.0,"E",,2012,10239.0,"E",,2017,11052.0,"E",
"Total population (1000 inhab)","Colombia","Americas | Southern America | Andean",1962,17500.0,"E",,1967,20311.0,"E",,1972,23147.0,"E",,1977,25905.0,"E",,1982,29027.0,"E",,1987,32324.0,"E",,1992,35559.0,"E",,1997,38645.0,"E",,2002,41572.0,"E",,2007,44375.0,"E",,2012,46881.0,"E",,2017,49066.0,"E",
"Total population (1000 inhab)","Ecuador","Americas | Southern America | Andean",1962,4813.0,"E",,1967,5566.0,"E",,1972,6429.0,"E",,1977,7374.0,"E",,1982,8393.0,"E",,1987,9504.0,"E",,1992,10706.0,"E",,1997,11925.0,"E",,2002,13072.0,"E",,2007,14205.0,"E",,2012,15420.0,"E",,2017,16625.0,"E",
"Total population (1000 inhab)","Peru","Americas | Southern America | Andean",1962,10651.0,"E",,1967,12282.0,"E",,1972,14072.0,"E",,1977,16061.0,"E",,1982,18226.0,"E",,1987,20452.0,"E",,1992,22737.0,"E",,1997,24827.0,"E",,2002,26601.0,"E",,2007,28293.0,"E",,2012,30159.0,"E",,2017,32165.0,"E",
"Total population (1000 inhab)","Venezuela (Bolivarian Republic of)","Americas | Southern America | Andean",1962,8791.0,"E",,1967,10528.0,"E",,1972,12286.0,"E",,1977,14128.0,"E",,1982,16186.0,"E",,1987,18438.0,"E",,1992,20799.0,"E",,1997,23110.0,"E",,2002,25409.0,"E",,2007,27692.0,"E",,2012,29893.0,"E",,2017,31977.0,"E",
"Total population (1000 inhab)","Brazil","Americas | Southern America | Brazil",1962,76573.0,"E",,1967,88191.0,"E",,1972,100144.0,"E",,1977,112868.0,"E",,1982,126947.0,"E",,1987,141273.0,"E",,1992,154564.0,"E",,1997,167545.0,"E",,2002,180151.0,"E",,2007,191027.0,"E",,2012,200561.0,"E",,2017,209288.0,"E",
"Total population (1000 inhab)","Argentina","Americas | Southern America | Southern America",1962,21288.0,"E",,1967,22932.0,"E",,1972,24783.0,"E",,1977,26879.0,"E",,1982,28994.0,"E",,1987,31326.0,"E",,1992,33655.0,"E",,1997,35834.0,"E",,2002,37889.0,"E",,2007,39970.0,"E",,2012,42097.0,"E",,2017,44271.0,"E",
"Total population (1000 inhab)","Chile","Americas | Southern America | Southern America",1962,8067.0,"E",,1967,8997.0,"E",,1972,9923.0,"E",,1977,10766.0,"E",,1982,11616.0,"E",,1987,12594.0,"E",,1992,13671.0,"E",,1997,14695.0,"E",,2002,15624.0,"E",,2007,16492.0,"E",,2012,17310.0,"E",,2017,18055.0,"E",
"Total population (1000 inhab)","Paraguay","Americas | Southern America | Southern America",1962,2005.0,"E",,1967,2290.0,"E",,1972,2597.0,"E",,1977,2935.0,"E",,1982,3367.0,"E",,1987,3885.0,"E",,1992,4433.0,"E",,1997,4980.0,"E",,2002,5509.0,"E",,2007,5966.0,"E",,2012,6379.0,"E",,2017,6811.0,"E",
"Total population (1000 inhab)","Uruguay","Americas | Southern America | Southern America",1962,2604.0,"E",,1967,2750.0,"E",,1972,2821.0,"E",,1977,2857.0,"E",,1982,2954.0,"E",,1987,3050.0,"E",,1992,3155.0,"E",,1997,3271.0,"E",,2002,3328.0,"E",,2007,3340.0,"E",,2012,3397.0,"E",,2017,3457.0,"E",
"Total population (1000 inhab)","Algeria","World | Africa",1962,11690.0,"E",,1967,13354.0,"E",,1972,15377.0,"E",,1977,17690.0,"E",,1982,20576.0,"E",,1987,23918.0,"E",,1992,27181.0,"E",,1997,29887.0,"E",,2002,31995.0,"E",,2007,34300.0,"E",,2012,37566.0,"E",,2017,41318.0,"E",
"Total population (1000 inhab)","Angola","World | Africa",1962,5866.0,"E",,1967,6415.0,"E",,1972,7095.0,"E",,1977,8131.0,"E",,1982,9582.0,"E",,1987,11218.0,"E",,1992,12968.0,"E",,1997,15089.0,"E",,2002,17573.0,"E",,2007,20998.0,"E",,2012,25096.0,"E",,2017,29784.0,"E",
"Total population (1000 inhab)","Benin","World | Africa",1962,2503.0,"E",,1967,2735.0,"E",,1972,3044.0,"E",,1977,3433.0,"E",,1982,3928.0,"E",,1987,4535.0,"E",,1992,5332.0,"E",,1997,6282.0,"E",,2002,7295.0,"E",,2007,8455.0,"E",,2012,9729.0,"E",,2017,11176.0,"E",
"Total population (1000 inhab)","Botswana","World | Africa",1962,550.8,"E",,1967,633.2,"E",,1972,742.8,"E",,1977,891.9,"E",,1982,1076.0,"E",,1987,1264.0,"E",,1992,1456.0,"E",,1997,1638.0,"E",,2002,1780.0,"E",,2007,1914.0,"E",,2012,2089.0,"E",,2017,2292.0,"E",
"Total population (1000 inhab)","Burkina Faso","World | Africa",1962,4960.0,"E",,1967,5343.0,"E",,1972,5825.0,"E",,1977,6399.0,"E",,1982,7158.0,"E",,1987,8140.0,"E",,1992,9297.0,"E",,1997,10666.0,"E",,2002,12293.0,"E",,2007,14252.0,"E",,2012,16571.0,"E",,2017,19193.0,"E",
"Total population (1000 inhab)","Burundi","World | Africa",1962,2894.0,"E",,1967,3234.0,"E",,1972,3544.0,"E",,1977,3821.0,"E",,1982,4333.0,"E",,1987,4988.0,"E",,1992,5661.0,"E",,1997,6112.0,"E",,2002,6742.0,"E",,2007,7940.0,"E",,2012,9320.0,"E",,2017,10864.0,"E",
"Total population (1000 inhab)","Cabo Verde","World | Africa",1962,210.9,"E",,1967,248.7,"E",,1972,273.7,"E",,1977,275.8,"E",,1982,297.3,"E",,1987,324.9,"E",,1992,359.1,"E",,1997,408.2,"E",,2002,452.1,"E",,2007,486.4,"E",,2012,514.0,"E",,2017,546.4,"E",
"Total population (1000 inhab)","Cameroon","World | Africa",1962,5400.0,"E",,1967,6059.0,"E",,1972,6875.0,"E",,1977,7891.0,"E",,1982,9159.0,"E",,1987,10696.0,"E",,1992,12409.0,"E",,1997,14165.0,"E",,2002,16085.0,"E",,2007,18395.0,"E",,2012,21082.0,"E",,2017,24054.0,"E",
"Total population (1000 inhab)","Central African Republic","World | Africa",1962,1557.0,"E",,1967,1719.0,"E",,1972,1900.0,"E",,1977,2110.0,"E",,1982,2419.0,"E",,1987,2755.0,"E",,1992,3096.0,"E",,1997,3517.0,"E",,2002,3908.0,"E",,2007,4276.0,"E",,2012,4490.0,"E",,2017,4659.0,"E",
"Total population (1000 inhab)","Chad","World | Africa",1962,3121.0,"E",,1967,3435.0,"E",,1972,3815.0,"E",,1977,4254.0,"E",,1982,4715.0,"E",,1987,5408.0,"E",,1992,6349.0,"E",,1997,7493.0,"E",,2002,9002.0,"E",,2007,10776.0,"E",,2012,12705.0,"E",,2017,14900.0,"E",
"Total population (1000 inhab)","Comoros","World | Africa",1962,197.2,"E",,1967,215.9,"E",,1972,239.2,"E",,1977,275.9,"E",,1982,326.9,"E",,1987,376.7,"E",,1992,436.4,"E",,1997,502.0,"E",,2002,569.5,"E",,2007,641.6,"E",,2012,723.9,"E",,2017,813.9,"E",
"Total population (1000 inhab)","Congo","World | Africa",1962,1092.0,"E",,1967,1252.0,"E",,1972,1451.0,"E",,1977,1687.0,"E",,1982,1951.0,"E",,1987,2249.0,"E",,1992,2577.0,"E",,1997,2962.0,"E",,2002,3407.0,"E",,2007,3976.0,"E",,2012,4633.0,"E",,2017,5261.0,"E",
"Total population (1000 inhab)","Côte d'Ivoire","World | Africa",1962,3841.0,"E",,1967,4656.0,"E",,1972,5737.0,"E",,1977,7249.0,"E",,1982,9044.0,"E",,1987,11020.0,"E",,1992,13163.0,"E",,1997,15446.0,"E",,2002,17367.0,"E",,2007,19086.0,"E",,2012,21419.0,"E",,2017,24295.0,"E",
"Total population (1000 inhab)","Democratic Republic of the Congo","World | Africa",1962,16041.0,"E",,1967,18378.0,"E",,1972,21120.0,"E",,1977,24248.0,"E",,1982,27717.0,"E",,1987,31530.0,"E",,1992,37346.0,"E",,1997,43830.0,"E",,2002,49836.0,"E",,2007,58418.0,"E",,2012,68979.0,"E",,2017,81340.0,"E",
"Total population (1000 inhab)","Djibouti","World | Africa",1962,94.2,"E",,1967,131.4,"E",,1972,179.2,"E",,1977,277.5,"E",,1982,385.3,"E",,1987,490.3,"E",,1992,615.1,"E",,1997,661.0,"E",,2002,746.2,"E",,2007,809.4,"E",,2012,881.2,"E",,2017,957.0,"E",
"Total population (1000 inhab)","Egypt","World | Africa",1962,28506.0,"E",,1967,32534.0,"E",,1972,36674.0,"E",,1977,41026.0,"E",,1982,46380.0,"E",,1987,53066.0,"E",,1992,60036.0,"E",,1997,66151.0,"E",,2002,72590.0,"E",,2007,79537.0,"E",,2012,87813.0,"E",,2017,97553.0,"E",
"Total population (1000 inhab)","Equatorial Guinea","World | Africa",1962,262.6,"E",,1967,293.4,"E",,1972,292.6,"E",,1977,246.7,"E",,1982,290.6,"E",,1987,390.2,"E",,1992,455.1,"E",,1997,544.6,"E",,2002,666.4,"E",,2007,829.3,"E",,2012,1039.0,"E",,2017,1268.0,"E",
"Total population (1000 inhab)","Eritrea","World | Africa",,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,1997,3161.0,"E",,2002,3615.0,"E",,2007,4153.0,"E",,2012,4561.0,"E",,2017,5069.0,"E",
"Total population (1000 inhab)","Eswatini","World | Africa",1962,365.6,"E",,1967,411.4,"E",,1972,472.2,"E",,1977,550.1,"E",,1982,639.2,"E",,1987,766.7,"E",,1992,906.0,"E",,1997,1004.0,"E",,2002,1081.0,"E",,2007,1138.0,"E",,2012,1248.0,"E",,2017,1367.0,"E",
"Total population (1000 inhab)","Ethiopia","World | Africa",,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,,,"",,1997,60976.0,"E",,2002,70497.0,"E",,2007,81000.0,"E",,2012,92444.0,"E",,2017,104957.0,"E",
"Total population (1000 inhab)","Gabon","World | Africa",1962,509.8,"E",,1967,553.8,"E",,1972,613.1,"E",,1977,678.8,"E",,1982,766.9,"E",,1987,876.9,"E",,1992,1005.0,"E",,1997,1142.0,"E",,2002,1294.0,"E",,2007,1489.0,"E",,2012,1757.0,"E",,2017,2025.0,"E",
"Total population (1000 inhab)","Gambia","World | Africa",1962,383.5,"E",,1967,416.3,"E",,1972,474.5,"E",,1977,551.8,"E",,1982,648.2,"E",,1987,804.1,"E",,1992,979.7,"E",,1997,1128.0,"E",,2002,1311.0,"E",,2007,1539.0,"E",,2012,1802.0,"E",,2017,2101.0,"E",
"Total population (1000 inhab)","Ghana","World | Africa",1962,7085.0,"E",,1967,8057.0,"E",,1972,9084.0,"E",,1977,10190.0,"E",,1982,11488.0,"E",,1987,13481.0,"E",,1992,15464.0,"E",,1997,17609.0,"E",,2002,19925.0,"E",,2007,22700.0,"E",,2012,25733.0,"E",,2017,28834.0,"E",
"Total population (1000 inhab)","Guinea","World | Africa",1962,3691.0,"E",,1967,4023.0,"E",,1972,4298.0,"E",,1977,4398.0,"E",,1982,4691.0,"E",,1987,5381.0,"E",,1992,6759.0,"E",,1997,8338.0,"E",,2002,9137.0,"E",,2007,10097.0,"E",,2012,11281.0,"E",,2017,12717.0,"E",
"Total population (1000 inhab)","Guinea-Bissau","World | Africa",1962,630.0,"E",,1967,673.5,"E",,1972,741.5,"E",,1977,786.8,"E",,1982,832.7,"E",,1987,943.6,"E",,1992,1063.0,"E",,1997,1180.0,"E",,2002,1294.0,"E",,2007,1446.0,"E",,2012,1638.0,"E",,2017,1861.0,"E",
"Total population (1000 inhab)","Kenya","World | Africa",1962,8629.0,"E",,1967,10154.0,"E",,1972,12083.0,"E",,1977,14528.0,"E",,1982,17559.0,"E",,1987,21119.0,"E",,1992,24964.0,"E",,1997,28954.0,"E",,2002,33214.0,"E",,2007,38086.0,"E",,2012,43647.0,"E",,2017,49700.0,"E",
"Total population (1000 inhab)","Lesotho","World | Africa",1962,882.2,"E",,1967,971.5,"E",,1972,1076.0,"E",,1977,1211.0,"E",,1982,1377.0,"E",,1987,1525.0,"E",,1992,1667.0,"E",,1997,1810.0,"E",,2002,1902.0,"E",,2007,1982.0,"E",,2012,2090.0,"E",,2017,2233.0,"E",
"Total population (1000 inhab)","Liberia","World | Africa",1962,1170.0,"E",,1967,1314.0,"E",,1972,1494.0,"E",,1977,1720.0,"E",,1982,2032.0,"E",,1987,2191.0,"E",,1992,2023.0,"E",,1997,2358.0,"E",,2002,3063.0,"E",,2007,3513.0,"E",,2012,4182.0,"E",,2017,4732.0,"E",
"Total population (1000 inhab)","Libya","World | Africa",1962,1551.0,"E",,1967,1879.0,"E",,1972,2327.0,"E",,1977,2866.0,"E",,1982,3480.0,"E",,1987,4110.0,"E",,1992,4651.0,"E",,1997,41047.0,"E",,2002,5528.0,"E",,2007,5970.0,"E",,2012,6198.0,"E",,2017,6375.0,"E",
"Total population (1000 inhab)","Madagascar","World | Africa",1962,5353.0,"E",,1967,6074.0,"E",,1972,6947.0,"E",,1977,7998.0,"E",,1982,9234.0,"E",,1987,10648.0,"E",,1992,12301.0,"E",,1997,14348.0,"E",,2002,16765.0,"E",,2007,19434.0,"E",,2012,22347.0,"E",,2017,25571.0,"E",
"Total population (1000 inhab)","Malawi","World | Africa",1962,3784.0,"E",,1967,4262.0,"E",,1972,4860.0,"E",,1977,5628.0,"E",,1982,6484.0,"E",,1987,8120.0,"E",,1992,9730.0,"E",,1997,10382.0,"E",,2002,12014.0,"E",,2007,13841.0,"E",,2012,16097.0,"E",,2017,18622.0,"E",
"Total population (1000 inhab)","Mali","World | Africa",1962,5381.0,"E",,1967,5706.0,"E",,1972,6147.0,"E",,1977,6712.0,"E",,1982,7388.0,"E",,1987,8068.0,"E",,1992,8868.0,"E",,1997,10114.0,"E",,2002,11639.0,"E",,2007,13676.0,"E",,2012,16007.0,"E",,2017,18542.0,"E",
"Total population (1000 inhab)","Mauritania","World | Africa",1962,909.2,"E",,1967,1052.0,"E",,1972,1218.0,"E",,1977,1407.0,"E",,1982,1625.0,"E",,1987,1871.0,"E",,1992,2141.0,"E",,1997,2472.0,"E",,2002,2873.0,"E",,2007,3313.0,"E",,2012,3830.0,"E",,2017,4420.0,"E",
"Total population (1000 inhab)","Mauritius","World | Africa",1962,698.3,"E",,1967,784.8,"E",,1972,852.4,"E",,1977,922.3,"E",,1982,988.9,"E",,1987,1030.0,"E",,1992,1083.0,"E",,1997,1154.0,"E",,2002,1202.0,"E",,2007,1234.0,"E",,2012,1253.0,"E",,2017,1265.0,"E",
"Total population (1000 inhab)","Morocco","World | Africa",1962,13095.0,"E",,1967,14951.0,"E",,1972,16695.0,"E",,1977,18637.0,"E",,1982,21017.0,"E",,1987,23498.0,"E",,1992,25791.0,"E",,1997,27826.0,"E",,2002,29512.0,"E",,2007,31226.0,"E",,2012,33334.0,"E",,2017,35740.0,"E",
"Total population (1000 inhab)","Mozambique","World | Africa",1962,7699.0,"E",,1967,8566.0,"E",,1972,9596.0,"E",,1977,10937.0,"E",,1982,12409.0,"E",,1987,13021.0,"E",,1992,14071.0,"E",,1997,16701.0,"E",,2002,19140.0,"E",,2007,22188.0,"E",,2012,25677.0,"E",,2017,29669.0,"E",
"Total population (1000 inhab)","Namibia","World | Africa",1962,632.7,"E",,1967,718.7,"E",,1972,829.4,"E",,1977,949.2,"E",,1982,1056.0,"E",,1987,1246.0,"E",,1992,1514.0,"E",,1997,1759.0,"E",,2002,1962.0,"E",,2007,2080.0,"E",,2012,2264.0,"E",,2017,2534.0,"E",
"Total population (1000 inhab)","Niger","World | Africa",1962,3588.0,"E",,1967,4144.0,"E",,1972,4768.0,"E",,1977,5491.0,"E",,1982,6344.0,"E",,1987,7324.0,"E",,1992,8549.0,"E",,1997,10180.0,"E",,2002,12206.0,"E",,2007,14668.0,"E",,2012,17732.0,"E",,2017,21477.0,"E",
"Total population (1000 inhab)","Nigeria","World | Africa",1962,47029.0,"E",,1967,52342.0,"E",,1972,58663.0,"E",,1977,67216.0,"E",,1982,77473.0,"E",,1987,88102.0,"E",,1992,100222.0,"E",,1997,113523.0,"E",,2002,128667.0,"E",,2007,146417.0,"E",,2012,167297.0,"E",,2017,190886.0,"E",
"Total population (1000 inhab)","Rwanda","World | Africa",1962,3051.0,"E",,1967,3418.0,"E",,1972,3984.0,"E",,1977,4648.0,"E",,1982,5489.0,"E",,1987,6732.0,"E",,1992,6702.0,"E",,1997,6522.0,"E",,2002,8536.0,"E",,2007,9447.0,"E",,2012,10789.0,"E",,2017,12208.0,"E",
"Total population (1000 inhab)","Sao Tome and Principe","World | Africa",1962,64.43,"E",,1967,67.87,"E",,1972,77.54,"E",,1977,87.43,"E",,1982,98.71,"E",,1987,107.4,"E",,1992,118.8,"E",,1997,131.1,"E",,2002,144.9,"E",,2007,163.1,"E",,2012,182.9,"E",,2017,204.3,"E",
"Total population (1000 inhab)","Senegal","World | Africa",1962,3387.0,"E",,1967,3899.0,"E",,1972,4525.0,"E",,1977,5190.0,"E",,1982,5920.0,"E",,1987,6894.0,"E",,1992,8030.0,"E",,1997,9197.0,"E",,2002,10397.0,"E",,2007,11874.0,"E",,2012,13704.0,"E",,2017,15851.0,"E",
"Total population (1000 inhab)","Seychelles","World | Africa",1962,43.41,"E",,1967,48.91,"E",,1972,55.13,"E",,1977,62.5,"E",,1982,68.17,"E",,1987,70.01,"E",,1992,72.71,"E",,1997,78.46,"E",,2002,84.2,"E",,2007,90.28,"E",,2012,92.28,"E",,2017,94.74,"E",
"Total population (1000 inhab)","Sierra Leone","World | Africa",1962,2363.0,"E",,1967,2554.0,"E",,1972,2803.0,"E",,1977,3135.0,"E",,1982,3525.0,"E",,1987,4035.0,"E",,1992,4331.0,"E",,1997,4305.0,"E",,2002,4957.0,"E",,2007,6015.0,"E",,2012,6766.0,"E",,2017,7557.0,"E",
"Total population (1000 inhab)","Somalia","World | Africa",1962,2874.0,"E",,1967,3228.0,"E",,1972,3475.0,"E",,1977,4827.0,"E",,1982,6716.0,"E",,1987,7018.0,"E",,1992,7489.0,"E",,1997,8137.0,"E",,2002,9564.0,"E",,2007,11039.0,"E",,2012,12764.0,"E",,2017,14743.0,"E",
