Area,Area Id,Variable Name,Variable Id,Year,Value,Symbol,Md
Chad,39,Agricultural water withdrawal,4250,1987,0.148,,
Chad,39,Agricultural water withdrawal,4250,2002,0.6722,L,[13]
Chad,39,Agricultural water withdrawal,4250,2005,0.6722,L,"[14,15]"
Comoros,45,Agricultural water withdrawal,4250,1999,0.0047,,
Congo,46,Agricultural water withdrawal,4250,1987,0.0044,,
Congo,46,Agricultural water withdrawal,4250,2002,0.004,I,
Côte d'Ivoire,107,Agricultural water withdrawal,4250,1987,0.475,,
Côte d'Ivoire,107,Agricultural water withdrawal,4250,1994,0.8,,
Côte d'Ivoire,107,Agricultural water withdrawal,4250,2000,0.6,L,
Côte d'Ivoire,107,Agricultural water withdrawal,4250,2005,0.5953,L,"[16,17]"
Côte d'Ivoire,107,Agricultural water withdrawal,4250,2008,0.5953,L,[18]
Côte d'Ivoire,107,Agricultural water withdrawal,4250,2014,0.6,,
Democratic Republic of the Congo,250,Agricultural water withdrawal,4250,1995,0.083,,
Democratic Republic of the Congo,250,Agricultural water withdrawal,4250,2000,0.0719,L,[19]
Democratic Republic of the Congo,250,Agricultural water withdrawal,4250,2005,0.0719,L,"[20,21]"
Djibouti,72,Agricultural water withdrawal,4250,1985,0.007,,
Djibouti,72,Agricultural water withdrawal,4250,2000,0.003,,[22]
Egypt,59,Agricultural water withdrawal,4250,1995,50.71,I,
Egypt,59,Agricultural water withdrawal,4250,2000,59,,
Egypt,59,Agricultural water withdrawal,4250,2012,61.5,,
Egypt,59,Agricultural water withdrawal,4250,2017,61.35,,
Equatorial Guinea,61,Agricultural water withdrawal,4250,1987,6.00E-04,,
Equatorial Guinea,61,Agricultural water withdrawal,4250,2000,0.001,L,
Eritrea,178,Agricultural water withdrawal,4250,2000,0.29,L,
Eritrea,178,Agricultural water withdrawal,4250,2004,0.55,,
Eswatini,209,Agricultural water withdrawal,4250,1980,0.63,,
Eswatini,209,Agricultural water withdrawal,4250,2000,1.006,I,[23]
Ethiopia,238,Agricultural water withdrawal,4250,2002,5.204,I,
Ethiopia,238,Agricultural water withdrawal,4250,2005,7,I,
Ethiopia,238,Agricultural water withdrawal,4250,2016,9.687,K,[24]
Gabon,74,Agricultural water withdrawal,4250,1987,0.0036,,
Gabon,74,Agricultural water withdrawal,4250,2000,0.0403,L,[25]
Gabon,74,Agricultural water withdrawal,4250,2005,0.0403,L,"[26,27]"
Gambia,75,Agricultural water withdrawal,4250,1982,0.0182,,
Gambia,75,Agricultural water withdrawal,4250,1999,0.0392,L,[28]
Ghana,81,Agricultural water withdrawal,4250,1970,0.156,,
Ghana,81,Agricultural water withdrawal,4250,2000,0.652,I,
Ghana,81,Agricultural water withdrawal,4250,2016,1.07,,
Guinea,90,Agricultural water withdrawal,4250,1987,0.644,,
Guinea,90,Agricultural water withdrawal,4250,2001,0.2929,L,[29]
Guinea-Bissau,175,Agricultural water withdrawal,4250,1991,0.006,,
Guinea-Bissau,175,Agricultural water withdrawal,4250,1996,0.144,,
Guinea-Bissau,175,Agricultural water withdrawal,4250,2000,0.144,,
Kenya,114,Agricultural water withdrawal,4250,1990,1.566,,
Kenya,114,Agricultural water withdrawal,4250,2000,1.01,L,
Kenya,114,Agricultural water withdrawal,4250,2003,1.75,,[30]
Kenya,114,Agricultural water withdrawal,4250,2010,1.907,,[31]
Kenya,114,Agricultural water withdrawal,4250,2016,3.234,,
Lesotho,122,Agricultural water withdrawal,4250,1987,0.028,,
Lesotho,122,Agricultural water withdrawal,4250,1999,0.0038,L,[32]
Liberia,123,Agricultural water withdrawal,4250,1987,0.078,,
Liberia,123,Agricultural water withdrawal,4250,2000,0.0123,L,[33]
Libya,124,Agricultural water withdrawal,4250,1985,1.965,,
Libya,124,Agricultural water withdrawal,4250,1990,4.28,,
Libya,124,Agricultural water withdrawal,4250,1994,4,,
Libya,124,Agricultural water withdrawal,4250,2000,3.584,,
Libya,124,Agricultural water withdrawal,4250,2012,4.85,,
Madagascar,129,Agricultural water withdrawal,4250,1984,16.14,,
Madagascar,129,Agricultural water withdrawal,4250,2000,13,I,
Madagascar,129,Agricultural water withdrawal,4250,2005,13,,
Malawi,130,Agricultural water withdrawal,4250,1994,0.809,,
Malawi,130,Agricultural water withdrawal,4250,2002,1.166,L,[34]
Malawi,130,Agricultural water withdrawal,4250,2005,1.166,L,"[35,36]"
Mali,133,Agricultural water withdrawal,4250,1987,1.319,,
Mali,133,Agricultural water withdrawal,4250,1996,3.725,,
Mali,133,Agricultural water withdrawal,4250,2001,4.99,,
Mali,133,Agricultural water withdrawal,4250,2006,5.075,,
Mauritania,136,Agricultural water withdrawal,4250,1980,0.613,,
Mauritania,136,Agricultural water withdrawal,4250,1985,1.5,,
Mauritania,136,Agricultural water withdrawal,4250,2000,1.5,L,
Mauritania,136,Agricultural water withdrawal,4250,2004,1.223,L,[37]
Mauritius,137,Agricultural water withdrawal,4250,1974,0.2768,,
Mauritius,137,Agricultural water withdrawal,4250,1995,0.46,,
Mauritius,137,Agricultural water withdrawal,4250,2007,0.423,,
Mauritius,137,Agricultural water withdrawal,4250,2012,0.365,,
Mauritius,137,Agricultural water withdrawal,4250,2017,0.344,,[38]
Morocco,143,Agricultural water withdrawal,4250,1992,10.18,,
Morocco,143,Agricultural water withdrawal,4250,1995,9.884,I,
Morocco,143,Agricultural water withdrawal,4250,2002,11.05,,
Morocco,143,Agricultural water withdrawal,4250,2010,9.156,,
Mozambique,144,Agricultural water withdrawal,4250,1990,0.54,,
Mozambique,144,Agricultural water withdrawal,4250,2001,0.69,L,[39]
Mozambique,144,Agricultural water withdrawal,4250,2015,1.076,,
Namibia,147,Agricultural water withdrawal,4250,1985,0.115,,
Namibia,147,Agricultural water withdrawal,4250,1991,0.17,,
Namibia,147,Agricultural water withdrawal,4250,1995,0.1915,I,
Namibia,147,Agricultural water withdrawal,4250,2002,0.201,,
Niger,158,Agricultural water withdrawal,4250,1988,0.41,,
Niger,158,Agricultural water withdrawal,4250,2005,0.6565,L,[40]
Niger,158,Agricultural water withdrawal,4250,2016,1.536,,
Nigeria,159,Agricultural water withdrawal,4250,1987,3.92,L,
Nigeria,159,Agricultural water withdrawal,4250,2000,5.51,L,
Nigeria,159,Agricultural water withdrawal,4250,2004,5.51,L,
Nigeria,159,Agricultural water withdrawal,4250,2010,5.51,L,
Rwanda,184,Agricultural water withdrawal,4250,2000,0.102,,
Sao Tome and Principe,193,Agricultural water withdrawal,4250,2016,0.0256,,
Senegal,195,Agricultural water withdrawal,4250,1987,1.251,,
Senegal,195,Agricultural water withdrawal,4250,2002,2.065,I,
Seychelles,196,Agricultural water withdrawal,4250,1989,9.00E-04,I,
Seychelles,196,Agricultural water withdrawal,4250,2003,9.00E-04,I,
Sierra Leone,197,Agricultural water withdrawal,4250,1987,0.329,,
Sierra Leone,197,Agricultural water withdrawal,4250,1992,0.0457,L,[41]
Sierra Leone,197,Agricultural water withdrawal,4250,2000,0.0457,L,"[42,43]"
Sierra Leone,197,Agricultural water withdrawal,4250,2005,0.0457,L,"[44,45]"
Somalia,201,Agricultural water withdrawal,4250,1987,0.786,,
Somalia,201,Agricultural water withdrawal,4250,2000,3.28,L,
Somalia,201,Agricultural water withdrawal,4250,2003,3.281,I,
South Africa,202,Agricultural water withdrawal,4250,1990,9.58,,
South Africa,202,Agricultural water withdrawal,4250,1995,8.708,I,
South Africa,202,Agricultural water withdrawal,4250,2000,7.836,,
South Africa,202,Agricultural water withdrawal,4250,2017,11.39,,
South Sudan,277,Agricultural water withdrawal,4250,2011,0.24,,
Sudan,276,Agricultural water withdrawal,4250,2011,25.91,,
Togo,217,Agricultural water withdrawal,4250,1987,0.023,,
Togo,217,Agricultural water withdrawal,4250,2002,0.076,,
Tunisia,222,Agricultural water withdrawal,4250,1990,2.728,,
Tunisia,222,Agricultural water withdrawal,4250,1995,2.446,I,
Tunisia,222,Agricultural water withdrawal,4250,2000,2.165,,
Tunisia,222,Agricultural water withdrawal,4250,2011,2.644,I,[46]
Tunisia,222,Agricultural water withdrawal,4250,2017,3.773,,
Uganda,226,Agricultural water withdrawal,4250,1970,0.12,,
Uganda,226,Agricultural water withdrawal,4250,2002,0.12,,
Uganda,226,Agricultural water withdrawal,4250,2008,0.259,,
United Republic of Tanzania,215,Agricultural water withdrawal,4250,1994,1.04,,
United Republic of Tanzania,215,Agricultural water withdrawal,4250,2002,4.632,K,[47]
Zambia,251,Agricultural water withdrawal,4250,1992,1.339,,
Zambia,251,Agricultural water withdrawal,4250,1994,1.318,,
Zambia,251,Agricultural water withdrawal,4250,2002,1.152,L,[48]
Zimbabwe,181,Agricultural water withdrawal,4250,1987,0.964,,
Zimbabwe,181,Agricultural water withdrawal,4250,2002,3.318,,[49]
Zimbabwe,181,Agricultural water withdrawal,4250,2007,2.93,,[50]
Zimbabwe,181,Agricultural water withdrawal,4250,2017,2.77,,
Antigua and Barbuda,8,Agricultural water withdrawal,4250,1990,0.001,,
Antigua and Barbuda,8,Agricultural water withdrawal,4250,1997,0.0013,L,[51]
Antigua and Barbuda,8,Agricultural water withdrawal,4250,2005,0.0013,L,"[52,53]"
Antigua and Barbuda,8,Agricultural water withdrawal,4250,2012,0.0018,,
Argentina,9,Agricultural water withdrawal,4250,1995,21.52,,
Argentina,9,Agricultural water withdrawal,4250,2000,21.52,L,
Argentina,9,Agricultural water withdrawal,4250,2011,27.93,,
Barbados,14,Agricultural water withdrawal,4250,1989,0.0548,L,[54]
Barbados,14,Agricultural water withdrawal,4250,1996,0.0548,L,
Barbados,14,Agricultural water withdrawal,4250,2005,0.0548,L,"[55,56]"
Belize,23,Agricultural water withdrawal,4250,1987,0.018,,
Belize,23,Agricultural water withdrawal,4250,1990,0.019,I,
Belize,23,Agricultural water withdrawal,4250,1993,0.02,,
Belize,23,Agricultural water withdrawal,4250,2000,0.0684,I,
Bolivia (Plurinational State of),19,Agricultural water withdrawal,4250,1987,1.054,,
Bolivia (Plurinational State of),19,Agricultural water withdrawal,4250,1999,1.777,L,[57]
Bolivia (Plurinational State of),19,Agricultural water withdrawal,4250,2008,1.92,I,
Brazil,21,Agricultural water withdrawal,4250,1996,33.43,,
Brazil,21,Agricultural water withdrawal,4250,2006,31.7,,
Brazil,21,Agricultural water withdrawal,4250,2010,44.9,,
Brazil,21,Agricultural water withdrawal,4250,2017,39.43,,
Canada,33,Agricultural water withdrawal,4250,1991,3.991,E,[58]
Canada,33,Agricultural water withdrawal,4250,1996,4.104,E,[59]
Canada,33,Agricultural water withdrawal,4250,2007,2.322,E,
Canada,33,Agricultural water withdrawal,4250,2010,4.749,L,"[60,61]"
Canada,33,Agricultural water withdrawal,4250,2015,2.639,,
Chile,40,Agricultural water withdrawal,4250,2006,29.42,,
Colombia,44,Agricultural water withdrawal,4250,1996,3.308,,
Colombia,44,Agricultural water withdrawal,4250,2000,4.92,L,
Colombia,44,Agricultural water withdrawal,4250,2008,6.391,I,
Costa Rica,48,Agricultural water withdrawal,4250,2012,1.673,,
Costa Rica,48,Agricultural water withdrawal,4250,2015,2.302,,
Cuba,49,Agricultural water withdrawal,4250,1995,2.666,,
Cuba,49,Agricultural water withdrawal,4250,2007,2.476,,
Cuba,49,Agricultural water withdrawal,4250,2010,3.569,,
Cuba,49,Agricultural water withdrawal,4250,2013,4.519,,
Dominica,55,Agricultural water withdrawal,4250,2010,0.001,I,
Dominican Republic,56,Agricultural water withdrawal,4250,2000,4.2,I,
Dominican Republic,56,Agricultural water withdrawal,4250,2005,4.487,I,
Dominican Republic,56,Agricultural water withdrawal,4250,2010,5.715,,
Dominican Republic,56,Agricultural water withdrawal,4250,2015,7.563,,[62]
Ecuador,58,Agricultural water withdrawal,4250,2000,8.076,L,[63]
Ecuador,58,Agricultural water withdrawal,4250,2005,8.076,L,"[64,65]"
El Salvador,60,Agricultural water withdrawal,4250,1992,0.336,,
El Salvador,60,Agricultural water withdrawal,4250,2000,0.76,L,
El Salvador,60,Agricultural water withdrawal,4250,2005,1.431,,
Grenada,86,Agricultural water withdrawal,4250,1997,0.0022,L,[66]
Grenada,86,Agricultural water withdrawal,4250,2014,0.0021,I,
Guatemala,89,Agricultural water withdrawal,4250,2001,1.472,,
Guatemala,89,Agricultural water withdrawal,4250,2006,1.886,,
Guyana,91,Agricultural water withdrawal,4250,1992,1.438,,
Guyana,91,Agricultural water withdrawal,4250,2000,1.6,L,
Guyana,91,Agricultural water withdrawal,4250,2010,1.363,L,[67]
Haiti,93,Agricultural water withdrawal,4250,1991,0.9246,,
Haiti,93,Agricultural water withdrawal,4250,1995,1.169,,
Haiti,93,Agricultural water withdrawal,4250,2009,1.209,L,[68]
Honduras,95,Agricultural water withdrawal,4250,2003,1.178,,
Jamaica,109,Agricultural water withdrawal,4250,1993,0.696,,
Jamaica,109,Agricultural water withdrawal,4250,2007,0.448,L,
Jamaica,109,Agricultural water withdrawal,4250,2016,0.114,,
Mexico,138,Agricultural water withdrawal,4250,1995,62.5,E,
Mexico,138,Agricultural water withdrawal,4250,2002,56.1,,
Mexico,138,Agricultural water withdrawal,4250,2007,60.57,,
Mexico,138,Agricultural water withdrawal,4250,2012,63.35,,
Mexico,138,Agricultural water withdrawal,4250,2017,66.8,,
Nicaragua,157,Agricultural water withdrawal,4250,2001,1.18,,
Nicaragua,157,Agricultural water withdrawal,4250,2011,1.185,,
Panama,166,Agricultural water withdrawal,4250,2010,0.446,,
Panama,166,Agricultural water withdrawal,4250,2016,0.4461,,
Paraguay,169,Agricultural water withdrawal,4250,1987,0.3354,,
Paraguay,169,Agricultural water withdrawal,4250,2000,0.35,L,
Paraguay,169,Agricultural water withdrawal,4250,2012,1.897,I,
Peru,170,Agricultural water withdrawal,4250,2008,12.12,,
Peru,170,Agricultural water withdrawal,4250,2016,13.1,,
Puerto Rico,177,Agricultural water withdrawal,4250,1990,0.2063,,[69]
Puerto Rico,177,Agricultural water withdrawal,4250,2000,0.1306,,
Puerto Rico,177,Agricultural water withdrawal,4250,2005,0.0739,,[70]
Puerto Rico,177,Agricultural water withdrawal,4250,2010,0.0641,,[71]
Puerto Rico,177,Agricultural water withdrawal,4250,2015,0.1135,,
Saint Kitts and Nevis,188,Agricultural water withdrawal,4250,1997,2.00E-04,L,[72]
Saint Kitts and Nevis,188,Agricultural water withdrawal,4250,2012,2.00E-04,I,
Saint Lucia,189,Agricultural water withdrawal,4250,2007,0.0304,I,
Saint Vincent and the Grenadines,191,Agricultural water withdrawal,4250,1990,0.0101,L,[73]
Saint Vincent and the Grenadines,191,Agricultural water withdrawal,4250,2013,0,I,
Suriname,207,Agricultural water withdrawal,4250,1987,0.41,,
Suriname,207,Agricultural water withdrawal,4250,2000,0.62,L,
Suriname,207,Agricultural water withdrawal,4250,2006,0.4311,L,[74]
Trinidad and Tobago,220,Agricultural water withdrawal,4250,1997,0.0156,,
Trinidad and Tobago,220,Agricultural water withdrawal,4250,2000,0.017,,
Trinidad and Tobago,220,Agricultural water withdrawal,4250,2005,0.015,I,
Trinidad and Tobago,220,Agricultural water withdrawal,4250,2011,0.0167,I,
United States of America,231,Agricultural water withdrawal,4250,1969,100.1,,
United States of America,231,Agricultural water withdrawal,4250,1974,106.5,,
United States of America,231,Agricultural water withdrawal,4250,1979,117.1,,
United States of America,231,Agricultural water withdrawal,4250,1990,194.7,,[75]
United States of America,231,Agricultural water withdrawal,4250,2000,196.5,,"[76,77]"
United States of America,231,Agricultural water withdrawal,4250,2005,191.9,,"[78,79]"
United States of America,231,Agricultural water withdrawal,4250,2010,175.1,,"[80,81]"
United States of America,231,Agricultural water withdrawal,4250,2015,176.2,,
Uruguay,234,Agricultural water withdrawal,4250,1965,0.5915,,
Uruguay,234,Agricultural water withdrawal,4250,2000,3.17,,
Venezuela (Bolivarian Republic of),236,Agricultural water withdrawal,4250,1970,1.886,,
Venezuela (Bolivarian Republic of),236,Agricultural water withdrawal,4250,2000,3.97,L,
Venezuela (Bolivarian Republic of),236,Agricultural water withdrawal,4250,2007,16.71,I,
Venezuela (Bolivarian Republic of),236,Agricultural water withdrawal,4250,2008,16.71,L,[82]
Afghanistan,2,Agricultural water withdrawal,4250,1987,25.85,,
Afghanistan,2,Agricultural water withdrawal,4250,1998,20,,
Armenia,1,Agricultural water withdrawal,4250,1995,1.94,,
Armenia,1,Agricultural water withdrawal,4250,2002,1.14,I,
Armenia,1,Agricultural water withdrawal,4250,2007,1.89,,
Armenia,1,Agricultural water withdrawal,4250,2012,2.108,,
Armenia,1,Agricultural water withdrawal,4250,2017,2.127,,
Azerbaijan,52,Agricultural water withdrawal,4250,1992,10.93,,
Azerbaijan,52,Agricultural water withdrawal,4250,1997,9.254,,
Azerbaijan,52,Agricultural water withdrawal,4250,2002,6.376,,
Azerbaijan,52,Agricultural water withdrawal,4250,2007,8.581,,
Azerbaijan,52,Agricultural water withdrawal,4250,2012,8.887,,
Azerbaijan,52,Agricultural water withdrawal,4250,2017,9.27,,
Bahrain,13,Agricultural water withdrawal,4250,1990,0.135,,
Bahrain,13,Agricultural water withdrawal,4250,2000,0.17,L,
Bahrain,13,Agricultural water withdrawal,4250,2003,0.1592,,
Bahrain,13,Agricultural water withdrawal,4250,2016,0.1447,,
Bangladesh,16,Agricultural water withdrawal,4250,2008,31.5,,[83]
Bhutan,18,Agricultural water withdrawal,4250,2008,0.318,,
Brunei Darussalam,26,Agricultural water withdrawal,4250,1995,0.0053,L,[84]
Cambodia,115,Agricultural water withdrawal,4250,2006,2.053,,
China,351,Agricultural water withdrawal,4250,1980,391.2,,
China,351,Agricultural water withdrawal,4250,1985,415.2,I,
China,351,Agricultural water withdrawal,4250,1990,415,,
China,351,Agricultural water withdrawal,4250,1993,407.7,,
China,351,Agricultural water withdrawal,4250,2000,378.4,,
China,351,Agricultural water withdrawal,4250,2007,360,,
China,351,Agricultural water withdrawal,4250,2012,388,,
China,351,Agricultural water withdrawal,4250,2015,385.2,,
Democratic People's Republic of Korea,116,Agricultural water withdrawal,4250,1995,6.61,L,
Democratic People's Republic of Korea,116,Agricultural water withdrawal,4250,2005,6.61,L,
Georgia,73,Agricultural water withdrawal,4250,2005,1.055,,[85]
India,100,Agricultural water withdrawal,4250,1975,353.4,,
India,100,Agricultural water withdrawal,4250,1980,411.7,I,
India,100,Agricultural water withdrawal,4250,1986,468,I,
India,100,Agricultural water withdrawal,4250,1990,460,,
India,100,Agricultural water withdrawal,4250,2000,558.4,L,
India,100,Agricultural water withdrawal,4250,2010,688,,
Indonesia,101,Agricultural water withdrawal,4250,1990,69.24,,
Indonesia,101,Agricultural water withdrawal,4250,2000,92.76,,
Indonesia,101,Agricultural water withdrawal,4250,2016,189.7,,
Iran (Islamic Republic of),102,Agricultural water withdrawal,4250,1995,76,,
Iran (Islamic Republic of),102,Agricultural water withdrawal,4250,2001,83.75,I,
Iran (Islamic Republic of),102,Agricultural water withdrawal,4250,2004,86,,
Iraq,103,Agricultural water withdrawal,4250,1975,39.53,,
Iraq,103,Agricultural water withdrawal,4250,1980,39.77,I,
Iraq,103,Agricultural water withdrawal,4250,1985,40,,
Iraq,103,Agricultural water withdrawal,4250,1990,39.38,,
Iraq,103,Agricultural water withdrawal,4250,1995,45.69,I,
Iraq,103,Agricultural water withdrawal,4250,2000,52,,
Iraq,103,Agricultural water withdrawal,4250,2016,35.27,,
Israel,105,Agricultural water withdrawal,4250,1970,1.249,,
Israel,105,Agricultural water withdrawal,4250,1975,1.242,I,
Israel,105,Agricultural water withdrawal,4250,1980,1.235,,
Israel,105,Agricultural water withdrawal,4250,1990,1.216,,
Israel,105,Agricultural water withdrawal,4250,2002,1.021,,
Israel,105,Agricultural water withdrawal,4250,2004,1.129,,
Israel,105,Agricultural water withdrawal,4250,2010,1.1,,
Israel,105,Agricultural water withdrawal,4250,2017,1.249,,
Japan,110,Agricultural water withdrawal,4250,1980,58,,
Japan,110,Agricultural water withdrawal,4250,1992,58.6,,
Japan,110,Agricultural water withdrawal,4250,1997,58.88,E,
Japan,110,Agricultural water withdrawal,4250,2002,56.05,E,[86]
Japan,110,Agricultural water withdrawal,4250,2007,54.5,E,[87]
Japan,110,Agricultural water withdrawal,4250,2009,54.43,E,[88]
Jordan,112,Agricultural water withdrawal,4250,1975,0.293,,
Jordan,112,Agricultural water withdrawal,4250,1980,0.377,I,
Jordan,112,Agricultural water withdrawal,4250,1985,0.461,,
Jordan,112,Agricultural water withdrawal,4250,1992,0.737,,
Jordan,112,Agricultural water withdrawal,4250,2002,0.517,,[89]
Jordan,112,Agricultural water withdrawal,4250,2007,0.589,,[90]
Jordan,112,Agricultural water withdrawal,4250,2012,0.462,,[91]
Jordan,112,Agricultural water withdrawal,4250,2016,0.5547,,[92]
Kazakhstan,108,Agricultural water withdrawal,4250,1995,27.41,,
Kazakhstan,108,Agricultural water withdrawal,4250,2002,15.17,,
Kazakhstan,108,Agricultural water withdrawal,4250,2007,14.46,,
Kazakhstan,108,Agricultural water withdrawal,4250,2012,12.49,,
Kazakhstan,108,Agricultural water withdrawal,4250,2017,15.12,,
Kuwait,118,Agricultural water withdrawal,4250,1994,0.324,,
Kuwait,118,Agricultural water withdrawal,4250,2002,0.4919,,
Kuwait,118,Agricultural water withdrawal,4250,2017,0.7784,,
Kyrgyzstan,113,Agricultural water withdrawal,4250,1994,9.496,,
Kyrgyzstan,113,Agricultural water withdrawal,4250,2000,9.45,L,
Kyrgyzstan,113,Agricultural water withdrawal,4250,2006,7.447,,
Kyrgyzstan,113,Agricultural water withdrawal,4250,2011,7.1,,
Lao People's Democratic Republic,120,Agricultural water withdrawal,4250,2005,3.193,L,[93]
Lao People's Democratic Republic,120,Agricultural water withdrawal,4250,2017,7.02,,
Lebanon,121,Agricultural water withdrawal,4250,1975,0.638,,
Lebanon,121,Agricultural water withdrawal,4250,1994,0.875,,
Lebanon,121,Agricultural water withdrawal,4250,2000,0.92,L,
Lebanon,121,Agricultural water withdrawal,4250,2005,0.78,,
Lebanon,121,Agricultural water withdrawal,4250,2015,0.7,,
Malaysia,131,Agricultural water withdrawal,4250,1990,8.3,I,
Malaysia,131,Agricultural water withdrawal,4250,1996,2.505,L,[94]
Maldives,132,Agricultural water withdrawal,4250,1987,0,,
Maldives,132,Agricultural water withdrawal,4250,2008,0,I,
Mongolia,141,Agricultural water withdrawal,4250,1993,0.227,,
Mongolia,141,Agricultural water withdrawal,4250,2006,0.224,,
Mongolia,141,Agricultural water withdrawal,4250,2009,0.242,,
Mongolia,141,Agricultural water withdrawal,4250,2016,0.2509,,
Myanmar,28,Agricultural water withdrawal,4250,1987,27.86,I,
Myanmar,28,Agricultural water withdrawal,4250,2000,29.57,,
Nepal,149,Agricultural water withdrawal,4250,2000,9.32,L,"[95,96]"
Nepal,149,Agricultural water withdrawal,4250,2006,9.32,L,[97]
Oman,221,Agricultural water withdrawal,4250,1991,1.148,,
Oman,221,Agricultural water withdrawal,4250,2000,1.23,L,
Oman,221,Agricultural water withdrawal,4250,2003,1.168,,
Oman,221,Agricultural water withdrawal,4250,2013,1.607,,
Pakistan,165,Agricultural water withdrawal,4250,1975,150.3,,
Pakistan,165,Agricultural water withdrawal,4250,1991,150.6,,
Pakistan,165,Agricultural water withdrawal,4250,2000,162.7,L,
Pakistan,165,Agricultural water withdrawal,4250,2008,172.4,,
Palestine,299,Agricultural water withdrawal,4250,2001,0.167,,
Palestine,299,Agricultural water withdrawal,4250,2005,0.189,,
Palestine,299,Agricultural water withdrawal,4250,2017,0.162,,
Papua New Guinea,168,Agricultural water withdrawal,4250,2000,0.001,L,
Papua New Guinea,168,Agricultural water withdrawal,4250,2005,0.001,L,
Philippines,171,Agricultural water withdrawal,4250,2007,67.19,,
Philippines,171,Agricultural water withdrawal,4250,2012,67.91,,
Philippines,171,Agricultural water withdrawal,4250,2017,67.97,,
Qatar,179,Agricultural water withdrawal,4250,1994,0.2106,,
Qatar,179,Agricultural water withdrawal,4250,2000,0.21,L,
Qatar,179,Agricultural water withdrawal,4250,2007,0.254,,
Qatar,179,Agricultural water withdrawal,4250,2012,0.2888,,
Qatar,179,Agricultural water withdrawal,4250,2016,0.2917,,
Republic of Korea,117,Agricultural water withdrawal,4250,1990,14.1,E,
Republic of Korea,117,Agricultural water withdrawal,4250,1997,15.29,E,
Republic of Korea,117,Agricultural water withdrawal,4250,2002,16.1,E,[98]
Republic of Korea,117,Agricultural water withdrawal,4250,2003,15.96,E,
Saudi Arabia,194,Agricultural water withdrawal,4250,1992,15.31,,
Saudi Arabia,194,Agricultural water withdrawal,4250,2006,20.83,E,
Saudi Arabia,194,Agricultural water withdrawal,4250,2012,17.51,,[99]
Saudi Arabia,194,Agricultural water withdrawal,4250,2017,19.2,,[100]
Singapore,200,Agricultural water withdrawal,4250,1975,0.0076,,
Sri Lanka,38,Agricultural water withdrawal,4250,1990,9.379,,
Sri Lanka,38,Agricultural water withdrawal,4250,2000,12,L,
Sri Lanka,38,Agricultural water withdrawal,4250,2005,11.31,,
Syrian Arab Republic,212,Agricultural water withdrawal,4250,1997,12.84,,
Syrian Arab Republic,212,Agricultural water withdrawal,4250,2002,14.41,,
Syrian Arab Republic,212,Agricultural water withdrawal,4250,2003,14.67,,
Tajikistan,208,Agricultural water withdrawal,4250,1994,10.96,,
Tajikistan,208,Agricultural water withdrawal,4250,2000,10.96,L,
Tajikistan,208,Agricultural water withdrawal,4250,2006,10.44,,
Thailand,216,Agricultural water withdrawal,4250,2007,51.79,,
Timor-Leste,176,Agricultural water withdrawal,4250,2004,1.071,,
Turkey,223,Agricultural water withdrawal,4250,1992,22.9,,
