species,source,year,produced mass (tonnes)
Grass carp(=White amur),cultured,2012,4590906.449999999
Silver carp,cultured,2014,4575374.72
Marine fishes nei,captured,1966,4546659.0
Nile tilapia,cultured,2018,4525430.91
Alaska pollock(=Walleye poll.),captured,1996,4510003.0
Alaska pollock(=Walleye poll.),captured,1997,4480871.0
Alaska pollock(=Walleye poll.),captured,1982,4478217.0
Japanese pilchard,captured,1983,4464825.0
Nile tilapia,cultured,2017,4457625.5600000005
South American pilchard,captured,1989,4440783.0
Grass carp(=White amur),cultured,2011,4415896.390000001
Cupped oysters nei,cultured,2015,4408590.82
Freshwater fishes nei,captured,2000,4385249.0
Chilean jack mackerel,captured,1996,4378843.0
Alaska pollock(=Walleye poll.),captured,1994,4374765.0
Freshwater fishes nei,captured,2001,4357019.0
Anchoveta(=Peruvian anchovy),captured,2015,4310015.0
Marine fishes nei,captured,1965,4303240.0
Anchoveta(=Peruvian anchovy),captured,1976,4297095.0
Alaska pollock(=Walleye poll.),captured,1977,4295882.0
Chilean jack mackerel,captured,1994,4261941.0
South American pilchard,captured,1990,4253718.0
Silver carp,cultured,2013,4248130.37
Japanese carpet shell,cultured,2017,4228206.489999999
Alaska pollock(=Walleye poll.),captured,1972,4213300.0
Grass carp(=White amur),cultured,2010,4213119.42
Anchoveta(=Peruvian anchovy),captured,2010,4205979.0
South American pilchard,captured,1991,4189889.0
Freshwater fishes nei,captured,1999,4189561.0
Common carp,cultured,2018,4189524.400000001
Cupped oysters nei,cultured,2014,4181566.53
Alaska pollock(=Walleye poll.),captured,1981,4176828.0
Japanese carpet shell,cultured,2016,4175833.4
Nile tilapia,cultured,2016,4164977.6099999994
Japanese carpet shell,cultured,2018,4139157.16
Whiteleg shrimp,cultured,2016,4126029.2500000005
Grass carp(=White amur),cultured,2009,4118270.09
Atlantic herring,captured,1966,4095374.0
South American pilchard,captured,1983,4066403.0
Cupped oysters nei,cultured,2013,4063561.0
Common carp,cultured,2016,4054692.36
Nile tilapia,cultured,2015,4049860.0500000003
Freshwater fishes nei,captured,2002,4049798.0
Alaska pollock(=Walleye poll.),captured,1998,4048878.0
Silver carp,cultured,2009,4043828.2
Common carp,cultured,2015,4025761.8900000015
Alaska pollock(=Walleye poll.),captured,1980,4020814.0
Anchoveta(=Peruvian anchovy),captured,1991,4017106.0
Capelin,captured,1977,4008746.0
Atlantic herring,captured,1965,4001997.0
Marine fishes nei,captured,1964,3976727.0
Anchoveta(=Peruvian anchovy),captured,1974,3972670.0
Silver carp,cultured,2010,3971966.2699999996
Japanese pilchard,captured,1982,3966090.0
Chilean jack mackerel,captured,1991,3961086.0
Alaska pollock(=Walleye poll.),captured,1979,3944049.0
Atlantic cod,captured,1968,3939642.0
Silver carp,cultured,2011,3926248.62
Alaska pollock(=Walleye poll.),captured,1978,3925329.0
Anchoveta(=Peruvian anchovy),captured,2017,3922746.0
Common carp,cultured,2017,3904441.8100000005
Atlantic herring,captured,1967,3899256.0
Japanese carpet shell,cultured,2015,3880208.42
Common carp,cultured,2014,3866275.6299999994
Silver carp,cultured,2012,3863841.62
Japanese carpet shell,cultured,2014,3838582.01
Chilean jack mackerel,captured,1990,3828452.0
Cupped oysters nei,cultured,2012,3807442.4
Marine fishes nei,captured,1963,3803664.0
Whiteleg shrimp,cultured,2015,3802945.2600000007
Grass carp(=White amur),cultured,2008,3798027.14
Silver carp,cultured,2006,3793453.13
Silver carp,cultured,2008,3792265.72
Japanese pilchard,captured,1991,3774247.0
Anchoveta(=Peruvian anchovy),captured,1990,3771577.0
Nile tilapia,cultured,2014,3758371.8699999996
Japanese carpet shell,cultured,2013,3721973.88
Common carp,cultured,2013,3693152.4000000004
Silver carp,cultured,2005,3689963.99
Chilean jack mackerel,captured,1989,3666038.0
Atlantic cod,captured,1969,3644923.0
Grass carp(=White amur),cultured,2007,3640799.5
Japanese carpet shell,cultured,2012,3618691.7
Japanese pilchard,captured,1981,3613379.0
Anchoveta(=Peruvian anchovy),captured,1988,3613107.0
Silver carp,cultured,2007,3609698.75
Chilean jack mackerel,captured,1997,3597117.0
Whiteleg shrimp,cultured,2014,3595695.52
Cupped oysters nei,cultured,2011,3594865.5
Alaska pollock(=Walleye poll.),captured,1971,3588900.0
Freshwater fishes nei,captured,1997,3582545.0
Cupped oysters nei,cultured,2010,3570733.1
Silver carp,cultured,2004,3559616.0
Freshwater fishes nei,captured,1998,3558164.0
Cupped oysters nei,cultured,2007,3546225.0
Freshwater fishes nei,captured,1996,3545472.0
Atlantic herring,captured,1964,3518108.0
Marine fishes nei,captured,1962,3510833.0
Japanese carpet shell,cultured,2011,3507392.97
Japanese carpet shell,cultured,2010,3500183.5
Cupped oysters nei,cultured,2009,3497159.4
Common carp,cultured,2012,3493945.94
Alaska pollock(=Walleye poll.),captured,2017,3488646.0
Cupped oysters nei,cultured,2006,3487772.0
Nile tilapia,cultured,2013,3484546.83
Silver carp,cultured,2001,3482663.0
Anchoveta(=Peruvian anchovy),captured,1960,3481300.0
Alaska pollock(=Walleye poll.),captured,2016,3476385.0
South American pilchard,captured,1982,3475535.0
Grass carp(=White amur),cultured,2006,3434333.39
Alaska pollock(=Walleye poll.),captured,2018,3396608.0
Grass carp(=White amur),cultured,2005,3396567.99
Silver carp,cultured,2002,3392263.0
Silver carp,cultured,2003,3387183.0
Chilean jack mackerel,captured,1992,3379343.0
Cupped oysters nei,cultured,2005,3377483.0
Chilean jack mackerel,captured,1993,3376871.0
Cupped oysters nei,cultured,2008,3376793.89
Alaska pollock(=Walleye poll.),captured,2015,3372741.0
Capelin,captured,1976,3358826.0
Marine fishes nei,captured,1961,3354879.0
Common carp,cultured,2011,3347618.959999999
South American pilchard,captured,1979,3345997.0
Nile tilapia,cultured,2012,3342210.33
Common carp,cultured,2010,3330996.9599999995
Atlantic herring,captured,1968,3330640.0
Cupped oysters nei,cultured,2004,3319871.0
Anchoveta(=Peruvian anchovy),captured,1975,3318656.0
Grass carp(=White amur),cultured,2003,3273999.0
Alaska pollock(=Walleye poll.),captured,2012,3271726.0
Alaska pollock(=Walleye poll.),captured,1999,3268728.0
South American pilchard,captured,1980,3253365.0
Grass carp(=White amur),cultured,2004,3249099.0
Alaska pollock(=Walleye poll.),captured,2013,3247757.0
Chilean jack mackerel,captured,1988,3245699.0
Cupped oysters nei,cultured,2003,3245673.0
Alaska pollock(=Walleye poll.),captured,2014,3245082.0
Japanese carpet shell,cultured,2009,3212526.8200000003
Alaska pollock(=Walleye poll.),captured,2011,3210513.0
Freshwater fishes nei,captured,1995,3208232.0
Atlantic cod,captured,1967,3201009.0
Cupped oysters nei,cultured,2002,3195295.0
Anchoveta(=Peruvian anchovy),captured,2016,3192476.0
Freshwater fishes nei,captured,1973,3169157.0
Bighead carp,cultured,2016,3161494.32
Skipjack tuna,captured,2018,3161308.0
Marine fishes nei,captured,1960,3160856.0
Capelin,captured,1978,3158301.0
Bighead carp,cultured,2017,3147813.9599999995
Whiteleg shrimp,cultured,2012,3144904.4
Bighead carp,cultured,2018,3143722.67
Anchoveta(=Peruvian anchovy),captured,2014,3140029.0
Alaska pollock(=Walleye poll.),captured,2001,3138640.0
Grass carp(=White amur),cultured,2002,3136669.0
Whiteleg shrimp,cultured,2013,3121841.8000000003
Japanese carpet shell,cultured,2008,3110041.88
Atlantic cod,captured,1970,3106122.0
Common carp,cultured,2009,3105808.3699999996
Pacific chub mackerel,captured,1978,3102728.0
Cupped oysters nei,cultured,2001,3092673.0
Freshwater fishes nei,captured,1974,3092375.0
Bighead carp,cultured,2015,3092212.86
Alaska pollock(=Walleye poll.),captured,1970,3057300.0
South American pilchard,captured,1992,3057073.0
Atlantic cod,captured,1956,3053834.0
Japanese carpet shell,cultured,2007,3045702.0
Catla,cultured,2018,3041298.81
Freshwater fishes nei,captured,1975,3038790.0
Freshwater fishes nei,captured,1993,3035964.0
Freshwater fishes nei,captured,1990,3034770.0
Silver carp,cultured,2000,3034740.0
Silver carp,cultured,1997,3028507.0
Grass carp(=White amur),cultured,2001,3021957.0
Whiteleg shrimp,cultured,2011,3021902.9000000004
Atlantic herring,captured,1954,3021256.0
Freshwater fishes nei,captured,1986,3020402.0
Freshwater fishes nei,captured,1972,3013874.0
Atlantic cod,captured,1962,3013837.0
Silver carp,cultured,1998,3006847.0
Freshwater fishes nei,captured,1994,3003966.0
Silver carp,cultured,1999,2999659.0
Atlantic herring,captured,1956,2993487.0
Skipjack tuna,captured,2014,2991971.0
Freshwater fishes nei,captured,1983,2987747.0
Grass carp(=White amur),cultured,2000,2976491.0
Common carp,cultured,2008,2974374.54
South American pilchard,captured,1981,2973133.0
Atlantic cod,captured,1963,2967350.0
Freshwater fishes nei,captured,1987,2963879.0
Bighead carp,cultured,2014,2957614.92
Marine fishes nei,captured,1959,2956560.0
Common carp,cultured,2003,2956101.0
Freshwater fishes nei,captured,1971,2950368.0
Capelin,captured,1979,2933573.0
Alaska pollock(=Walleye poll.),captured,2000,2929654.0
Silver carp,cultured,1996,2925490.0
Cupped oysters nei,cultured,2000,2922557.0
Nile tilapia,cultured,2011,2917407.8399999994
Atlantic cod,captured,1955,2913340.0
Alaska pollock(=Walleye poll.),captured,2007,2909418.0
Grass carp(=White amur),cultured,1999,2903354.0
Atlantic cod,captured,1961,2888949.0
Alaska pollock(=Walleye poll.),captured,2003,2887962.0
Freshwater fishes nei,captured,1970,2882518.0
Freshwater fishes nei,captured,1988,2882503.0
Freshwater fishes nei,captured,1985,2882127.0
Freshwater fishes nei,captured,1981,2880271.0
Atlantic cod,captured,1966,2876044.0
Atlantic herring,captured,1963,2867140.0
Freshwater fishes nei,captured,1984,2867078.0
Freshwater fishes nei,captured,1977,2865462.0
Skipjack tuna,captured,2016,2861826.0
Alaska pollock(=Walleye poll.),captured,2006,2860487.0
Freshwater fishes nei,captured,1976,2850470.0
Freshwater fishes nei,captured,1989,2834653.0
Alaska pollock(=Walleye poll.),captured,2010,2833170.0
Atlantic cod,captured,1971,2830436.0
Freshwater fishes nei,captured,1969,2828331.0
Freshwater fishes nei,captured,1991,2827429.0
Skipjack tuna,captured,2015,2821698.0
Freshwater fishes nei,captured,1982,2820396.0
Carassius spp,cultured,2017,2818875.32
Common carp,cultured,2007,2816376.68
Common carp,cultured,2002,2813522.0
Marine fishes nei,captured,1958,2812343.0
Atlantic cod,captured,1974,2811024.0
Japanese carpet shell,cultured,2006,2807042.0
Capelin,captured,1981,2805095.0
Alaska pollock(=Walleye poll.),captured,2005,2790974.0
Skipjack tuna,captured,2013,2790752.0
Freshwater fishes nei,captured,1980,2788600.0
Bighead carp,cultured,2013,2787563.05
Skipjack tuna,captured,2017,2784911.0
Marine fishes nei,captured,1956,2779550.0
Carassius spp,cultured,2018,2772318.62
Freshwater fishes nei,captured,1968,2765383.0
Freshwater fishes nei,captured,1992,2764876.0
Freshwater fishes nei,captured,1979,2762695.0
Atlantic cod,captured,1965,2761304.0
Common carp,cultured,2001,2749674.0
Atlantic herring,captured,1955,2748738.0
Atlantic herring,captured,1962,2736993.0
Marine fishes nei,captured,1957,2733430.0
Atlantic cod,captured,1972,2727559.0
Carassius spp,cultured,2016,2726746.7199999997
Atlantic herring,captured,1957,2726602.0
Atlantic herring,captured,1959,2712756.0
Catla,cultured,2017,2708092.51
Atlantic cod,captured,1954,2702903.0
Pacific chub mackerel,captured,1979,2701385.0
Grass carp(=White amur),cultured,1998,2698347.0
Common carp,cultured,2006,2695208.16
Cupped oysters nei,cultured,1999,2695071.0
Alaska pollock(=Walleye poll.),captured,2004,2693091.0
Chilean jack mackerel,captured,1987,2681782.0
Atlantic cod,captured,1960,2674960.0
Freshwater fishes nei,captured,1978,2673268.0
Common carp,cultured,2005,2666316.15
Atlantic cod,captured,1964,2664825.0
Nile tilapia,cultured,2010,2657706.3900000006
Alaska pollock(=Walleye poll.),captured,2002,2653209.0
Alaska pollock(=Walleye poll.),captured,2008,2649155.0
Whiteleg shrimp,cultured,2010,2648540.69
Bighead carp,cultured,2012,2646376.5300000003
Carassius spp,cultured,2015,2644086.6999999997
Freshwater fishes nei,captured,1967,2611371.0
Atlantic herring,captured,1952,2610883.0
Atlantic herring,captured,1960,2601197.0
Japanese pilchard,captured,1980,2595315.0
Capelin,captured,1984,2595117.0
Capelin,captured,1980,2592471.0
Cupped oysters nei,cultured,1998,2592445.0
Japanese carpet shell,cultured,2005,2590759.0
Skipjack tuna,captured,2012,2585717.0
Silver carp,cultured,1995,2583721.0
Freshwater fishes nei,cultured,2016,2581967.0200000005
Skipjack tuna,captured,2006,2574891.0
Atlantic herring,captured,1953,2569265.0
Skipjack tuna,captured,2009,2563070.0
Bighead carp,cultured,2011,2561242.61
Common carp,cultured,2004,2559611.0
Atlantic cod,captured,1958,2558462.0
Freshwater fishes nei,captured,1965,2553760.0
Capelin,captured,1983,2553381.0
Alaska pollock(=Walleye poll.),captured,1969,2552251.0
Atlantic cod,captured,1957,2545954.0
Freshwater fishes nei,cultured,2018,2545075.54
Atlantic cod,captured,1973,2538648.0
Atlantic herring,captured,1997,2531600.0
Grass carp(=White amur),cultured,1997,2530302.0
Chilean jack mackerel,captured,2001,2528924.0
Catla,cultured,2010,2526420.0
Atlantic herring,captured,1951,2522087.0
Atlantic herring,captured,2009,2517482.0
Atlantic herring,captured,1958,2516098.0
Carassius spp,cultured,2014,2511854.6
Japanese carpet shell,cultured,2004,2511186.0
Freshwater fishes nei,captured,1966,2510673.0
Catla,cultured,2016,2509358.73
Skipjack tuna,captured,2007,2503857.0
Marine fishes nei,captured,1955,2503265.0
Alaska pollock(=Walleye poll.),captured,2009,2503247.0
Bighead carp,cultured,2010,2496877.47
Pacific chub mackerel,captured,1980,2491797.0
Japanese pilchard,captured,1992,2488533.0
Atlantic herring,captured,2008,2480398.0
Atlantic cod,captured,1959,2475684.0
Freshwater fishes nei,cultured,2002,2472019.0
Atlantic cod,captured,1952,2467216.0
Grass carp(=White amur),cultured,1996,2461833.0
Skipjack tuna,captured,2008,2460764.0
Skipjack tuna,captured,2010,2451652.0
Atlantic herring,captured,1961,2437803.0
Atlantic salmon,cultured,2018,2435947.59
Atlantic cod,captured,1975,2434278.0
Whiteleg shrimp,cultured,2009,2429346.04
Blue whiting(=Poutassou),captured,2004,2428955.0
Bighead carp,cultured,2009,2428448.2
Skipjack tuna,captured,2011,2427937.0
Atlantic herring,captured,1998,2421573.0
Atlantic herring,captured,1999,2411230.0
Common carp,cultured,2000,2410392.0
Freshwater fishes nei,captured,1964,2399444.0
Atlantic herring,captured,1969,2398560.0
Blue whiting(=Poutassou),captured,2003,2385031.0
Skipjack tuna,captured,2005,2383699.0
Atlantic cod,captured,1976,2382209.0
Atlantic salmon,cultured,2015,2381579.41
Atlantic herring,captured,2000,2379004.0
Atlantic herring,captured,2007,2369989.0
Carassius spp,cultured,2013,2359632.3
Striped catfish,cultured,2018,2359521.4699999997
Atlantic salmon,cultured,2017,2358663.0500000003
Nile tilapia,cultured,2009,2358008.9000000004
Atlantic herring,captured,1995,2353606.0
Whiteleg shrimp,cultured,2007,2352245.3
Atlantic salmon,cultured,2014,2348066.96
Common carp,cultured,1999,2347277.0
Atlantic cod,captured,1981,2345556.0
Marine fishes nei,captured,1954,2331386.0
Pacific chub mackerel,captured,1977,2325125.0
Atlantic cod,captured,1953,2324815.0
Chilean jack mackerel,captured,1984,2324010.0
Bighead carp,cultured,2008,2321378.0
Atlantic herring,captured,1970,2320434.0
Atlantic herring,captured,1996,2317552.0
Atlantic herring,captured,2005,2314821.0
Catla,cultured,2015,2313444.14
Cupped oysters nei,cultured,1996,2310296.0
Cupped oysters nei,cultured,1995,2304847.0
Whiteleg shrimp,cultured,2008,2304558.4
Striped catfish,cultured,2017,2295998.53
Japanese carpet shell,cultured,2003,2287787.0
Catla,cultured,2013,2275623.8
Atlantic cod,captured,1977,2271320.0
Catla,cultured,2014,2269420.36
Catla,cultured,2012,2260571.8
Atlantic cod,captured,1982,2253445.0
Atlantic herring,captured,2006,2251898.0
Capelin,captured,1975,2248185.0
Atlantic salmon,cultured,2016,2247293.0799999996
Carassius spp,cultured,2012,2232647.9
Silver carp,cultured,1994,2219138.0
Capelin,captured,1985,2216484.0
Atlantic cod,captured,1980,2208814.0
Freshwater fishes nei,cultured,2015,2208157.52
Chilean jack mackerel,captured,1982,2204641.0
Atlantic cod,captured,1951,2204490.0
Atlantic herring,captured,2010,2204277.0
Alaska pollock(=Walleye poll.),captured,1968,2201561.0
Cupped oysters nei,cultured,1997,2199779.0
Skipjack tuna,captured,2004,2196622.0
Skipjack tuna,captured,2003,2194906.0
Striped catfish,cultured,2016,2191733.9899999998
Common carp,cultured,1998,2184830.0
Freshwater fishes nei,cultured,2017,2183058.5700000003
Freshwater fishes nei,captured,1962,2174806.0
Nile tilapia,cultured,2008,2172764.5
Carassius spp,cultured,2011,2170680.61
Bighead carp,cultured,2007,2166141.0
Whiteleg shrimp,cultured,2006,2161008.0
Freshwater fishes nei,captured,1963,2157068.0
Japanese pilchard,captured,1979,2155865.0
Atlantic herring,captured,1971,2151383.0
Chilean jack mackerel,captured,1985,2148841.0
Freshwater fishes nei,cultured,2013,2148091.7300000004
Carassius spp,cultured,2010,2137841.23
Catla,cultured,2007,2133929.0
Atlantic cod,captured,1978,2127147.0
Grass carp(=White amur),cultured,1995,2118169.0
Capelin,captured,1992,2115140.0
Anchoveta(=Peruvian anchovy),captured,1987,2100508.0
Atlantic salmon,cultured,2013,2093985.9100000001
Pacific chub mackerel,captured,1997,2091751.0
Skipjack tuna,captured,2002,2091031.0
Striped catfish,cultured,2015,2083170.8199999998
Atlantic cod,captured,1950,2079877.0
Japanese carpet shell,cultured,2002,2074651.0
Atlantic salmon,cultured,2012,2074398.0999999999
Atlantic cod,captured,1983,2071282.0
Blue whiting(=Poutassou),captured,2005,2070344.0
Atlantic cod,captured,1987,2070270.0
Bighead carp,cultured,2006,2066681.0
Atlantic herring,captured,1950,2066347.0
Common carp,cultured,1997,2060400.0
Capelin,captured,1973,2054060.0
Common carp,cultured,1996,2041280.0
Atlantic cod,captured,1979,2039820.0
Catla,cultured,2009,2039120.7
Blue whiting(=Poutassou),captured,2006,2038724.0
Atlantic cod,captured,1986,2038343.0
Striped catfish,cultured,2014,2036841.9
Chilean jack mackerel,captured,1998,2025758.0
Atlantic herring,captured,2004,2023481.0
Carassius spp,cultured,2009,2022118.0
Anchoveta(=Peruvian anchovy),captured,1959,2022000.0
Chilean jack mackerel,captured,2006,2021154.0
Roho labeo,cultured,2018,2016786.0999999999
Freshwater fishes nei,captured,1961,2008634.0
Scallops nei,cultured,2017,2007692.0
Atlantic cod,captured,1984,2007364.0
Skipjack tuna,captured,2000,1998065.0
Chilean jack mackerel,captured,2007,1997166.0
Skipjack tuna,captured,1999,1996977.0
South American pilchard,captured,1978,1990772.0
Catla,cultured,2011,1988379.0
Striped catfish,cultured,2012,1985393.0
Freshwater fishes nei,cultured,2014,1983480.5499999998
Capelin,captured,2002,1980885.0
Atlantic herring,captured,1973,1979461.0
Catla,cultured,2008,1974831.0
Striped catfish,cultured,2013,1967102.87
South American pilchard,captured,1993,1966530.0
Roho labeo,cultured,2017,1963703.1800000002
Atlantic cod,captured,1985,1961034.0
Chilean jack mackerel,captured,1986,1960897.0
Atlantic herring,captured,2003,1957801.0
Atlantic cod,captured,1988,1957768.0
Nile tilapia,cultured,2007,1957731.2
Carassius spp,cultured,2008,1955521.0
Capelin,captured,1972,1946235.0
Pacific chub mackerel,captured,1974,1946020.0
Atlantic herring,captured,2001,1940830.0
Skipjack tuna,captured,1998,1938572.0
Japanese anchovy,captured,1998,1937750.0
Cupped oysters nei,cultured,1994,1937395.0
Carassius spp,cultured,2007,1937133.0
Marine fishes nei,captured,1953,1937109.0
Chilean jack mackerel,captured,2004,1936200.0
Japanese pilchard,captured,1978,1933926.0
Atlantic herring,captured,1994,1930045.0
Scallops nei,cultured,2018,1917993.0
Freshwater fishes nei,cultured,2001,1915247.0
Bighead carp,cultured,2005,1912238.0
Freshwater fishes nei,captured,1955,1910990.0
Atlantic herring,captured,1972,1909320.0
Capelin,captured,1974,1907869.0
Pacific chub mackerel,captured,1996,1906732.0
Silver carp,cultured,1993,1903888.0
Japanese anchovy,captured,2003,1899570.0
Pacific chub mackerel,captured,1984,1875210.0
Atlantic herring,captured,2002,1867439.0
Marine fishes nei,captured,1952,1862998.0
Skipjack tuna,captured,2001,1857938.0
Freshwater fishes nei,cultured,2012,1857372.9999999998
Atlantic herring,captured,2012,1850884.0
Scallops nei,cultured,2016,1849925.0
Japanese carpet shell,cultured,2001,1847836.0
Carassius spp,cultured,2006,1845100.0
