Year,Measurement type,Value (Spline fit)
86,CH4 concentration (ppb),628.8
87,CH4 concentration (ppb),628.9
88,CH4 concentration (ppb),629.1
89,CH4 concentration (ppb),629.2
90,CH4 concentration (ppb),629.3
91,CH4 concentration (ppb),629.4
92,CH4 concentration (ppb),629.6
93,CH4 concentration (ppb),629.7
94,CH4 concentration (ppb),629.9
95,CH4 concentration (ppb),630.0
96,CH4 concentration (ppb),630.2
97,CH4 concentration (ppb),630.4
98,CH4 concentration (ppb),630.5
99,CH4 concentration (ppb),630.7
100,CH4 concentration (ppb),630.9
101,CH4 concentration (ppb),631.1
102,CH4 concentration (ppb),631.3
103,CH4 concentration (ppb),631.5
104,CH4 concentration (ppb),631.7
105,CH4 concentration (ppb),631.9
106,CH4 concentration (ppb),632.1
107,CH4 concentration (ppb),632.3
108,CH4 concentration (ppb),632.6
109,CH4 concentration (ppb),632.8
110,CH4 concentration (ppb),633.0
111,CH4 concentration (ppb),633.2
112,CH4 concentration (ppb),633.5
113,CH4 concentration (ppb),633.7
114,CH4 concentration (ppb),634.0
115,CH4 concentration (ppb),634.2
116,CH4 concentration (ppb),634.4
117,CH4 concentration (ppb),634.7
118,CH4 concentration (ppb),634.9
119,CH4 concentration (ppb),635.1
120,CH4 concentration (ppb),635.4
121,CH4 concentration (ppb),635.6
122,CH4 concentration (ppb),635.9
123,CH4 concentration (ppb),636.1
124,CH4 concentration (ppb),636.3
125,CH4 concentration (ppb),636.5
126,CH4 concentration (ppb),636.8
127,CH4 concentration (ppb),637.0
128,CH4 concentration (ppb),637.2
129,CH4 concentration (ppb),637.4
130,CH4 concentration (ppb),637.6
131,CH4 concentration (ppb),637.8
132,CH4 concentration (ppb),638.0
133,CH4 concentration (ppb),638.1
134,CH4 concentration (ppb),638.3
135,CH4 concentration (ppb),638.5
136,CH4 concentration (ppb),638.6
137,CH4 concentration (ppb),638.8
138,CH4 concentration (ppb),638.9
139,CH4 concentration (ppb),639.1
140,CH4 concentration (ppb),639.2
141,CH4 concentration (ppb),639.3
142,CH4 concentration (ppb),639.4
143,CH4 concentration (ppb),639.5
144,CH4 concentration (ppb),639.6
145,CH4 concentration (ppb),639.7
146,CH4 concentration (ppb),639.7
147,CH4 concentration (ppb),639.8
148,CH4 concentration (ppb),639.9
149,CH4 concentration (ppb),639.9
150,CH4 concentration (ppb),640.0
151,CH4 concentration (ppb),640.1
152,CH4 concentration (ppb),640.1
153,CH4 concentration (ppb),640.2
154,CH4 concentration (ppb),640.2
155,CH4 concentration (ppb),640.2
156,CH4 concentration (ppb),640.3
157,CH4 concentration (ppb),640.3
158,CH4 concentration (ppb),640.4
159,CH4 concentration (ppb),640.4
160,CH4 concentration (ppb),640.5
161,CH4 concentration (ppb),640.5
162,CH4 concentration (ppb),640.5
163,CH4 concentration (ppb),640.6
164,CH4 concentration (ppb),640.6
165,CH4 concentration (ppb),640.7
166,CH4 concentration (ppb),640.7
167,CH4 concentration (ppb),640.8
168,CH4 concentration (ppb),640.8
169,CH4 concentration (ppb),640.9
170,CH4 concentration (ppb),641.0
171,CH4 concentration (ppb),641.0
172,CH4 concentration (ppb),641.1
173,CH4 concentration (ppb),641.2
174,CH4 concentration (ppb),641.3
175,CH4 concentration (ppb),641.4
176,CH4 concentration (ppb),641.4
177,CH4 concentration (ppb),641.5
178,CH4 concentration (ppb),641.6
179,CH4 concentration (ppb),641.7
180,CH4 concentration (ppb),641.7
181,CH4 concentration (ppb),641.8
182,CH4 concentration (ppb),641.9
183,CH4 concentration (ppb),641.9
184,CH4 concentration (ppb),642.0
185,CH4 concentration (ppb),642.0
186,CH4 concentration (ppb),642.1
187,CH4 concentration (ppb),642.1
188,CH4 concentration (ppb),642.1
189,CH4 concentration (ppb),642.1
190,CH4 concentration (ppb),642.1
191,CH4 concentration (ppb),642.1
192,CH4 concentration (ppb),642.1
193,CH4 concentration (ppb),642.1
194,CH4 concentration (ppb),642.0
195,CH4 concentration (ppb),642.0
196,CH4 concentration (ppb),641.9
197,CH4 concentration (ppb),641.8
198,CH4 concentration (ppb),641.7
199,CH4 concentration (ppb),641.6
200,CH4 concentration (ppb),641.4
201,CH4 concentration (ppb),641.3
202,CH4 concentration (ppb),641.1
203,CH4 concentration (ppb),640.9
204,CH4 concentration (ppb),640.6
205,CH4 concentration (ppb),640.4
206,CH4 concentration (ppb),640.1
207,CH4 concentration (ppb),639.9
208,CH4 concentration (ppb),639.6
209,CH4 concentration (ppb),639.2
210,CH4 concentration (ppb),638.9
211,CH4 concentration (ppb),638.6
212,CH4 concentration (ppb),638.2
213,CH4 concentration (ppb),637.9
214,CH4 concentration (ppb),637.5
215,CH4 concentration (ppb),637.1
216,CH4 concentration (ppb),636.8
217,CH4 concentration (ppb),636.4
218,CH4 concentration (ppb),636.0
219,CH4 concentration (ppb),635.6
220,CH4 concentration (ppb),635.2
221,CH4 concentration (ppb),634.8
222,CH4 concentration (ppb),634.4
223,CH4 concentration (ppb),634.1
224,CH4 concentration (ppb),633.7
225,CH4 concentration (ppb),633.3
226,CH4 concentration (ppb),633.0
227,CH4 concentration (ppb),632.6
228,CH4 concentration (ppb),632.3
229,CH4 concentration (ppb),632.0
230,CH4 concentration (ppb),631.7
231,CH4 concentration (ppb),631.4
232,CH4 concentration (ppb),631.1
233,CH4 concentration (ppb),630.9
234,CH4 concentration (ppb),630.6
235,CH4 concentration (ppb),630.4
236,CH4 concentration (ppb),630.2
237,CH4 concentration (ppb),629.9
238,CH4 concentration (ppb),629.7
239,CH4 concentration (ppb),629.6
240,CH4 concentration (ppb),629.4
241,CH4 concentration (ppb),629.2
242,CH4 concentration (ppb),629.1
243,CH4 concentration (ppb),628.9
244,CH4 concentration (ppb),628.8
245,CH4 concentration (ppb),628.6
246,CH4 concentration (ppb),628.5
247,CH4 concentration (ppb),628.4
248,CH4 concentration (ppb),628.3
249,CH4 concentration (ppb),628.2
250,CH4 concentration (ppb),628.1
251,CH4 concentration (ppb),628.0
252,CH4 concentration (ppb),627.9
253,CH4 concentration (ppb),627.9
254,CH4 concentration (ppb),627.8
255,CH4 concentration (ppb),627.7
256,CH4 concentration (ppb),627.7
257,CH4 concentration (ppb),627.6
258,CH4 concentration (ppb),627.6
259,CH4 concentration (ppb),627.5
260,CH4 concentration (ppb),627.5
261,CH4 concentration (ppb),627.4
262,CH4 concentration (ppb),627.4
263,CH4 concentration (ppb),627.3
264,CH4 concentration (ppb),627.3
265,CH4 concentration (ppb),627.3
266,CH4 concentration (ppb),627.2
267,CH4 concentration (ppb),627.2
268,CH4 concentration (ppb),627.2
269,CH4 concentration (ppb),627.1
270,CH4 concentration (ppb),627.1
271,CH4 concentration (ppb),627.1
272,CH4 concentration (ppb),627.0
273,CH4 concentration (ppb),627.0
274,CH4 concentration (ppb),626.9
275,CH4 concentration (ppb),626.9
276,CH4 concentration (ppb),626.9
277,CH4 concentration (ppb),626.8
278,CH4 concentration (ppb),626.8
279,CH4 concentration (ppb),626.7
280,CH4 concentration (ppb),626.6
281,CH4 concentration (ppb),626.6
282,CH4 concentration (ppb),626.5
283,CH4 concentration (ppb),626.4
284,CH4 concentration (ppb),626.4
285,CH4 concentration (ppb),626.3
286,CH4 concentration (ppb),626.2
287,CH4 concentration (ppb),626.1
288,CH4 concentration (ppb),626.0
289,CH4 concentration (ppb),625.9
290,CH4 concentration (ppb),625.8
291,CH4 concentration (ppb),625.7
292,CH4 concentration (ppb),625.6
293,CH4 concentration (ppb),625.5
294,CH4 concentration (ppb),625.4
295,CH4 concentration (ppb),625.3
296,CH4 concentration (ppb),625.2
297,CH4 concentration (ppb),625.0
298,CH4 concentration (ppb),624.9
299,CH4 concentration (ppb),624.8
300,CH4 concentration (ppb),624.6
301,CH4 concentration (ppb),624.5
302,CH4 concentration (ppb),624.3
303,CH4 concentration (ppb),624.1
304,CH4 concentration (ppb),624.0
305,CH4 concentration (ppb),623.8
306,CH4 concentration (ppb),623.6
307,CH4 concentration (ppb),623.4
308,CH4 concentration (ppb),623.3
309,CH4 concentration (ppb),623.1
310,CH4 concentration (ppb),622.9
311,CH4 concentration (ppb),622.7
312,CH4 concentration (ppb),622.5
313,CH4 concentration (ppb),622.3
314,CH4 concentration (ppb),622.1
315,CH4 concentration (ppb),621.9
316,CH4 concentration (ppb),621.7
317,CH4 concentration (ppb),621.5
318,CH4 concentration (ppb),621.4
319,CH4 concentration (ppb),621.2
320,CH4 concentration (ppb),621.0
321,CH4 concentration (ppb),620.8
322,CH4 concentration (ppb),620.6
323,CH4 concentration (ppb),620.5
324,CH4 concentration (ppb),620.3
325,CH4 concentration (ppb),620.1
326,CH4 concentration (ppb),620.0
327,CH4 concentration (ppb),619.8
328,CH4 concentration (ppb),619.7
329,CH4 concentration (ppb),619.6
330,CH4 concentration (ppb),619.4
331,CH4 concentration (ppb),619.3
332,CH4 concentration (ppb),619.2
333,CH4 concentration (ppb),619.1
334,CH4 concentration (ppb),619.0
335,CH4 concentration (ppb),618.9
336,CH4 concentration (ppb),618.9
337,CH4 concentration (ppb),618.8
338,CH4 concentration (ppb),618.8
339,CH4 concentration (ppb),618.7
340,CH4 concentration (ppb),618.7
341,CH4 concentration (ppb),618.7
342,CH4 concentration (ppb),618.6
343,CH4 concentration (ppb),618.6
344,CH4 concentration (ppb),618.6
345,CH4 concentration (ppb),618.7
346,CH4 concentration (ppb),618.7
347,CH4 concentration (ppb),618.7
348,CH4 concentration (ppb),618.7
349,CH4 concentration (ppb),618.8
350,CH4 concentration (ppb),618.8
351,CH4 concentration (ppb),618.9
352,CH4 concentration (ppb),619.0
353,CH4 concentration (ppb),619.0
354,CH4 concentration (ppb),619.1
355,CH4 concentration (ppb),619.2
356,CH4 concentration (ppb),619.3
357,CH4 concentration (ppb),619.5
358,CH4 concentration (ppb),619.6
359,CH4 concentration (ppb),619.7
360,CH4 concentration (ppb),619.9
361,CH4 concentration (ppb),620.0
362,CH4 concentration (ppb),620.2
363,CH4 concentration (ppb),620.3
364,CH4 concentration (ppb),620.5
365,CH4 concentration (ppb),620.7
366,CH4 concentration (ppb),620.9
367,CH4 concentration (ppb),621.1
368,CH4 concentration (ppb),621.3
369,CH4 concentration (ppb),621.5
370,CH4 concentration (ppb),621.7
371,CH4 concentration (ppb),622.0
372,CH4 concentration (ppb),622.2
373,CH4 concentration (ppb),622.5
374,CH4 concentration (ppb),622.7
375,CH4 concentration (ppb),623.0
376,CH4 concentration (ppb),623.2
377,CH4 concentration (ppb),623.5
378,CH4 concentration (ppb),623.8
379,CH4 concentration (ppb),624.0
380,CH4 concentration (ppb),624.3
381,CH4 concentration (ppb),624.6
382,CH4 concentration (ppb),624.9
383,CH4 concentration (ppb),625.2
384,CH4 concentration (ppb),625.5
385,CH4 concentration (ppb),625.8
386,CH4 concentration (ppb),626.1
387,CH4 concentration (ppb),626.4
388,CH4 concentration (ppb),626.7
389,CH4 concentration (ppb),627.0
390,CH4 concentration (ppb),627.3
391,CH4 concentration (ppb),627.6
392,CH4 concentration (ppb),627.9
393,CH4 concentration (ppb),628.2
394,CH4 concentration (ppb),628.5
395,CH4 concentration (ppb),628.8
396,CH4 concentration (ppb),629.1
397,CH4 concentration (ppb),629.4
398,CH4 concentration (ppb),629.7
399,CH4 concentration (ppb),630.0
400,CH4 concentration (ppb),630.3
401,CH4 concentration (ppb),630.6
402,CH4 concentration (ppb),630.9
403,CH4 concentration (ppb),631.2
404,CH4 concentration (ppb),631.4
405,CH4 concentration (ppb),631.7
406,CH4 concentration (ppb),632.0
407,CH4 concentration (ppb),632.3
408,CH4 concentration (ppb),632.5
409,CH4 concentration (ppb),632.8
410,CH4 concentration (ppb),633.0
411,CH4 concentration (ppb),633.3
412,CH4 concentration (ppb),633.5
413,CH4 concentration (ppb),633.7
414,CH4 concentration (ppb),634.0
415,CH4 concentration (ppb),634.2
416,CH4 concentration (ppb),634.4
417,CH4 concentration (ppb),634.6
418,CH4 concentration (ppb),634.8
419,CH4 concentration (ppb),635.0
420,CH4 concentration (ppb),635.1
421,CH4 concentration (ppb),635.3
422,CH4 concentration (ppb),635.5
423,CH4 concentration (ppb),635.6
424,CH4 concentration (ppb),635.7
425,CH4 concentration (ppb),635.9
426,CH4 concentration (ppb),636.0
427,CH4 concentration (ppb),636.1
428,CH4 concentration (ppb),636.2
429,CH4 concentration (ppb),636.2
430,CH4 concentration (ppb),636.3
431,CH4 concentration (ppb),636.4
432,CH4 concentration (ppb),636.4
433,CH4 concentration (ppb),636.4
434,CH4 concentration (ppb),636.5
435,CH4 concentration (ppb),636.5
436,CH4 concentration (ppb),636.5
437,CH4 concentration (ppb),636.5
438,CH4 concentration (ppb),636.5
439,CH4 concentration (ppb),636.5
440,CH4 concentration (ppb),636.5
441,CH4 concentration (ppb),636.5
442,CH4 concentration (ppb),636.5
443,CH4 concentration (ppb),636.6
444,CH4 concentration (ppb),636.6
445,CH4 concentration (ppb),636.6
446,CH4 concentration (ppb),636.6
447,CH4 concentration (ppb),636.7
448,CH4 concentration (ppb),636.7
449,CH4 concentration (ppb),636.8
450,CH4 concentration (ppb),636.9
451,CH4 concentration (ppb),637.0
452,CH4 concentration (ppb),637.1
453,CH4 concentration (ppb),637.2
454,CH4 concentration (ppb),637.3
455,CH4 concentration (ppb),637.5
456,CH4 concentration (ppb),637.7
457,CH4 concentration (ppb),637.9
458,CH4 concentration (ppb),638.1
459,CH4 concentration (ppb),638.4
460,CH4 concentration (ppb),638.6
461,CH4 concentration (ppb),638.9
462,CH4 concentration (ppb),639.3
463,CH4 concentration (ppb),639.6
464,CH4 concentration (ppb),640.0
465,CH4 concentration (ppb),640.5
466,CH4 concentration (ppb),640.9
467,CH4 concentration (ppb),641.4
468,CH4 concentration (ppb),641.9
469,CH4 concentration (ppb),642.4
470,CH4 concentration (ppb),642.9
471,CH4 concentration (ppb),643.4
472,CH4 concentration (ppb),644.0
473,CH4 concentration (ppb),644.6
474,CH4 concentration (ppb),645.2
475,CH4 concentration (ppb),645.8
476,CH4 concentration (ppb),646.4
477,CH4 concentration (ppb),647.0
478,CH4 concentration (ppb),647.6
479,CH4 concentration (ppb),648.2
480,CH4 concentration (ppb),648.9
481,CH4 concentration (ppb),649.5
482,CH4 concentration (ppb),650.1
483,CH4 concentration (ppb),650.8
484,CH4 concentration (ppb),651.4
485,CH4 concentration (ppb),652.0
486,CH4 concentration (ppb),652.6
487,CH4 concentration (ppb),653.2
488,CH4 concentration (ppb),653.8
489,CH4 concentration (ppb),654.4
490,CH4 concentration (ppb),655.0
491,CH4 concentration (ppb),655.5
492,CH4 concentration (ppb),656.0
493,CH4 concentration (ppb),656.6
494,CH4 concentration (ppb),657.1
495,CH4 concentration (ppb),657.5
496,CH4 concentration (ppb),658.0
497,CH4 concentration (ppb),658.4
498,CH4 concentration (ppb),658.8
499,CH4 concentration (ppb),659.2
500,CH4 concentration (ppb),659.5
501,CH4 concentration (ppb),659.8
502,CH4 concentration (ppb),660.1
503,CH4 concentration (ppb),660.3
504,CH4 concentration (ppb),660.5
505,CH4 concentration (ppb),660.7
506,CH4 concentration (ppb),660.9
507,CH4 concentration (ppb),661.0
508,CH4 concentration (ppb),661.1
509,CH4 concentration (ppb),661.2
510,CH4 concentration (ppb),661.2
511,CH4 concentration (ppb),661.3
512,CH4 concentration (ppb),661.3
513,CH4 concentration (ppb),661.3
514,CH4 concentration (ppb),661.2
515,CH4 concentration (ppb),661.2
516,CH4 concentration (ppb),661.1
517,CH4 concentration (ppb),661.0
518,CH4 concentration (ppb),660.9
519,CH4 concentration (ppb),660.8
520,CH4 concentration (ppb),660.7
521,CH4 concentration (ppb),660.5
522,CH4 concentration (ppb),660.4
523,CH4 concentration (ppb),660.2
524,CH4 concentration (ppb),660.0
525,CH4 concentration (ppb),659.9
526,CH4 concentration (ppb),659.7
527,CH4 concentration (ppb),659.5
528,CH4 concentration (ppb),659.3
529,CH4 concentration (ppb),659.1
530,CH4 concentration (ppb),658.9
531,CH4 concentration (ppb),658.7
532,CH4 concentration (ppb),658.5
533,CH4 concentration (ppb),658.3
534,CH4 concentration (ppb),658.1
535,CH4 concentration (ppb),657.8
536,CH4 concentration (ppb),657.7
537,CH4 concentration (ppb),657.5
538,CH4 concentration (ppb),657.3
539,CH4 concentration (ppb),657.1
540,CH4 concentration (ppb),656.9
541,CH4 concentration (ppb),656.7
542,CH4 concentration (ppb),656.6
543,CH4 concentration (ppb),656.4
544,CH4 concentration (ppb),656.3
545,CH4 concentration (ppb),656.1
546,CH4 concentration (ppb),656.0
547,CH4 concentration (ppb),655.8
548,CH4 concentration (ppb),655.7
549,CH4 concentration (ppb),655.5
550,CH4 concentration (ppb),655.4
551,CH4 concentration (ppb),655.3
552,CH4 concentration (ppb),655.1
553,CH4 concentration (ppb),655.0
554,CH4 concentration (ppb),654.9
555,CH4 concentration (ppb),654.7
556,CH4 concentration (ppb),654.6
557,CH4 concentration (ppb),654.5
558,CH4 concentration (ppb),654.3
559,CH4 concentration (ppb),654.2
560,CH4 concentration (ppb),654.1
561,CH4 concentration (ppb),653.9
562,CH4 concentration (ppb),653.8
563,CH4 concentration (ppb),653.7
564,CH4 concentration (ppb),653.5
565,CH4 concentration (ppb),653.4
566,CH4 concentration (ppb),653.2
567,CH4 concentration (ppb),653.1
568,CH4 concentration (ppb),652.9
569,CH4 concentration (ppb),652.7
570,CH4 concentration (ppb),652.6
571,CH4 concentration (ppb),652.4
572,CH4 concentration (ppb),652.2
573,CH4 concentration (ppb),652.0
574,CH4 concentration (ppb),651.8
575,CH4 concentration (ppb),651.6
576,CH4 concentration (ppb),651.4
577,CH4 concentration (ppb),651.2
578,CH4 concentration (ppb),650.9
579,CH4 concentration (ppb),650.7
580,CH4 concentration (ppb),650.4
581,CH4 concentration (ppb),650.2
582,CH4 concentration (ppb),649.9
583,CH4 concentration (ppb),649.7
584,CH4 concentration (ppb),649.4
585,CH4 concentration (ppb),649.1
586,CH4 concentration (ppb),648.8
587,CH4 concentration (ppb),648.5
588,CH4 concentration (ppb),648.2
589,CH4 concentration (ppb),647.9
590,CH4 concentration (ppb),647.6
591,CH4 concentration (ppb),647.3
592,CH4 concentration (ppb),646.9
593,CH4 concentration (ppb),646.6
594,CH4 concentration (ppb),646.2
595,CH4 concentration (ppb),645.9
596,CH4 concentration (ppb),645.5
597,CH4 concentration (ppb),645.1
598,CH4 concentration (ppb),644.7
599,CH4 concentration (ppb),644.4
600,CH4 concentration (ppb),644.0
601,CH4 concentration (ppb),643.6
602,CH4 concentration (ppb),643.1
603,CH4 concentration (ppb),642.7
604,CH4 concentration (ppb),642.3
605,CH4 concentration (ppb),641.9
606,CH4 concentration (ppb),641.5
607,CH4 concentration (ppb),641.1
608,CH4 concentration (ppb),640.7
609,CH4 concentration (ppb),640.3
610,CH4 concentration (ppb),639.9
611,CH4 concentration (ppb),639.5
612,CH4 concentration (ppb),639.1
613,CH4 concentration (ppb),638.7
614,CH4 concentration (ppb),638.3
615,CH4 concentration (ppb),637.9
616,CH4 concentration (ppb),637.5
617,CH4 concentration (ppb),637.2
618,CH4 concentration (ppb),636.8
619,CH4 concentration (ppb),636.5
620,CH4 concentration (ppb),636.2
621,CH4 concentration (ppb),635.9
622,CH4 concentration (ppb),635.6
623,CH4 concentration (ppb),635.3
624,CH4 concentration (ppb),635.1
625,CH4 concentration (ppb),634.8
626,CH4 concentration (ppb),634.6
627,CH4 concentration (ppb),634.4
628,CH4 concentration (ppb),634.2
629,CH4 concentration (ppb),634.0
630,CH4 concentration (ppb),633.9
631,CH4 concentration (ppb),633.8
632,CH4 concentration (ppb),633.7
633,CH4 concentration (ppb),633.6
634,CH4 concentration (ppb),633.6
635,CH4 concentration (ppb),633.6
636,CH4 concentration (ppb),633.6
637,CH4 concentration (ppb),633.6
638,CH4 concentration (ppb),633.7
639,CH4 concentration (ppb),633.7
640,CH4 concentration (ppb),633.8
641,CH4 concentration (ppb),634.0
642,CH4 concentration (ppb),634.1
643,CH4 concentration (ppb),634.2
644,CH4 concentration (ppb),634.4
645,CH4 concentration (ppb),634.6
646,CH4 concentration (ppb),634.8
647,CH4 concentration (ppb),635.0
648,CH4 concentration (ppb),635.3
649,CH4 concentration (ppb),635.5
650,CH4 concentration (ppb),635.8
651,CH4 concentration (ppb),636.0
652,CH4 concentration (ppb),636.3
653,CH4 concentration (ppb),636.6
654,CH4 concentration (ppb),636.9
655,CH4 concentration (ppb),637.2
656,CH4 concentration (ppb),637.6
657,CH4 concentration (ppb),637.9
658,CH4 concentration (ppb),638.2
659,CH4 concentration (ppb),638.5
660,CH4 concentration (ppb),638.9
661,CH4 concentration (ppb),639.2
662,CH4 concentration (ppb),639.6
663,CH4 concentration (ppb),639.9
664,CH4 concentration (ppb),640.3
665,CH4 concentration (ppb),640.6
666,CH4 concentration (ppb),641.0
667,CH4 concentration (ppb),641.3
668,CH4 concentration (ppb),641.7
669,CH4 concentration (ppb),642.0
670,CH4 concentration (ppb),642.4
671,CH4 concentration (ppb),642.7
672,CH4 concentration (ppb),643.0
673,CH4 concentration (ppb),643.4
674,CH4 concentration (ppb),643.7
675,CH4 concentration (ppb),644.0
676,CH4 concentration (ppb),644.3
677,CH4 concentration (ppb),644.6
678,CH4 concentration (ppb),644.9
679,CH4 concentration (ppb),645.2
680,CH4 concentration (ppb),645.5
681,CH4 concentration (ppb),645.8
682,CH4 concentration (ppb),646.1
683,CH4 concentration (ppb),646.3
684,CH4 concentration (ppb),646.6
685,CH4 concentration (ppb),646.9
686,CH4 concentration (ppb),647.1
687,CH4 concentration (ppb),647.3
688,CH4 concentration (ppb),647.6
689,CH4 concentration (ppb),647.8
690,CH4 concentration (ppb),648.0
691,CH4 concentration (ppb),648.2
692,CH4 concentration (ppb),648.5
693,CH4 concentration (ppb),648.6
694,CH4 concentration (ppb),648.8
695,CH4 concentration (ppb),649.0
696,CH4 concentration (ppb),649.2
697,CH4 concentration (ppb),649.3
698,CH4 concentration (ppb),649.5
699,CH4 concentration (ppb),649.6
700,CH4 concentration (ppb),649.8
701,CH4 concentration (ppb),649.9
702,CH4 concentration (ppb),650.0
703,CH4 concentration (ppb),650.1
704,CH4 concentration (ppb),650.2
705,CH4 concentration (ppb),650.3
706,CH4 concentration (ppb),650.4
707,CH4 concentration (ppb),650.4
708,CH4 concentration (ppb),650.5
709,CH4 concentration (ppb),650.5
710,CH4 concentration (ppb),650.6
711,CH4 concentration (ppb),650.6
712,CH4 concentration (ppb),650.6
713,CH4 concentration (ppb),650.7
714,CH4 concentration (ppb),650.7
715,CH4 concentration (ppb),650.7
716,CH4 concentration (ppb),650.7
717,CH4 concentration (ppb),650.6
718,CH4 concentration (ppb),650.6
719,CH4 concentration (ppb),650.6
720,CH4 concentration (ppb),650.6
721,CH4 concentration (ppb),650.5
722,CH4 concentration (ppb),650.5
723,CH4 concentration (ppb),650.4
724,CH4 concentration (ppb),650.3
725,CH4 concentration (ppb),650.3
726,CH4 concentration (ppb),650.2
727,CH4 concentration (ppb),650.1
728,CH4 concentration (ppb),650.0
729,CH4 concentration (ppb),649.9
730,CH4 concentration (ppb),649.8
731,CH4 concentration (ppb),649.7
732,CH4 concentration (ppb),649.5
733,CH4 concentration (ppb),649.4
734,CH4 concentration (ppb),649.3
735,CH4 concentration (ppb),649.2
736,CH4 concentration (ppb),649.0
737,CH4 concentration (ppb),648.9
738,CH4 concentration (ppb),648.7
739,CH4 concentration (ppb),648.6
740,CH4 concentration (ppb),648.4
741,CH4 concentration (ppb),648.2
742,CH4 concentration (ppb),648.1
743,CH4 concentration (ppb),647.9
744,CH4 concentration (ppb),647.7
745,CH4 concentration (ppb),647.5
746,CH4 concentration (ppb),647.3
747,CH4 concentration (ppb),647.2
748,CH4 concentration (ppb),647.0
749,CH4 concentration (ppb),646.8
750,CH4 concentration (ppb),646.6
751,CH4 concentration (ppb),646.4
752,CH4 concentration (ppb),646.2
753,CH4 concentration (ppb),646.0
754,CH4 concentration (ppb),645.8
755,CH4 concentration (ppb),645.6
756,CH4 concentration (ppb),645.4
757,CH4 concentration (ppb),645.2
758,CH4 concentration (ppb),645.0
759,CH4 concentration (ppb),644.7
760,CH4 concentration (ppb),644.5
761,CH4 concentration (ppb),644.3
762,CH4 concentration (ppb),644.1
763,CH4 concentration (ppb),643.9
764,CH4 concentration (ppb),643.7
765,CH4 concentration (ppb),643.5
766,CH4 concentration (ppb),643.3
767,CH4 concentration (ppb),643.1
768,CH4 concentration (ppb),642.9
769,CH4 concentration (ppb),642.7
770,CH4 concentration (ppb),642.5
771,CH4 concentration (ppb),642.3
772,CH4 concentration (ppb),642.1
773,CH4 concentration (ppb),641.9
774,CH4 concentration (ppb),641.7
775,CH4 concentration (ppb),641.6
