Region,Period,Estimate type,Measure,Category,Emissions (Tg CH4 yr-1)
Asia,2008-2017,Top-Down,Std of Sample Mean,Agriculture and Waste,3.74
South America,2008-2017,Top-Down,Std of Sample Mean,Agriculture and Waste,1.69
North America,2008-2017,Top-Down,Std of Sample Mean,Agriculture and Waste,1.05
Oceania,2008-2017,Top-Down,Std of Sample Mean,Agriculture and Waste,0.47
Africa,2008-2017,Bottom-up,Sample Mean,Agriculture and Waste,25.64
Europe and Russia,2008-2017,Bottom-up,Sample Mean,Agriculture and Waste,23.83
Asia,2008-2017,Bottom-up,Sample Mean,Agriculture and Waste,97.32
South America,2008-2017,Bottom-up,Sample Mean,Agriculture and Waste,27.68
North America,2008-2017,Bottom-up,Sample Mean,Agriculture and Waste,25.3
Oceania,2008-2017,Bottom-up,Sample Mean,Agriculture and Waste,4.67
Africa,2008-2017,Bottom-up,Std of Sample Mean,Agriculture and Waste,1.39
Europe and Russia,2008-2017,Bottom-up,Std of Sample Mean,Agriculture and Waste,0.66
Asia,2008-2017,Bottom-up,Std of Sample Mean,Agriculture and Waste,5.96
South America,2008-2017,Bottom-up,Std of Sample Mean,Agriculture and Waste,0.89
North America,2008-2017,Bottom-up,Std of Sample Mean,Agriculture and Waste,1.29
Oceania,2008-2017,Bottom-up,Std of Sample Mean,Agriculture and Waste,0.09
Africa,2008-2017,Top-Down,Sample Mean,Fossil Fuels,12.97
Europe and Russia,2008-2017,Top-Down,Sample Mean,Fossil Fuels,20.11
Asia,2008-2017,Top-Down,Sample Mean,Fossil Fuels,48.8
South America,2008-2017,Top-Down,Sample Mean,Fossil Fuels,7.18
North America,2008-2017,Top-Down,Sample Mean,Fossil Fuels,14.64
Oceania,2008-2017,Top-Down,Sample Mean,Fossil Fuels,1.74
Africa,2008-2017,Top-Down,Std of Sample Mean,Fossil Fuels,0.89
Europe and Russia,2008-2017,Top-Down,Std of Sample Mean,Fossil Fuels,1.64
Asia,2008-2017,Top-Down,Std of Sample Mean,Fossil Fuels,2.53
South America,2008-2017,Top-Down,Std of Sample Mean,Fossil Fuels,0.52
North America,2008-2017,Top-Down,Std of Sample Mean,Fossil Fuels,0.99
Oceania,2008-2017,Top-Down,Std of Sample Mean,Fossil Fuels,0.1
Africa,2008-2017,Bottom-up,Sample Mean,Fossil Fuels,15.52
Europe and Russia,2008-2017,Bottom-up,Sample Mean,Fossil Fuels,23.08
Asia,2008-2017,Bottom-up,Sample Mean,Fossil Fuels,61.14
South America,2008-2017,Bottom-up,Sample Mean,Fossil Fuels,8.35
North America,2008-2017,Bottom-up,Sample Mean,Fossil Fuels,17.56
Oceania,2008-2017,Bottom-up,Sample Mean,Fossil Fuels,1.6
Africa,2008-2017,Bottom-up,Std of Sample Mean,Fossil Fuels,0.71
Europe and Russia,2008-2017,Bottom-up,Std of Sample Mean,Fossil Fuels,1.95
Asia,2008-2017,Bottom-up,Std of Sample Mean,Fossil Fuels,4.61
South America,2008-2017,Bottom-up,Std of Sample Mean,Fossil Fuels,3.74
North America,2008-2017,Bottom-up,Std of Sample Mean,Fossil Fuels,1.35
Oceania,2008-2017,Bottom-up,Std of Sample Mean,Fossil Fuels,0.04
Africa,2008-2017,Top-Down,Sample Mean,Biomass and Biofuel Burning,9.72
Europe and Russia,2008-2017,Top-Down,Sample Mean,Biomass and Biofuel Burning,2.98
Asia,2008-2017,Top-Down,Sample Mean,Biomass and Biofuel Burning,11.67
South America,2008-2017,Top-Down,Sample Mean,Biomass and Biofuel Burning,3.25
North America,2008-2017,Top-Down,Sample Mean,Biomass and Biofuel Burning,1.92
Oceania,2008-2017,Top-Down,Sample Mean,Biomass and Biofuel Burning,0.57
Africa,2008-2017,Top-Down,Std of Sample Mean,Biomass and Biofuel Burning,0.2
Europe and Russia,2008-2017,Top-Down,Std of Sample Mean,Biomass and Biofuel Burning,0.14
Asia,2008-2017,Top-Down,Std of Sample Mean,Biomass and Biofuel Burning,0.43
South America,2008-2017,Top-Down,Std of Sample Mean,Biomass and Biofuel Burning,0.14
North America,2008-2017,Top-Down,Std of Sample Mean,Biomass and Biofuel Burning,0.08
Oceania,2008-2017,Top-Down,Std of Sample Mean,Biomass and Biofuel Burning,0.03
Africa,2008-2017,Bottom-up,Sample Mean,Biomass and Biofuel Burning,
Europe and Russia,2008-2017,Bottom-up,Sample Mean,Biomass and Biofuel Burning,
Asia,2008-2017,Bottom-up,Sample Mean,Biomass and Biofuel Burning,
South America,2008-2017,Bottom-up,Sample Mean,Biomass and Biofuel Burning,
North America,2008-2017,Bottom-up,Sample Mean,Biomass and Biofuel Burning,
Oceania,2008-2017,Bottom-up,Sample Mean,Biomass and Biofuel Burning,
Africa,2008-2017,Bottom-up,Std of Sample Mean,Biomass and Biofuel Burning,
Europe and Russia,2008-2017,Bottom-up,Std of Sample Mean,Biomass and Biofuel Burning,
Asia,2008-2017,Bottom-up,Std of Sample Mean,Biomass and Biofuel Burning,
South America,2008-2017,Bottom-up,Std of Sample Mean,Biomass and Biofuel Burning,
North America,2008-2017,Bottom-up,Std of Sample Mean,Biomass and Biofuel Burning,
Oceania,2008-2017,Bottom-up,Std of Sample Mean,Biomass and Biofuel Burning,
Africa,2008-2017,Top-Down,Sample Mean,Biomass Burning,
Europe and Russia,2008-2017,Top-Down,Sample Mean,Biomass Burning,
Asia,2008-2017,Top-Down,Sample Mean,Biomass Burning,
South America,2008-2017,Top-Down,Sample Mean,Biomass Burning,
North America,2008-2017,Top-Down,Sample Mean,Biomass Burning,
Oceania,2008-2017,Top-Down,Sample Mean,Biomass Burning,
Africa,2008-2017,Top-Down,Std of Sample Mean,Biomass Burning,
Europe and Russia,2008-2017,Top-Down,Std of Sample Mean,Biomass Burning,
Asia,2008-2017,Top-Down,Std of Sample Mean,Biomass Burning,
South America,2008-2017,Top-Down,Std of Sample Mean,Biomass Burning,
North America,2008-2017,Top-Down,Std of Sample Mean,Biomass Burning,
Oceania,2008-2017,Top-Down,Std of Sample Mean,Biomass Burning,
Africa,2008-2017,Bottom-up,Sample Mean,Biomass Burning,7.16
Europe and Russia,2008-2017,Bottom-up,Sample Mean,Biomass Burning,1.46
Asia,2008-2017,Bottom-up,Sample Mean,Biomass Burning,3.73
South America,2008-2017,Bottom-up,Sample Mean,Biomass Burning,3.02
North America,2008-2017,Bottom-up,Sample Mean,Biomass Burning,1.31
Oceania,2008-2017,Bottom-up,Sample Mean,Biomass Burning,0.72
Africa,2008-2017,Bottom-up,Std of Sample Mean,Biomass Burning,1.3
Europe and Russia,2008-2017,Bottom-up,Std of Sample Mean,Biomass Burning,0.28
Asia,2008-2017,Bottom-up,Std of Sample Mean,Biomass Burning,0.46
South America,2008-2017,Bottom-up,Std of Sample Mean,Biomass Burning,0.64
North America,2008-2017,Bottom-up,Std of Sample Mean,Biomass Burning,0.25
Oceania,2008-2017,Bottom-up,Std of Sample Mean,Biomass Burning,0.2
Africa,2008-2017,Top-Down,Sample Mean,Biofuel,
Europe and Russia,2008-2017,Top-Down,Sample Mean,Biofuel,
Asia,2008-2017,Top-Down,Sample Mean,Biofuel,
South America,2008-2017,Top-Down,Sample Mean,Biofuel,
North America,2008-2017,Top-Down,Sample Mean,Biofuel,
Oceania,2008-2017,Top-Down,Sample Mean,Biofuel,
Africa,2008-2017,Top-Down,Std of Sample Mean,Biofuel,
Europe and Russia,2008-2017,Top-Down,Std of Sample Mean,Biofuel,
Asia,2008-2017,Top-Down,Std of Sample Mean,Biofuel,
South America,2008-2017,Top-Down,Std of Sample Mean,Biofuel,
North America,2008-2017,Top-Down,Std of Sample Mean,Biofuel,
Oceania,2008-2017,Top-Down,Std of Sample Mean,Biofuel,
Africa,2008-2017,Bottom-up,Sample Mean,Biofuel,3.0
Europe and Russia,2008-2017,Bottom-up,Sample Mean,Biofuel,1.23
Asia,2008-2017,Bottom-up,Sample Mean,Biofuel,6.97
South America,2008-2017,Bottom-up,Sample Mean,Biofuel,0.33
North America,2008-2017,Bottom-up,Sample Mean,Biofuel,0.76
Oceania,2008-2017,Bottom-up,Sample Mean,Biofuel,0.05
Africa,2008-2017,Bottom-up,Std of Sample Mean,Biofuel,0.29
Europe and Russia,2008-2017,Bottom-up,Std of Sample Mean,Biofuel,0.45
Asia,2008-2017,Bottom-up,Std of Sample Mean,Biofuel,0.64
South America,2008-2017,Bottom-up,Std of Sample Mean,Biofuel,0.03
North America,2008-2017,Bottom-up,Std of Sample Mean,Biofuel,0.22
Oceania,2008-2017,Bottom-up,Std of Sample Mean,Biofuel,0.01
