region,year,population_MHd
Caribbean,2005,39.927
Caribbean,2006,40.232
Caribbean,2007,40.54
Caribbean,2008,40.837
Caribbean,2009,41.142
Caribbean,2010,41.40
Caribbean,2011,41.660
Caribbean,2012,41.95
Caribbean,2013,42.24
Caribbean,2014,42.50
Caribbean,2015,42.75
Caribbean,2016,42.990
Caribbean,2017,43.209
Caribbean,2018,43.470
Caribbean,2019,43.728
Caribbean,2020,43.962
Caribbean,2021,44.182
South America,1950,113.521
South America,1951,116.612
South America,1952,119.808
South America,1953,123.096
South America,1954,126.484
South America,1955,129.99
South America,1956,133.605
South America,1957,137.348
South America,1958,141.19
South America,1959,145.149
South America,1960,149.22
South America,1961,153.378
South America,1962,157.609
South America,1963,161.919
South America,1964,166.291
South America,1965,170.707
South America,1966,175.135
South America,1967,179.569
South America,1968,184.011
South America,1969,188.469
South America,1970,192.947
South America,1971,197.462
South America,1972,202.046
South America,1973,206.713
South America,1974,211.455
South America,1975,216.252
South America,1976,221.11
South America,1977,226.098
South America,1978,231.227
South America,1979,236.454
South America,1980,241.789
South America,1981,247.206
South America,1982,252.673
South America,1983,258.200
South America,1984,263.761
South America,1985,269.321
South America,1986,274.880
South America,1987,280.45
South America,1988,286.026
South America,1989,291.601
South America,1990,297.146
South America,1991,302.602
South America,1992,307.967
South America,1993,313.302
South America,1994,318.637
South America,1995,323.946
South America,1996,329.20
South America,1997,334.414
South America,1998,339.583
South America,1999,344.666
South America,2000,349.634
South America,2001,354.475
South America,2002,359.177
South America,2003,363.705
South America,2004,368.127
South America,2005,372.502
South America,2006,376.788
South America,2007,380.966
South America,2008,385.031
South America,2009,389.045
South America,2010,393.08
South America,2011,397.135
South America,2012,401.167
South America,2013,405.148
South America,2014,409.129
South America,2015,413.134
South America,2016,417.102
South America,2017,420.983
South America,2018,424.741
South America,2019,428.318
South America,2020,431.530
South America,2021,434.25
Asia,1950,1353.592
Asia,1951,1379.533
Asia,1952,1408.214
Asia,1953,1438.892
Asia,1954,1470.508
Asia,1955,1503.896
Asia,1956,1537.640
Asia,1957,1572.904
Asia,1958,1608.799
Asia,1959,1640.084
Asia,1960,1665.796
Asia,1961,1691.044
Asia,1962,1725.211
Asia,1963,1770.124
Asia,1964,1817.10
Asia,1965,1862.643
Asia,1966,1907.919
Asia,1967,1952.947
Asia,1968,2000.327
Asia,1969,2050.105
Asia,1970,2100.299
Asia,1971,2149.857
Asia,1972,2199.064
Asia,1973,2249.111
Asia,1974,2298.470
Asia,1975,2345.880
Asia,1976,2392.154
Asia,1977,2438.288
Asia,1978,2484.125
Asia,1979,2531.22
Asia,1980,2580.630
Asia,1981,2632.066
Asia,1982,2685.805
Asia,1983,2739.977
Asia,1984,2794.109
Asia,1985,2849.608
Asia,1986,2906.775
Asia,1987,2965.751
Asia,1988,3024.984
Asia,1989,3084.208
Asia,1990,3143.998
Asia,1991,3201.473
Asia,1992,3325.188
Asia,1993,3379.061
Asia,1994,3432.02
Asia,1995,3484.179
Asia,1996,3535.424
Asia,1997,3586.096
Asia,1998,3636.357
Asia,1999,3686.164
Asia,2000,3736.038
Asia,2001,3786.180
Asia,2002,3835.669
Asia,2003,3884.311
Asia,2004,3932.421
Asia,2005,3980.37
Asia,2006,4028.347
Asia,2007,4076.072
Asia,2008,4123.883
Asia,2009,4172.450
Asia,2010,4221.171
Asia,2011,4269.624
Asia,2012,4318.322
Asia,2013,4366.45
Asia,2014,4413.67
Asia,2015,4459.437
Asia,2016,4504.153
Asia,2017,4548.30
Asia,2018,4590.021
Asia,2019,4628.967
Asia,2020,4664.324
Asia,2021,4694.576
Europe,1950,575.178
Europe,1951,580.670
Europe,1952,586.398
Europe,1953,592.551
Europe,1954,598.899
Europe,1955,605.312
Europe,1956,611.813
Europe,1957,618.44
Europe,1958,625.332
Europe,1959,632.348
Europe,1960,639.359
Europe,1961,646.566
Europe,1962,653.695
Europe,1963,660.544
Europe,1964,667.337
Europe,1965,673.836
Europe,1966,680.005
Europe,1967,686.021
Europe,1968,691.676
Europe,1969,696.938
Europe,1970,701.769
Europe,1971,706.687
Europe,1972,711.960
Europe,1973,717.042
Europe,1974,722.038
Europe,1975,726.912
Europe,1976,731.537
Europe,1977,736.090
Europe,1978,740.473
Europe,1979,744.657
Europe,1980,748.821
Europe,1981,752.843
Europe,1982,756.705
Europe,1983,760.626
Europe,1984,764.579
Europe,1985,768.496
Europe,1986,772.648
Europe,1987,777.094
Europe,1988,781.451
Europe,1989,785.38
Europe,1990,788.852
Europe,1991,791.983
Europe,1992,725.259
Europe,1993,726.442
Europe,1994,727.063
Europe,1995,727.30
Europe,1996,727.454
Europe,1997,727.566
Europe,1998,727.446
Europe,1999,727.100
Europe,2000,726.968
Europe,2001,726.878
Europe,2002,726.939
Europe,2003,727.425
Europe,2004,728.163
Europe,2005,728.950
Europe,2006,729.858
Europe,2007,731.393
Europe,2008,733.256
Europe,2009,734.903
Europe,2010,736.277
Europe,2011,737.590
Europe,2012,738.908
Europe,2013,740.014
Europe,2014,741.014
Europe,2015,742.11
Europe,2016,743.319
Europe,2017,744.449
Europe,2018,745.359
Europe,2019,746.190
Europe,2020,746.225
Europe,2021,745.17
Oceania,1950,12.578
Oceania,1951,12.910
Oceania,1952,13.22
Oceania,1953,13.522
Oceania,1954,13.819
Oceania,1955,14.140
Oceania,1956,14.479
Oceania,1957,14.82
Oceania,1958,15.16
Oceania,1959,15.506
Oceania,1960,15.859
Oceania,1961,16.213
Oceania,1962,16.557
Oceania,1963,16.899
Oceania,1964,17.248
Oceania,1965,17.609
Oceania,1966,17.976
Oceania,1967,18.320
Oceania,1968,18.658
Oceania,1969,19.02
Oceania,1970,19.48
Oceania,1971,20.023
Oceania,1972,20.481
Oceania,1973,20.852
Oceania,1974,21.213
Oceania,1975,21.537
Oceania,1976,21.820
Oceania,1977,22.090
Oceania,1978,22.356
Oceania,1979,22.623
Oceania,1980,22.92
Oceania,1981,23.268
Oceania,1982,23.646
Oceania,1983,24.011
Oceania,1984,24.357
Oceania,1985,24.705
Oceania,1986,25.069
Oceania,1987,25.459
Oceania,1988,25.868
Oceania,1989,26.286
Oceania,1990,26.744
Oceania,1991,27.214
Oceania,1992,27.637
Oceania,1993,28.038
Oceania,1994,28.455
Oceania,1995,28.905
Oceania,1996,29.379
Oceania,1997,29.846
Oceania,1998,30.299
Oceania,1999,30.753
Oceania,2000,31.223
Oceania,2001,31.715
Oceania,2002,32.230
Oceania,2003,32.76
Oceania,2004,33.278
Oceania,2005,33.813
Oceania,2006,34.40
Oceania,2007,35.044
Oceania,2008,35.745
Oceania,2009,36.448
Oceania,2010,37.103
Oceania,2011,37.730
Oceania,2012,38.383
Oceania,2013,39.057
Oceania,2014,39.729
Oceania,2015,40.403
Oceania,2016,41.101
Oceania,2017,41.817
Oceania,2018,42.540
Oceania,2019,43.278
Oceania,2020,43.933
Oceania,2021,44.492
