region,category,year,population_MHd
Northern America,rural,1968,60.913
Northern America,urban,1968,165.819
Northern America,rural,1969,60.65
Northern America,urban,1969,168.285
Northern America,rural,1970,60.562
Northern America,urban,1970,170.582
Northern America,rural,1971,61.026
Northern America,urban,1971,172.346
Northern America,rural,1972,61.614
Northern America,urban,1972,174.001
Northern America,rural,1973,62.209
Northern America,urban,1973,175.672
Northern America,rural,1974,62.81
Northern America,urban,1974,177.357
Northern America,rural,1975,63.416
Northern America,urban,1975,179.056
Northern America,rural,1976,64.028
Northern America,urban,1976,180.779
Northern America,rural,1977,64.615
Northern America,urban,1977,182.562
Northern America,rural,1978,65.209
Northern America,urban,1978,184.4
Northern America,rural,1979,65.807
Northern America,urban,1979,186.184
Northern America,rural,1980,66.325
Northern America,urban,1980,188.089
Northern America,rural,1981,66.592
Northern America,urban,1981,190.252
Northern America,rural,1982,66.830
Northern America,urban,1982,192.459
Northern America,rural,1983,67.067
Northern America,urban,1983,194.690
Northern America,rural,1984,67.307
Northern America,urban,1984,196.956
Northern America,rural,1985,67.554
Northern America,urban,1985,199.262
Northern America,rural,1986,67.811
Northern America,urban,1986,201.615
Northern America,rural,1987,68.1
Northern America,urban,1987,203.984
Northern America,rural,1988,68.413
Northern America,urban,1988,206.396
Northern America,rural,1989,68.722
Northern America,urban,1989,208.840
Northern America,rural,1990,68.871
Northern America,urban,1990,211.475
Northern America,rural,1991,68.526
Northern America,urban,1991,214.617
Northern America,rural,1992,68.111
Northern America,urban,1992,217.851
Northern America,rural,1993,67.708
Northern America,urban,1993,221.148
Northern America,rural,1994,67.327
Northern America,urban,1994,224.57
Northern America,rural,1995,66.978
Northern America,urban,1995,228.136
Northern America,rural,1996,66.659
Northern America,urban,1996,231.892
Northern America,rural,1997,66.335
Northern America,urban,1997,235.830
Northern America,rural,1998,66.011
Northern America,urban,1998,239.835
Northern America,rural,1999,65.656
Northern America,urban,1999,243.786
Northern America,rural,2000,65.374
Northern America,urban,2000,247.47
Northern America,rural,2001,65.429
Northern America,urban,2001,250.575
Northern America,rural,2002,65.511
Northern America,urban,2002,253.444
Northern America,rural,2003,65.561
Northern America,urban,2003,256.222
Northern America,rural,2004,65.6
Northern America,urban,2004,259.011
Northern America,rural,2005,65.666
Northern America,urban,2005,261.880
Northern America,rural,2006,65.739
Northern America,urban,2006,264.862
Northern America,rural,2007,65.793
Northern America,urban,2007,267.950
Northern America,rural,2008,65.843
Northern America,urban,2008,271.064
Northern America,rural,2009,65.872
Northern America,urban,2009,274.121
Northern America,rural,2010,65.867
Northern America,urban,2010,277.070
Northern America,rural,2011,65.814
Northern America,urban,2011,279.902
Northern America,rural,2012,65.753
Northern America,urban,2012,282.609
Northern America,rural,2013,65.654
Northern America,urban,2013,285.264
Northern America,rural,2014,65.53
Northern America,urban,2014,287.920
Northern America,rural,2015,65.39
Northern America,urban,2015,290.616
Northern America,rural,2016,65.231
Northern America,urban,2016,293.363
Northern America,rural,2017,65.054
Northern America,urban,2017,296.15
Northern America,rural,2018,64.86
Northern America,urban,2018,298.99
Northern America,rural,2019,64.639
Northern America,urban,2019,301.858
Northern America,rural,2020,64.397
Northern America,urban,2020,304.761
Northern America,rural,2021,64.134
Northern America,urban,2021,307.697
Central America,rural,1950,23.130
Central America,urban,1950,14.927
Central America,rural,1951,23.518
Central America,urban,1951,15.626
Central America,rural,1952,23.928
Central America,urban,1952,16.370
Central America,rural,1953,24.358
Central America,urban,1953,17.158
Central America,rural,1954,24.801
Central America,urban,1954,17.989
Central America,rural,1955,25.257
Central America,urban,1955,18.863
Central America,rural,1956,25.721
Central America,urban,1956,19.78
Central America,rural,1957,26.193
Central America,urban,1957,20.740
Central America,rural,1958,26.670
Central America,urban,1958,21.74
Central America,rural,1959,27.151
Central America,urban,1959,22.79
Central America,rural,1960,27.635
Central America,urban,1960,23.884
Central America,rural,1961,28.112
Central America,urban,1961,25.032
Central America,rural,1962,28.591
Central America,urban,1962,26.225
Central America,rural,1963,29.066
Central America,urban,1963,27.469
Central America,rural,1964,29.530
Central America,urban,1964,28.770
Central America,rural,1965,30.005
Central America,urban,1965,30.105
Central America,rural,1966,30.474
Central America,urban,1966,31.486
Central America,rural,1967,30.936
Central America,urban,1967,32.915
Central America,rural,1968,31.40
Central America,urban,1968,34.401
Central America,rural,1969,31.866
Central America,urban,1969,35.953
Central America,rural,1970,32.355
Central America,urban,1970,37.571
Central America,rural,1971,32.877
Central America,urban,1971,39.244
Central America,rural,1972,33.401
Central America,urban,1972,40.995
Central America,rural,1973,33.919
Central America,urban,1973,42.801
Central America,rural,1974,34.421
Central America,urban,1974,44.64
Central America,rural,1975,34.895
Central America,urban,1975,46.48
Central America,rural,1976,35.333
Central America,urban,1976,48.343
Central America,rural,1977,35.741
Central America,urban,1977,50.210
Central America,rural,1978,36.117
Central America,urban,1978,52.087
Central America,rural,1979,36.465
Central America,urban,1979,53.976
Central America,rural,1980,36.795
Central America,urban,1980,55.87
Central America,rural,1981,37.211
Central America,urban,1981,57.667
Central America,rural,1982,37.604
Central America,urban,1982,59.471
Central America,rural,1983,37.978
Central America,urban,1983,61.286
Central America,rural,1984,38.332
Central America,urban,1984,63.115
Central America,rural,1985,38.656
Central America,urban,1985,64.973
Central America,rural,1986,38.961
Central America,urban,1986,66.847
Central America,rural,1987,39.249
Central America,urban,1987,68.737
Central America,rural,1988,39.526
Central America,urban,1988,70.656
Central America,rural,1989,39.809
Central America,urban,1989,72.617
Central America,rural,1990,40.116
Central America,urban,1990,74.615
Central America,rural,1991,40.473
Central America,urban,1991,76.63
Central America,rural,1992,40.833
Central America,urban,1992,78.711
Central America,rural,1993,41.155
Central America,urban,1993,80.851
Central America,rural,1994,41.445
Central America,urban,1994,83.006
Central America,rural,1995,41.705
Central America,urban,1995,85.139
Central America,rural,1996,42.01
Central America,urban,1996,87.169
Central America,rural,1997,42.33
Central America,urban,1997,89.137
Central America,rural,1998,42.628
Central America,urban,1998,91.077
Central America,rural,1999,42.936
Central America,urban,1999,92.943
Central America,rural,2000,43.192
Central America,urban,2000,94.801
Central America,rural,2001,43.369
Central America,urban,2001,96.664
Central America,rural,2002,43.511
Central America,urban,2002,98.503
Central America,rural,2003,43.64
Central America,urban,2003,100.347
Central America,rural,2004,43.786
Central America,urban,2004,102.254
Central America,rural,2005,43.948
Central America,urban,2005,104.264
Central America,rural,2006,44.131
Central America,urban,2006,106.398
Central America,rural,2007,44.329
Central America,urban,2007,108.643
Central America,rural,2008,44.514
Central America,urban,2008,110.984
Central America,rural,2009,44.692
Central America,urban,2009,113.350
Central America,rural,2010,44.851
Central America,urban,2010,115.705
Central America,rural,2011,44.986
Central America,urban,2011,118.042
Central America,rural,2012,45.101
Central America,urban,2012,120.366
Central America,rural,2013,45.196
Central America,urban,2013,122.680
Central America,rural,2014,45.27
Central America,urban,2014,124.991
Central America,rural,2015,45.331
Central America,urban,2015,127.304
Central America,rural,2016,45.374
Central America,urban,2016,129.61
Central America,rural,2017,45.399
Central America,urban,2017,131.918
Central America,rural,2018,45.405
Central America,urban,2018,134.212
Central America,rural,2019,45.39
Central America,urban,2019,136.495
Central America,rural,2020,45.360
Central America,urban,2020,138.768
Central America,rural,2021,45.308
Central America,urban,2021,141.027
Caribbean,rural,1950,10.878
Caribbean,urban,1950,6.198
Caribbean,rural,1951,11.013
Caribbean,urban,1951,6.383
Caribbean,rural,1952,11.158
Caribbean,urban,1952,6.577
Caribbean,rural,1953,11.307
Caribbean,urban,1953,6.777
Caribbean,rural,1954,11.457
Caribbean,urban,1954,6.982
Caribbean,rural,1955,11.602
Caribbean,urban,1955,7.194
Caribbean,rural,1956,11.75
Caribbean,urban,1956,7.41
Caribbean,rural,1957,11.890
Caribbean,urban,1957,7.634
Caribbean,rural,1958,12.037
Caribbean,urban,1958,7.867
Caribbean,rural,1959,12.2
Caribbean,urban,1959,8.113
Caribbean,rural,1960,12.344
Caribbean,urban,1960,8.379
Caribbean,rural,1961,12.487
Caribbean,urban,1961,8.684
Caribbean,rural,1962,12.632
Caribbean,urban,1962,9.010
Caribbean,rural,1963,12.777
Caribbean,urban,1963,9.350
Caribbean,rural,1964,12.914
Caribbean,urban,1964,9.696
Caribbean,rural,1965,13.040
Caribbean,urban,1965,10.043
Caribbean,rural,1966,13.152
Caribbean,urban,1966,10.387
Caribbean,rural,1967,13.253
Caribbean,urban,1967,10.729
Caribbean,rural,1968,13.345
Caribbean,urban,1968,11.074
Caribbean,rural,1969,13.43
Caribbean,urban,1969,11.4
Caribbean,rural,1970,13.52
Caribbean,urban,1970,11.786
Caribbean,rural,1971,13.580
Caribbean,urban,1971,12.193
Caribbean,rural,1972,13.639
Caribbean,urban,1972,12.605
Caribbean,rural,1973,13.699
Caribbean,urban,1973,13.019
Caribbean,rural,1974,13.752
Caribbean,urban,1974,13.434
Caribbean,rural,1975,13.797
Caribbean,urban,1975,13.844
Caribbean,rural,1976,13.833
Caribbean,urban,1976,14.248
Caribbean,rural,1977,13.863
Caribbean,urban,1977,14.647
Caribbean,rural,1978,13.889
Caribbean,urban,1978,15.042
Caribbean,rural,1979,13.913
Caribbean,urban,1979,15.436
Caribbean,rural,1980,13.914
Caribbean,urban,1980,15.858
Caribbean,rural,1981,13.850
Caribbean,urban,1981,16.349
Caribbean,rural,1982,13.841
Caribbean,urban,1982,16.787
Caribbean,rural,1983,13.834
Caribbean,urban,1983,17.228
Caribbean,rural,1984,13.824
Caribbean,urban,1984,17.678
Caribbean,rural,1985,13.819
Caribbean,urban,1985,18.129
Caribbean,rural,1986,13.816
Caribbean,urban,1986,18.584
Caribbean,rural,1987,13.816
Caribbean,urban,1987,19.04
Caribbean,rural,1988,13.818
Caribbean,urban,1988,19.503
Caribbean,rural,1989,13.822
Caribbean,urban,1989,19.960
Caribbean,rural,1990,13.835
Caribbean,urban,1990,20.402
Caribbean,rural,1991,13.891
Caribbean,urban,1991,20.796
Caribbean,rural,1992,13.958
Caribbean,urban,1992,21.17
Caribbean,rural,1993,14.063
Caribbean,urban,1993,21.506
Caribbean,rural,1994,14.129
Caribbean,urban,1994,21.871
Caribbean,rural,1995,14.177
Caribbean,urban,1995,22.246
Caribbean,rural,1996,14.219
Caribbean,urban,1996,22.619
Caribbean,rural,1997,14.252
Caribbean,urban,1997,22.994
Caribbean,rural,1998,14.275
Caribbean,urban,1998,23.369
Caribbean,rural,1999,14.291
Caribbean,urban,1999,23.739
Caribbean,rural,2000,14.305
Caribbean,urban,2000,24.10
Caribbean,rural,2001,14.233
Caribbean,urban,2001,24.532
Caribbean,rural,2002,14.153
Caribbean,urban,2002,24.961
Caribbean,rural,2003,14.032
Caribbean,urban,2003,25.422
Caribbean,rural,2004,13.956
Caribbean,urban,2004,25.831
Caribbean,rural,2005,13.882
Caribbean,urban,2005,26.234
Caribbean,rural,2006,13.80
Caribbean,urban,2006,26.639
Caribbean,rural,2007,13.719
Caribbean,urban,2007,27.045
Caribbean,rural,2008,13.631
Caribbean,urban,2008,27.453
Caribbean,rural,2009,13.540
Caribbean,urban,2009,27.864
Caribbean,rural,2010,13.445
Caribbean,urban,2010,28.280
Caribbean,rural,2011,13.355
Caribbean,urban,2011,28.692
Caribbean,rural,2012,13.268
Caribbean,urban,2012,29.103
Caribbean,rural,2013,13.181
Caribbean,urban,2013,29.511
Caribbean,rural,2014,13.09
Caribbean,urban,2014,29.917
Caribbean,rural,2015,12.990
Caribbean,urban,2015,30.319
Caribbean,rural,2016,12.886
Caribbean,urban,2016,30.716
Caribbean,rural,2017,12.78
Caribbean,urban,2017,31.107
Caribbean,rural,2018,12.663
Caribbean,urban,2018,31.493
Caribbean,rural,2019,12.546
Caribbean,urban,2019,31.874
Caribbean,rural,2020,12.428
Caribbean,urban,2020,32.251
Caribbean,rural,2021,12.309
Caribbean,urban,2021,32.624
South America,rural,1950,65.15
South America,urban,1950,48.634
South America,rural,1951,65.94
South America,urban,1951,51.019
South America,rural,1952,66.699
South America,urban,1952,53.5
South America,rural,1953,67.43
South America,urban,1953,56.077
South America,rural,1954,68.13
South America,urban,1954,58.747
South America,rural,1955,68.795
South America,urban,1955,61.513
South America,rural,1956,69.428
South America,urban,1956,64.381
South America,rural,1957,70.040
South America,urban,1957,67.353
South America,rural,1958,70.633
South America,urban,1958,70.443
South America,rural,1959,71.22
South America,urban,1959,73.661
South America,rural,1960,71.790
South America,urban,1960,77.019
South America,rural,1961,72.440
South America,urban,1961,80.439
South America,rural,1962,73.059
South America,urban,1962,84.020
South America,rural,1963,73.653
South America,urban,1963,87.731
South America,rural,1964,74.204
South America,urban,1964,91.6
South America,rural,1965,74.825
South America,urban,1965,95.36
South America,rural,1966,75.398
South America,urban,1966,99.251
South America,rural,1967,75.921
South America,urban,1967,103.235
South America,rural,1968,76.387
South America,urban,1968,107.309
South America,rural,1969,76.797
South America,urban,1969,111.463
South America,rural,1970,77.143
South America,urban,1970,115.700
South America,rural,1971,77.413
South America,urban,1971,120.023
South America,rural,1972,77.63
South America,urban,1972,124.418
South America,rural,1973,77.849
South America,urban,1973,128.848
South America,rural,1974,78.042
South America,urban,1974,133.381
South America,rural,1975,78.192
South America,urban,1975,138.054
South America,rural,1976,78.314
South America,urban,1976,142.858
South America,rural,1977,78.390
South America,urban,1977,147.803
South America,rural,1978,78.428
South America,urban,1978,152.884
South America,rural,1979,78.438
South America,urban,1979,158.093
South America,rural,1980,78.414
South America,urban,1980,163.433
South America,rural,1981,78.356
South America,urban,1981,168.906
South America,rural,1982,78.30
South America,urban,1982,174.461
South America,rural,1983,78.255
South America,urban,1983,180.074
South America,rural,1984,78.155
South America,urban,1984,185.755
South America,rural,1985,78.002
South America,urban,1985,191.480
South America,rural,1986,77.82
South America,urban,1986,197.210
South America,rural,1987,77.596
South America,urban,1987,202.957
South America,rural,1988,77.317
South America,urban,1988,208.731
South America,rural,1989,76.995
South America,urban,1989,214.519
South America,rural,1990,76.625
South America,urban,1990,220.326
South America,rural,1991,76.245
South America,urban,1991,226.106
South America,rural,1992,75.876
South America,urban,1992,231.833
South America,rural,1993,75.483
South America,urban,1993,237.547
South America,rural,1994,75.044
South America,urban,1994,243.28
South America,rural,1995,74.573
South America,urban,1995,249.022
South America,rural,1996,74.068
South America,urban,1996,254.779
South America,rural,1997,73.417
South America,urban,1997,260.652
South America,rural,1998,72.723
South America,urban,1998,266.53
South America,rural,1999,71.997
South America,urban,1999,272.366
South America,rural,2000,71.237
South America,urban,2000,278.162
South America,rural,2001,71.011
South America,urban,2001,283.341
South America,rural,2002,70.902
South America,urban,2002,288.32
South America,rural,2003,70.820
South America,urban,2003,293.194
South America,rural,2004,70.710
South America,urban,2004,298.005
South America,rural,2005,70.574
South America,urban,2005,302.755
South America,rural,2006,70.408
South America,urban,2006,307.44
South America,rural,2007,70.215
South America,urban,2007,312.063
South America,rural,2008,70.038
South America,urban,2008,316.603
South America,rural,2009,69.866
South America,urban,2009,321.102
South America,rural,2010,69.683
South America,urban,2010,325.597
South America,rural,2011,69.488
South America,urban,2011,330.098
South America,rural,2012,69.293
South America,urban,2012,334.583
South America,rural,2013,69.099
South America,urban,2013,339.033
South America,rural,2014,68.892
South America,urban,2014,343.433
South America,rural,2015,68.668
South America,urban,2015,347.768
South America,rural,2016,68.426
South America,urban,2016,352.032
South America,rural,2017,68.169
South America,urban,2017,356.225
South America,rural,2018,67.888
South America,urban,2018,360.353
South America,rural,2019,67.584
South America,urban,2019,364.414
South America,rural,2020,67.258
South America,urban,2020,368.409
South America,rural,2021,66.910
South America,urban,2021,372.332
Asia,rural,1950,1141.497
Asia,urban,1950,237.306
Asia,rural,1951,1161.072
Asia,urban,1951,247.648
Asia,rural,1952,1179.404
Asia,urban,1952,257.276
Asia,rural,1953,1196.554
Asia,urban,1953,267.048
Asia,rural,1954,1213.158
Asia,urban,1954,277.081
Asia,rural,1955,1229.743
Asia,urban,1955,287.442
Asia,rural,1956,1246.684
Asia,urban,1956,298.180
Asia,rural,1957,1264.200
Asia,urban,1957,309.340
Asia,rural,1958,1282.307
Asia,urban,1958,321.025
Asia,rural,1959,1301.017
Asia,urban,1959,333.232
Asia,rural,1960,1320.348
Asia,urban,1960,345.932
Asia,rural,1961,1340.235
Asia,urban,1961,359.255
Asia,rural,1962,1360.589
Asia,urban,1962,373.528
Asia,rural,1963,1382.054
Asia,urban,1963,388.542
Asia,rural,1964,1405.036
Asia,urban,1964,404.430
Asia,rural,1965,1435.301
Asia,urban,1965,415.749
Asia,rural,1966,1467.45
Asia,urban,1966,428.067
Asia,rural,1967,1500.949
Asia,urban,1967,441.650
Asia,rural,1968,1535.578
Asia,urban,1968,456.060
Asia,rural,1969,1570.674
Asia,urban,1969,471.037
Asia,rural,1970,1605.645
Asia,urban,1970,486.450
Asia,rural,1971,1640.389
Asia,urban,1971,502.245
Asia,rural,1972,1674.198
Asia,urban,1972,519.162
Asia,rural,1973,1706.524
Asia,urban,1973,537.44
Asia,rural,1974,1737.115
Asia,urban,1974,557.032
Asia,rural,1975,1768.717
Asia,urban,1975,575.011
Asia,rural,1976,1798.444
Asia,urban,1976,594.081
Asia,rural,1977,1827.476
Asia,urban,1977,613.184
Asia,rural,1978,1852.898
Asia,urban,1978,635.754
Asia,rural,1979,1874.913
Asia,urban,1979,662.326
Asia,rural,1980,1896.650
Asia,urban,1980,690.332
Asia,rural,1981,1918.280
Asia,urban,1981,719.607
Asia,rural,1982,1940.920
Asia,urban,1982,748.936
Asia,rural,1983,1965.438
Asia,urban,1983,777.747
Asia,rural,1984,1990.506
Asia,urban,1984,807.702
Asia,rural,1985,2016.328
Asia,urban,1985,838.739
Asia,rural,1986,2042.94
Asia,urban,1986,871.012
Asia,rural,1987,2070.176
Asia,urban,1987,904.354
Asia,rural,1988,2097.312
Asia,urban,1988,938.438
Asia,rural,1989,2123.308
Asia,urban,1989,972.884
Asia,rural,1990,2147.226
Asia,urban,1990,1007.58
Asia,rural,1991,2168.794
Asia,urban,1991,1042.42
Asia,rural,1992,2223.998
Asia,urban,1992,1109.606
Asia,rural,1993,2242.199
Asia,urban,1993,1144.561
Asia,rural,1994,2258.712
Asia,urban,1994,1179.815
Asia,rural,1995,2273.785
Asia,urban,1995,1215.521
Asia,rural,1996,2287.548
Asia,urban,1996,1251.553
Asia,rural,1997,2300.026
Asia,urban,1997,1287.808
Asia,rural,1998,2311.250
Asia,urban,1998,1324.508
Asia,rural,1999,2321.509
Asia,urban,1999,1361.681
Asia,rural,2000,2330.65
Asia,urban,2000,1399.722
Asia,rural,2001,2334.925
Asia,urban,2001,1442.500
Asia,rural,2002,2335.683
Asia,urban,2002,1488.69
Asia,rural,2003,2335.646
Asia,urban,2003,1535.555
Asia,rural,2004,2334.694
Asia,urban,2004,1583.177
Asia,rural,2005,2332.854
Asia,urban,2005,1631.489
Asia,rural,2006,2330.903
Asia,urban,2006,1679.700
Asia,rural,2007,2328.55
Asia,urban,2007,1728.131
Asia,rural,2008,2325.437
Asia,urban,2008,1777.207
Asia,rural,2009,2321.732
Asia,urban,2009,1826.818
Asia,rural,2010,2317.410
Asia,urban,2010,1877.015
Asia,rural,2011,2314.890
Asia,urban,2011,1925.391
Asia,rural,2012,2312.473
Asia,urban,2012,1973.541
Asia,rural,2013,2309.339
Asia,urban,2013,2022.052
Asia,rural,2014,2305.288
Asia,urban,2014,2070.811
Asia,rural,2015,2300.024
Asia,urban,2015,2119.873
Asia,rural,2016,2293.797
Asia,urban,2016,2168.88
Asia,rural,2017,2286.705
Asia,urban,2017,2217.724
Asia,rural,2018,2279.003
Asia,urban,2018,2266.13
Asia,rural,2019,2270.756
Asia,urban,2019,2314.052
Asia,rural,2020,2261.990
Asia,urban,2020,2361.464
Asia,rural,2021,2252.720
Asia,urban,2021,2408.318
Europe,rural,1950,281.661
Europe,urban,1950,292.972
Europe,rural,1951,281.233
Europe,urban,1951,299.049
Europe,rural,1952,281.040
Europe,urban,1952,305.367
Europe,rural,1953,280.927
Europe,urban,1953,311.903
Europe,rural,1954,280.8
Europe,urban,1954,318.647
Europe,rural,1955,280.446
Europe,urban,1955,325.623
Europe,rural,1956,280.031
Europe,urban,1956,332.715
Europe,rural,1957,279.580
Europe,urban,1957,339.87
Europe,rural,1958,279.031
Europe,urban,1958,347.170
Europe,rural,1959,278.577
Europe,urban,1959,354.494
Europe,rural,1960,278.269
Europe,urban,1960,361.840
Europe,rural,1961,277.863
Europe,urban,1961,369.457
Europe,rural,1962,277.464
Europe,urban,1962,377.175
Europe,rural,1963,276.780
Europe,urban,1963,385.125
Europe,rural,1964,275.903
Europe,urban,1964,393.008
Europe,rural,1965,274.758
Europe,urban,1965,400.752
Europe,rural,1966,273.399
Europe,urban,1966,408.233
Europe,rural,1967,271.859
Europe,urban,1967,415.461
Europe,rural,1968,270.274
Europe,urban,1968,422.411
Europe,rural,1969,268.851
Europe,urban,1969,429.049
Europe,rural,1970,267.429
Europe,urban,1970,435.655
Europe,rural,1971,266.038
Europe,urban,1971,442.236
Europe,rural,1972,264.662
Europe,urban,1972,448.768
Europe,rural,1973,263.297
Europe,urban,1973,455.215
Europe,rural,1974,261.866
Europe,urban,1974,461.590
Europe,rural,1975,260.491
Europe,urban,1975,467.724
Europe,rural,1976,259.159
Europe,urban,1976,473.631
Europe,rural,1977,257.748
Europe,urban,1977,479.457
Europe,rural,1978,256.246
Europe,urban,1978,485.234
Europe,rural,1979,254.989
Europe,urban,1979,490.653
Europe,rural,1980,254.028
Europe,urban,1980,495.687
Europe,rural,1981,253.202
Europe,urban,1981,500.475
Europe,rural,1982,252.755
Europe,urban,1982,504.774
Europe,rural,1983,252.405
Europe,urban,1983,508.931
Europe,rural,1984,252.165
Europe,urban,1984,513.017
Europe,rural,1985,252.049
Europe,urban,1985,517.064
Europe,rural,1986,251.857
Europe,urban,1986,521.305
Europe,rural,1987,251.432
Europe,urban,1987,525.839
Europe,rural,1988,250.990
Europe,urban,1988,530.294
Europe,rural,1989,251.127
Europe,urban,1989,533.863
Europe,rural,1990,251.556
Europe,urban,1990,536.677
Europe,rural,1991,251.732
Europe,urban,1991,539.257
Europe,rural,1992,216.385
Europe,urban,1992,508.915
Europe,rural,1993,215.982
Europe,urban,1993,510.622
Europe,rural,1994,215.401
Europe,urban,1994,512.133
Europe,rural,1995,214.7
Europe,urban,1995,513.345
Europe,rural,1996,213.978
Europe,urban,1996,514.254
Europe,rural,1997,213.137
Europe,urban,1997,514.894
Europe,rural,1998,212.245
Europe,urban,1998,515.405
Europe,rural,1999,211.350
Europe,urban,1999,515.967
Europe,rural,2000,210.476
Europe,urban,2000,516.725
Europe,rural,2001,209.575
Europe,urban,2001,517.780
Europe,rural,2002,208.405
Europe,urban,2002,519.349
