Area,Element,Year,Unit,Value
Africa,rural,1998,1000 persons,511006395.000
Africa,urban,1998,1000 persons,267585841.000
Africa,rural,1999,1000 persons,521202265.000
Africa,urban,1999,1000 persons,276633762.000
Africa,rural,2000,1000 persons,531568392.000
Africa,urban,2000,1000 persons,285997612.000
Africa,rural,2001,1000 persons,541691634.000
Africa,urban,2001,1000 persons,296129294.000
Africa,rural,2002,1000 persons,551920837.000
Africa,urban,2002,1000 persons,306701760.00
Africa,rural,2003,1000 persons,562342819.000
Africa,urban,2003,1000 persons,317674047.000
Africa,rural,2004,1000 persons,572973496.000
Africa,urban,2004,1000 persons,329075105.000
Africa,rural,2005,1000 persons,583724116.000
Africa,urban,2005,1000 persons,341033592.000
Africa,rural,2006,1000 persons,594752633.000
Africa,urban,2006,1000 persons,353403533.000
Africa,rural,2007,1000 persons,606408989.000
Africa,urban,2007,1000 persons,365856972.000
Africa,rural,2008,1000 persons,617656517.000
Africa,urban,2008,1000 persons,379488153.000
Africa,rural,2009,1000 persons,629149675.000
Africa,urban,2009,1000 persons,393708979.000
Africa,rural,2010,1000 persons,640859299.000
Africa,urban,2010,1000 persons,408587045.000
Africa,rural,2011,1000 persons,652803773.000
Africa,urban,2011,1000 persons,424130040.00
Africa,rural,2012,1000 persons,665140073.000
Africa,urban,2012,1000 persons,440145195.000
Africa,rural,2013,1000 persons,677663811.000
Africa,urban,2013,1000 persons,456734381.000
Africa,rural,2014,1000 persons,690251653.000
Africa,urban,2014,1000 persons,473878136.000
Africa,rural,2015,1000 persons,702838816.000
Africa,urban,2015,1000 persons,491531092.000
Africa,rural,2016,1000 persons,715396624.000
Africa,urban,2016,1000 persons,509683886.000
Africa,rural,2017,1000 persons,727896702.000
Africa,urban,2017,1000 persons,528371323.000
Africa,rural,2018,1000 persons,740318336.000
Africa,urban,2018,1000 persons,547602182.000
Africa,rural,2019,1000 persons,752651097.000
Africa,urban,2019,1000 persons,567387619.000
Africa,rural,2020,1000 persons,764884396.000
Africa,urban,2020,1000 persons,587737793.000
Africa,rural,2021,1000 persons,777000214.000
Africa,urban,2021,1000 persons,608654401.000
Northern America,rural,1950,1000 persons,62302185.000
Northern America,urban,1950,1000 persons,110300439.000
Northern America,rural,1951,1000 persons,62109107.000
Northern America,urban,1951,1000 persons,112960493.000
Northern America,rural,1952,1000 persons,61967326.000
Northern America,urban,1952,1000 persons,115906631.000
Northern America,rural,1953,1000 persons,61891027.000
Northern America,urban,1953,1000 persons,119049662.000
Northern America,rural,1954,1000 persons,61848527.000
Northern America,urban,1954,1000 persons,122352725.000
Northern America,rural,1955,1000 persons,61818231.000
Northern America,urban,1955,1000 persons,125775297.000
Northern America,rural,1956,1000 persons,61783654.000
Northern America,urban,1956,1000 persons,129278210.00
Northern America,rural,1957,1000 persons,61782123.000
Northern America,urban,1957,1000 persons,132774934.000
Northern America,rural,1958,1000 persons,61744395.000
Northern America,urban,1958,1000 persons,136291856.000
Northern America,rural,1959,1000 persons,61661886.000
Northern America,urban,1959,1000 persons,139801014.000
Northern America,rural,1960,1000 persons,61607795.000
Northern America,urban,1960,1000 persons,143198772.000
Northern America,rural,1961,1000 persons,61746293.000
Northern America,urban,1961,1000 persons,146296257.000
Northern America,rural,1962,1000 persons,61784631.000
Northern America,urban,1962,1000 persons,149367119.000
Northern America,rural,1963,1000 persons,61763726.000
Northern America,urban,1963,1000 persons,152356791.000
Northern America,rural,1964,1000 persons,61682303.000
Northern America,urban,1964,1000 persons,155258632.000
Northern America,rural,1965,1000 persons,61545803.000
Northern America,urban,1965,1000 persons,158065889.000
Northern America,rural,1966,1000 persons,61353707.000
Northern America,urban,1966,1000 persons,160768151.000
Northern America,rural,1967,1000 persons,61153568.000
Northern America,urban,1967,1000 persons,163326576.000
Northern America,rural,1968,1000 persons,60912586.000
Northern America,urban,1968,1000 persons,165818736.000
Northern America,rural,1969,1000 persons,60652160.00
Northern America,urban,1969,1000 persons,168284866.000
Northern America,rural,1970,1000 persons,60562221.000
Northern America,urban,1970,1000 persons,170582485.000
Northern America,rural,1971,1000 persons,61025948.000
Northern America,urban,1971,1000 persons,172345511.000
Northern America,rural,1972,1000 persons,61614056.000
Northern America,urban,1972,1000 persons,174001074.000
Northern America,rural,1973,1000 persons,62208512.000
Northern America,urban,1973,1000 persons,175671874.000
Northern America,rural,1974,1000 persons,62809180.00
Northern America,urban,1974,1000 persons,177356958.000
Northern America,rural,1975,1000 persons,63415993.000
Northern America,urban,1975,1000 persons,179055971.000
Northern America,rural,1976,1000 persons,64028183.000
Northern America,urban,1976,1000 persons,180778675.000
Northern America,rural,1977,1000 persons,64615169.000
Northern America,urban,1977,1000 persons,182562112.000
Northern America,rural,1978,1000 persons,65209105.000
Northern America,urban,1978,1000 persons,184366700.0
Northern America,rural,1979,1000 persons,65806829.000
Northern America,urban,1979,1000 persons,186183645.000
Northern America,rural,1980,1000 persons,66324598.000
Northern America,urban,1980,1000 persons,188089048.000
Northern America,rural,1981,1000 persons,66592308.000
Northern America,urban,1981,1000 persons,190251769.000
Northern America,rural,1982,1000 persons,66829585.000
Northern America,urban,1982,1000 persons,192458941.000
Northern America,rural,1983,1000 persons,67066977.000
Northern America,urban,1983,1000 persons,194689882.000
Northern America,rural,1984,1000 persons,67307138.000
Northern America,urban,1984,1000 persons,196955531.000
Northern America,rural,1985,1000 persons,67554065.000
Northern America,urban,1985,1000 persons,199262223.000
Northern America,rural,1986,1000 persons,67810795.000
Northern America,urban,1986,1000 persons,201615481.000
Northern America,rural,1987,1000 persons,68108900.0
Northern America,urban,1987,1000 persons,203984014.000
Northern America,rural,1988,1000 persons,68412959.000
Northern America,urban,1988,1000 persons,206395695.000
Northern America,rural,1989,1000 persons,68721654.000
Northern America,urban,1989,1000 persons,208839783.000
Northern America,rural,1990,1000 persons,68870908.000
Northern America,urban,1990,1000 persons,211474532.000
Northern America,rural,1991,1000 persons,68525844.000
Northern America,urban,1991,1000 persons,214616976.000
Northern America,rural,1992,1000 persons,68111361.000
Northern America,urban,1992,1000 persons,217851106.000
Northern America,rural,1993,1000 persons,67708029.000
Northern America,urban,1993,1000 persons,221147646.000
Northern America,rural,1994,1000 persons,67326937.000
Northern America,urban,1994,1000 persons,224565320.00
Northern America,rural,1995,1000 persons,66977745.000
Northern America,urban,1995,1000 persons,228135988.000
Northern America,rural,1996,1000 persons,66658841.000
Northern America,urban,1996,1000 persons,231891834.000
Northern America,rural,1997,1000 persons,66335131.000
Northern America,urban,1997,1000 persons,235830001.000
Northern America,rural,1998,1000 persons,66011178.000
Northern America,urban,1998,1000 persons,239835303.000
Northern America,rural,1999,1000 persons,65655871.000
Northern America,urban,1999,1000 persons,243786384.000
Northern America,rural,2000,1000 persons,65373576.000
Northern America,urban,2000,1000 persons,247471450.00
Northern America,rural,2001,1000 persons,65428646.000
Northern America,urban,2001,1000 persons,250575395.000
Northern America,rural,2002,1000 persons,65510771.000
Northern America,urban,2002,1000 persons,253444355.000
Northern America,rural,2003,1000 persons,65561246.000
Northern America,urban,2003,1000 persons,256222017.000
Northern America,rural,2004,1000 persons,65606100.0
Northern America,urban,2004,1000 persons,259010826.000
Northern America,rural,2005,1000 persons,65665618.000
Northern America,urban,2005,1000 persons,261880205.000
Northern America,rural,2006,1000 persons,65739084.000
Northern America,urban,2006,1000 persons,264862049.000
Northern America,rural,2007,1000 persons,65792708.000
Northern America,urban,2007,1000 persons,267950479.000
Northern America,rural,2008,1000 persons,65842661.000
Northern America,urban,2008,1000 persons,271063689.000
Northern America,rural,2009,1000 persons,65872466.000
Northern America,urban,2009,1000 persons,274121035.000
Northern America,rural,2010,1000 persons,65867231.000
Northern America,urban,2010,1000 persons,277069696.000
Northern America,rural,2011,1000 persons,65813919.000
Northern America,urban,2011,1000 persons,279902483.000
Northern America,rural,2012,1000 persons,65753139.000
Northern America,urban,2012,1000 persons,282608914.000
Northern America,rural,2013,1000 persons,65653885.000
Northern America,urban,2013,1000 persons,285263744.000
Northern America,rural,2014,1000 persons,65528820.00
Northern America,urban,2014,1000 persons,287919728.000
Northern America,rural,2015,1000 persons,65387120.00
Northern America,urban,2015,1000 persons,290616421.000
Northern America,rural,2016,1000 persons,65230924.000
Northern America,urban,2016,1000 persons,293362886.000
Northern America,rural,2017,1000 persons,65054421.000
Northern America,urban,2017,1000 persons,296153390.00
Northern America,rural,2018,1000 persons,64857380.00
Northern America,urban,2018,1000 persons,298987110.00
Northern America,rural,2019,1000 persons,64638685.000
Northern America,urban,2019,1000 persons,301858117.000
Northern America,rural,2020,1000 persons,64397379.000
Northern America,urban,2020,1000 persons,304761178.000
Northern America,rural,2021,1000 persons,64133908.000
Northern America,urban,2021,1000 persons,307697259.000
Central America,rural,1950,1000 persons,23129928.000
Central America,urban,1950,1000 persons,14927277.000
Central America,rural,1951,1000 persons,23518067.000
Central America,urban,1951,1000 persons,15626001.000
Central America,rural,1952,1000 persons,23928269.000
Central America,urban,1952,1000 persons,16370151.000
Central America,rural,1953,1000 persons,24357581.000
Central America,urban,1953,1000 persons,17157622.000
Central America,rural,1954,1000 persons,24801257.000
Central America,urban,1954,1000 persons,17988865.000
Central America,rural,1955,1000 persons,25256652.000
Central America,urban,1955,1000 persons,18863054.000
Central America,rural,1956,1000 persons,25720775.000
Central America,urban,1956,1000 persons,19780480.00
Central America,rural,1957,1000 persons,26192904.000
Central America,urban,1957,1000 persons,20739969.000
Central America,rural,1958,1000 persons,26670047.000
Central America,urban,1958,1000 persons,21743310.00
Central America,rural,1959,1000 persons,27151373.000
Central America,urban,1959,1000 persons,22790820.00
Central America,rural,1960,1000 persons,27634728.000
Central America,urban,1960,1000 persons,23884391.000
Central America,rural,1961,1000 persons,28112248.000
Central America,urban,1961,1000 persons,25031723.000
Central America,rural,1962,1000 persons,28591313.000
Central America,urban,1962,1000 persons,26224937.000
Central America,rural,1963,1000 persons,29066315.000
Central America,urban,1963,1000 persons,27468756.000
Central America,rural,1964,1000 persons,29529634.000
Central America,urban,1964,1000 persons,28769914.000
Central America,rural,1965,1000 persons,30004764.000
Central America,urban,1965,1000 persons,30104864.000
Central America,rural,1966,1000 persons,30473539.000
Central America,urban,1966,1000 persons,31486447.000
Central America,rural,1967,1000 persons,30936291.000
Central America,urban,1967,1000 persons,32915328.000
Central America,rural,1968,1000 persons,31397540.00
Central America,urban,1968,1000 persons,34400932.000
Central America,rural,1969,1000 persons,31865981.000
Central America,urban,1969,1000 persons,35953426.000
Central America,rural,1970,1000 persons,32354786.000
Central America,urban,1970,1000 persons,37570564.000
Central America,rural,1971,1000 persons,32877171.000
Central America,urban,1971,1000 persons,39244248.000
Central America,rural,1972,1000 persons,33400581.000
Central America,urban,1972,1000 persons,40994987.000
Central America,rural,1973,1000 persons,33918853.000
Central America,urban,1973,1000 persons,42801379.000
Central America,rural,1974,1000 persons,34421035.000
Central America,urban,1974,1000 persons,44636680.00
Central America,rural,1975,1000 persons,34894651.000
Central America,urban,1975,1000 persons,46484880.00
Central America,rural,1976,1000 persons,35333098.000
Central America,urban,1976,1000 persons,48342964.000
Central America,rural,1977,1000 persons,35740842.000
Central America,urban,1977,1000 persons,50209767.000
Central America,rural,1978,1000 persons,36116953.000
Central America,urban,1978,1000 persons,52086812.000
Central America,rural,1979,1000 persons,36465009.000
Central America,urban,1979,1000 persons,53975559.000
Central America,rural,1980,1000 persons,36795083.000
Central America,urban,1980,1000 persons,55870190.00
Central America,rural,1981,1000 persons,37210728.000
Central America,urban,1981,1000 persons,57666686.000
Central America,rural,1982,1000 persons,37604355.000
Central America,urban,1982,1000 persons,59471411.000
Central America,rural,1983,1000 persons,37978005.000
Central America,urban,1983,1000 persons,61285897.000
Central America,rural,1984,1000 persons,38331754.000
Central America,urban,1984,1000 persons,63114957.000
Central America,rural,1985,1000 persons,38656004.000
Central America,urban,1985,1000 persons,64973333.000
Central America,rural,1986,1000 persons,38960854.000
Central America,urban,1986,1000 persons,66847021.000
Central America,rural,1987,1000 persons,39248535.000
Central America,urban,1987,1000 persons,68736949.000
Central America,rural,1988,1000 persons,39526352.000
Central America,urban,1988,1000 persons,70656195.000
Central America,rural,1989,1000 persons,39808932.000
Central America,urban,1989,1000 persons,72616684.000
Central America,rural,1990,1000 persons,40116295.000
Central America,urban,1990,1000 persons,74614825.000
Central America,rural,1991,1000 persons,40473427.000
Central America,urban,1991,1000 persons,76634720.00
Central America,rural,1992,1000 persons,40833178.000
Central America,urban,1992,1000 persons,78710921.000
Central America,rural,1993,1000 persons,41155376.000
Central America,urban,1993,1000 persons,80851418.000
Central America,rural,1994,1000 persons,41445215.000
Central America,urban,1994,1000 persons,83006071.000
Central America,rural,1995,1000 persons,41705182.000
Central America,urban,1995,1000 persons,85138899.000
Central America,rural,1996,1000 persons,42012220.00
Central America,urban,1996,1000 persons,87169211.000
Central America,rural,1997,1000 persons,42333850.00
Central America,urban,1997,1000 persons,89137072.000
Central America,rural,1998,1000 persons,42628133.000
Central America,urban,1998,1000 persons,91077167.000
Central America,rural,1999,1000 persons,42935888.000
Central America,urban,1999,1000 persons,92942908.000
Central America,rural,2000,1000 persons,43191602.000
Central America,urban,2000,1000 persons,94800624.000
Central America,rural,2001,1000 persons,43369031.000
Central America,urban,2001,1000 persons,96664222.000
Central America,rural,2002,1000 persons,43511151.000
Central America,urban,2002,1000 persons,98503174.000
Central America,rural,2003,1000 persons,43644330.00
Central America,urban,2003,1000 persons,100347111.000
Central America,rural,2004,1000 persons,43785894.000
Central America,urban,2004,1000 persons,102253913.000
Central America,rural,2005,1000 persons,43947597.000
Central America,urban,2005,1000 persons,104263961.000
Central America,rural,2006,1000 persons,44130859.000
Central America,urban,2006,1000 persons,106398068.000
Central America,rural,2007,1000 persons,44329086.000
Central America,urban,2007,1000 persons,108642782.000
Central America,rural,2008,1000 persons,44513809.000
Central America,urban,2008,1000 persons,110983772.000
Central America,rural,2009,1000 persons,44692147.000
Central America,urban,2009,1000 persons,113349744.000
Central America,rural,2010,1000 persons,44851238.000
Central America,urban,2010,1000 persons,115705357.000
Central America,rural,2011,1000 persons,44986303.000
Central America,urban,2011,1000 persons,118042061.000
Central America,rural,2012,1000 persons,45101039.000
Central America,urban,2012,1000 persons,120366085.000
Central America,rural,2013,1000 persons,45195523.000
Central America,urban,2013,1000 persons,122680013.000
Central America,rural,2014,1000 persons,45271430.00
Central America,urban,2014,1000 persons,124991386.000
Central America,rural,2015,1000 persons,45330806.000
Central America,urban,2015,1000 persons,127304303.000
Central America,rural,2016,1000 persons,45373886.000
Central America,urban,2016,1000 persons,129614870.00
Central America,rural,2017,1000 persons,45398572.000
Central America,urban,2017,1000 persons,131917745.000
Central America,rural,2018,1000 persons,45404518.000
Central America,urban,2018,1000 persons,134211645.000
Central America,rural,2019,1000 persons,45391560.00
Central America,urban,2019,1000 persons,136495379.000
Central America,rural,2020,1000 persons,45359568.000
Central America,urban,2020,1000 persons,138767686.000
Central America,rural,2021,1000 persons,45308453.000
Central America,urban,2021,1000 persons,141026955.000
Caribbean,rural,1950,1000 persons,10877894.000
Caribbean,urban,1950,1000 persons,6197777.000
Caribbean,rural,1951,1000 persons,11013321.000
Caribbean,urban,1951,1000 persons,6382519.000
Caribbean,rural,1952,1000 persons,11157862.000
Caribbean,urban,1952,1000 persons,6576752.000
Caribbean,rural,1953,1000 persons,11306846.000
Caribbean,urban,1953,1000 persons,6777173.000
Caribbean,rural,1954,1000 persons,11456581.000
Caribbean,urban,1954,1000 persons,6982207.000
Caribbean,rural,1955,1000 persons,11602115.000
Caribbean,urban,1955,1000 persons,7194388.000
Caribbean,rural,1956,1000 persons,11746180.00
Caribbean,urban,1956,1000 persons,7411320.00
Caribbean,rural,1957,1000 persons,11890326.000
Caribbean,urban,1957,1000 persons,7634482.000
Caribbean,rural,1958,1000 persons,12036689.000
Caribbean,urban,1958,1000 persons,7867127.000
Caribbean,rural,1959,1000 persons,12188500.0
Caribbean,urban,1959,1000 persons,8112723.000
Caribbean,rural,1960,1000 persons,12343696.000
Caribbean,urban,1960,1000 persons,8379235.000
Caribbean,rural,1961,1000 persons,12486716.000
Caribbean,urban,1961,1000 persons,8684485.000
Caribbean,rural,1962,1000 persons,12632281.000
Caribbean,urban,1962,1000 persons,9010354.000
Caribbean,rural,1963,1000 persons,12776929.000
Caribbean,urban,1963,1000 persons,9350113.000
Caribbean,rural,1964,1000 persons,12914256.000
Caribbean,urban,1964,1000 persons,9696225.000
Caribbean,rural,1965,1000 persons,13040167.000
Caribbean,urban,1965,1000 persons,10042546.000
Caribbean,rural,1966,1000 persons,13152456.000
Caribbean,urban,1966,1000 persons,10386665.000
Caribbean,rural,1967,1000 persons,13253166.000
Caribbean,urban,1967,1000 persons,10729412.000
Caribbean,rural,1968,1000 persons,13345049.000
Caribbean,urban,1968,1000 persons,11074375.000
Caribbean,rural,1969,1000 persons,13433240.00
Caribbean,urban,1969,1000 persons,11426400.0
Caribbean,rural,1970,1000 persons,13523880.00
Caribbean,urban,1970,1000 persons,11786109.000
Caribbean,rural,1971,1000 persons,13579641.000
Caribbean,urban,1971,1000 persons,12193159.000
Caribbean,rural,1972,1000 persons,13639438.000
Caribbean,urban,1972,1000 persons,12604877.000
Caribbean,rural,1973,1000 persons,13699176.000
Caribbean,urban,1973,1000 persons,13019249.000
Caribbean,rural,1974,1000 persons,13751947.000
Caribbean,urban,1974,1000 persons,13434108.000
Caribbean,rural,1975,1000 persons,13796665.000
Caribbean,urban,1975,1000 persons,13844356.000
Caribbean,rural,1976,1000 persons,13832899.000
Caribbean,urban,1976,1000 persons,14248426.000
Caribbean,rural,1977,1000 persons,13862956.000
Caribbean,urban,1977,1000 persons,14646707.000
Caribbean,rural,1978,1000 persons,13888555.000
Caribbean,urban,1978,1000 persons,15041716.000
Caribbean,rural,1979,1000 persons,13913185.000
Caribbean,urban,1979,1000 persons,15436313.000
Caribbean,rural,1980,1000 persons,13913616.000
Caribbean,urban,1980,1000 persons,15858422.000
Caribbean,rural,1981,1000 persons,13849799.000
Caribbean,urban,1981,1000 persons,16348789.000
Caribbean,rural,1982,1000 persons,13841228.000
Caribbean,urban,1982,1000 persons,16787115.000
Caribbean,rural,1983,1000 persons,13834473.000
Caribbean,urban,1983,1000 persons,17227958.000
Caribbean,rural,1984,1000 persons,13824435.000
Caribbean,urban,1984,1000 persons,17677729.000
Caribbean,rural,1985,1000 persons,13818994.000
Caribbean,urban,1985,1000 persons,18129033.000
Caribbean,rural,1986,1000 persons,13816296.000
Caribbean,urban,1986,1000 persons,18584423.000
Caribbean,rural,1987,1000 persons,13816288.000
Caribbean,urban,1987,1000 persons,19043080.00
Caribbean,rural,1988,1000 persons,13817991.000
Caribbean,urban,1988,1000 persons,19502968.000
Caribbean,rural,1989,1000 persons,13821708.000
Caribbean,urban,1989,1000 persons,19959614.000
Caribbean,rural,1990,1000 persons,13835273.000
Caribbean,urban,1990,1000 persons,20402001.000
Caribbean,rural,1991,1000 persons,13890958.000
Caribbean,urban,1991,1000 persons,20796467.000
Caribbean,rural,1992,1000 persons,13958292.000
Caribbean,urban,1992,1000 persons,21173370.00
Caribbean,rural,1993,1000 persons,14063067.000
Caribbean,urban,1993,1000 persons,21506212.000
Caribbean,rural,1994,1000 persons,14128646.000
Caribbean,urban,1994,1000 persons,21871318.000
Caribbean,rural,1995,1000 persons,14177431.000
Caribbean,urban,1995,1000 persons,22245806.000
Caribbean,rural,1996,1000 persons,14219459.000
Caribbean,urban,1996,1000 persons,22619448.000
Caribbean,rural,1997,1000 persons,14252377.000
Caribbean,urban,1997,1000 persons,22993894.000
Caribbean,rural,1998,1000 persons,14274812.000
Caribbean,urban,1998,1000 persons,23369068.000
Caribbean,rural,1999,1000 persons,14290904.000
Caribbean,urban,1999,1000 persons,23739207.000
Caribbean,rural,2000,1000 persons,14304856.000
Caribbean,urban,2000,1000 persons,24099130.00
Caribbean,rural,2001,1000 persons,14232843.000
Caribbean,urban,2001,1000 persons,24532176.000
Caribbean,rural,2002,1000 persons,14153077.000
Caribbean,urban,2002,1000 persons,24960992.000
Caribbean,rural,2003,1000 persons,14031782.000
Caribbean,urban,2003,1000 persons,25421753.000
Caribbean,rural,2004,1000 persons,13955542.000
Caribbean,urban,2004,1000 persons,25831034.000
Caribbean,rural,2005,1000 persons,13881751.000
Caribbean,urban,2005,1000 persons,26234039.000
Caribbean,rural,2006,1000 persons,13802770.00
Caribbean,urban,2006,1000 persons,26638759.000
Caribbean,rural,2007,1000 persons,13719108.000
Caribbean,urban,2007,1000 persons,27044646.000
Caribbean,rural,2008,1000 persons,13630938.000
Caribbean,urban,2008,1000 persons,27453043.000
Caribbean,rural,2009,1000 persons,13539708.000
Caribbean,urban,2009,1000 persons,27864275.000
Caribbean,rural,2010,1000 persons,13444636.000
Caribbean,urban,2010,1000 persons,28280095.000
Caribbean,rural,2011,1000 persons,13354993.000
Caribbean,urban,2011,1000 persons,28692203.000
Caribbean,rural,2012,1000 persons,13267584.000
Caribbean,urban,2012,1000 persons,29103043.000
Caribbean,rural,2013,1000 persons,13180708.000
Caribbean,urban,2013,1000 persons,29510968.000
Caribbean,rural,2014,1000 persons,13088820.00
Caribbean,urban,2014,1000 persons,29916965.000
Caribbean,rural,2015,1000 persons,12990199.000
Caribbean,urban,2015,1000 persons,30319412.000
Caribbean,rural,2016,1000 persons,12886014.000
Caribbean,urban,2016,1000 persons,30715825.000
Caribbean,rural,2017,1000 persons,12776030.00
Caribbean,urban,2017,1000 persons,31107289.000
Caribbean,rural,2018,1000 persons,12662505.000
Caribbean,urban,2018,1000 persons,31492818.000
Caribbean,rural,2019,1000 persons,12546421.000
Caribbean,urban,2019,1000 persons,31873722.000
Caribbean,rural,2020,1000 persons,12428469.000
Caribbean,urban,2020,1000 persons,32250967.000
Caribbean,rural,2021,1000 persons,12308814.000
Caribbean,urban,2021,1000 persons,32624379.000
South America,rural,1950,1000 persons,65150760.00
South America,urban,1950,1000 persons,48634057.000
South America,rural,1951,1000 persons,65938170.00
South America,urban,1951,1000 persons,51019048.000
South America,rural,1952,1000 persons,66698702.000
South America,urban,1952,1000 persons,53502200.0
South America,rural,1953,1000 persons,67431510.00
South America,urban,1953,1000 persons,56076704.000
South America,rural,1954,1000 persons,68129510.00
South America,urban,1954,1000 persons,58746853.000
South America,rural,1955,1000 persons,68794551.000
South America,urban,1955,1000 persons,61512922.000
South America,rural,1956,1000 persons,69427937.000
South America,urban,1956,1000 persons,64381038.000
South America,rural,1957,1000 persons,70040233.000
South America,urban,1957,1000 persons,67352917.000
South America,rural,1958,1000 persons,70633017.000
South America,urban,1958,1000 persons,70443179.000
South America,rural,1959,1000 persons,71215240.00
South America,urban,1959,1000 persons,73661088.000
South America,rural,1960,1000 persons,71789895.000
South America,urban,1960,1000 persons,77018596.000
South America,rural,1961,1000 persons,72439929.000
South America,urban,1961,1000 persons,80438707.000
South America,rural,1962,1000 persons,73058982.000
South America,urban,1962,1000 persons,84019827.000
South America,rural,1963,1000 persons,73653387.000
South America,urban,1963,1000 persons,87731475.000
South America,rural,1964,1000 persons,74203588.000
South America,urban,1964,1000 persons,91559100.0
South America,rural,1965,1000 persons,74825099.000
South America,urban,1965,1000 persons,95360720.00
South America,rural,1966,1000 persons,75398211.000
South America,urban,1966,1000 persons,99251341.000
South America,rural,1967,1000 persons,75921207.000
South America,urban,1967,1000 persons,103235164.000
South America,rural,1968,1000 persons,76386924.000
South America,urban,1968,1000 persons,107309483.000
South America,rural,1969,1000 persons,76796762.000
South America,urban,1969,1000 persons,111463226.000
South America,rural,1970,1000 persons,77142529.000
