area,year,Unit,Value
Africa,2002,1000 persons,860611465.000
Africa,2003,1000 persons,882349262.000
Africa,2004,1000 persons,904781343.000
Africa,2005,1000 persons,927898095.000
Africa,2006,1000 persons,951740270.00
Africa,2007,1000 persons,976461443.000
Africa,2008,1000 persons,1001981286.000
Africa,2009,1000 persons,1028200285.000
Africa,2010,1000 persons,1055233393.000
Africa,2011,1000 persons,1082675797.000
Africa,2012,1000 persons,1110797233.000
Africa,2013,1000 persons,1140180579.000
Africa,2014,1000 persons,1170299019.000
Africa,2015,1000 persons,1201107939.000
Africa,2016,1000 persons,1232111607.000
Africa,2017,1000 persons,1263333738.000
Africa,2018,1000 persons,1295265048.000
Africa,2019,1000 persons,1327701165.000
Africa,2020,1000 persons,1360677233.000
Africa,2021,1000 persons,1393676446.000
Northern America,1950,1000 persons,162089353.000
Northern America,1951,1000 persons,164749833.000
Northern America,1952,1000 persons,167494178.000
Northern America,1953,1000 persons,170420513.000
Northern America,1954,1000 persons,173598022.000
Northern America,1955,1000 persons,176940529.000
Northern America,1956,1000 persons,180302051.000
Northern America,1957,1000 persons,183672449.000
Northern America,1958,1000 persons,187335605.000
Northern America,1959,1000 persons,190926574.000
Northern America,1960,1000 persons,194177009.000
Northern America,1961,1000 persons,197442208.000
Northern America,1962,1000 persons,200623683.000
Northern America,1963,1000 persons,203706744.000
Northern America,1964,1000 persons,206691981.000
Northern America,1965,1000 persons,209482853.000
Northern America,1966,1000 persons,211979519.000
Northern America,1967,1000 persons,214286308.000
Northern America,1968,1000 persons,216573635.000
Northern America,1969,1000 persons,218993969.000
Northern America,1970,1000 persons,221865907.000
Northern America,1971,1000 persons,224901244.000
Northern America,1972,1000 persons,227566326.000
Northern America,1973,1000 persons,229923510.00
Northern America,1974,1000 persons,232198018.000
Northern America,1975,1000 persons,234519143.000
Northern America,1976,1000 persons,236821064.000
Northern America,1977,1000 persons,239261912.000
Northern America,1978,1000 persons,241953381.000
Northern America,1979,1000 persons,244791542.000
Northern America,1980,1000 persons,247761305.000
Northern America,1981,1000 persons,250580511.000
Northern America,1982,1000 persons,253214700.0
Northern America,1983,1000 persons,255863568.000
Northern America,1984,1000 persons,258482370.00
Northern America,1985,1000 persons,261105162.000
Northern America,1986,1000 persons,263744844.000
Northern America,1987,1000 persons,266406972.000
Northern America,1988,1000 persons,269220718.000
Northern America,1989,1000 persons,272317228.000
Northern America,1990,1000 persons,275860329.000
Northern America,1991,1000 persons,279695832.000
Northern America,1992,1000 persons,283643365.000
Northern America,1993,1000 persons,287568762.000
Northern America,1994,1000 persons,291375997.000
Northern America,1995,1000 persons,295071644.000
Northern America,1996,1000 persons,298700406.000
Northern America,1997,1000 persons,302400883.000
Northern America,1998,1000 persons,306102899.000
Northern America,1999,1000 persons,309704739.000
Northern America,2000,1000 persons,313205696.000
Northern America,2001,1000 persons,316597666.000
Northern America,2002,1000 persons,319797595.000
Northern America,2003,1000 persons,322854668.000
Northern America,2004,1000 persons,325985319.000
Northern America,2005,1000 persons,329184547.000
Northern America,2006,1000 persons,332410934.000
Northern America,2007,1000 persons,335731786.000
Northern America,2008,1000 persons,339039346.000
Northern America,2009,1000 persons,342231801.000
Northern America,2010,1000 persons,345272107.000
Northern America,2011,1000 persons,348326005.000
Northern America,2012,1000 persons,351468985.000
Northern America,2013,1000 persons,354564457.000
Northern America,2014,1000 persons,357563869.000
Northern America,2015,1000 persons,360464919.000
Northern America,2016,1000 persons,363448679.000
Northern America,2017,1000 persons,366470739.000
Northern America,2018,1000 persons,369300737.000
Northern America,2019,1000 persons,371967923.000
Northern America,2020,1000 persons,373956671.000
Northern America,2021,1000 persons,375278947.000
Central America,1950,1000 persons,37649467.000
Central America,1951,1000 persons,38651639.000
Central America,1952,1000 persons,39670857.000
Central America,1953,1000 persons,40727093.000
Central America,1954,1000 persons,41827927.000
Central America,1955,1000 persons,42981063.000
Central America,1956,1000 persons,44184818.000
Central America,1957,1000 persons,45441276.000
Central America,1958,1000 persons,46735807.000
Central America,1959,1000 persons,48103231.000
Central America,1960,1000 persons,49578729.000
Central America,1961,1000 persons,51153865.000
Central America,1962,1000 persons,52811245.000
Central America,1963,1000 persons,54531358.000
Central America,1964,1000 persons,56316873.000
Central America,1965,1000 persons,58167650.00
Central America,1966,1000 persons,60067084.000
Central America,1967,1000 persons,62009232.000
Central America,1968,1000 persons,63996191.000
Central America,1969,1000 persons,66019740.00
Central America,1970,1000 persons,68081914.000
Central America,1971,1000 persons,70184614.000
Central America,1972,1000 persons,72328600.0
Central America,1973,1000 persons,74523107.000
Central America,1974,1000 persons,76761378.000
Central America,1975,1000 persons,79036986.000
Central America,1976,1000 persons,81324479.000
Central America,1977,1000 persons,83671118.000
Central America,1978,1000 persons,86090657.000
Central America,1979,1000 persons,88500612.000
Central America,1980,1000 persons,90799667.000
Central America,1981,1000 persons,92875029.000
Central America,1982,1000 persons,94850466.000
Central America,1983,1000 persons,96881516.000
Central America,1984,1000 persons,98930762.000
Central America,1985,1000 persons,100963639.000
Central America,1986,1000 persons,102972923.000
Central America,1987,1000 persons,104970065.000
Central America,1988,1000 persons,106998070.00
Central America,1989,1000 persons,109043466.000
Central America,1990,1000 persons,111244251.000
Central America,1991,1000 persons,113594318.000
Central America,1992,1000 persons,115960566.000
Central America,1993,1000 persons,118341880.00
Central America,1994,1000 persons,120729530.00
Central America,1995,1000 persons,123108097.000
Central America,1996,1000 persons,125442609.000
Central America,1997,1000 persons,127755717.000
Central America,1998,1000 persons,130050993.000
Central America,1999,1000 persons,132326692.000
Central America,2000,1000 persons,134569095.000
Central America,2001,1000 persons,136784548.000
Central America,2002,1000 persons,138996726.000
Central America,2003,1000 persons,141185853.000
Central America,2004,1000 persons,143371773.000
Central America,2005,1000 persons,145534454.000
Central America,2006,1000 persons,147644117.000
Central America,2007,1000 persons,149744431.000
Central America,2008,1000 persons,151824428.000
Central America,2009,1000 persons,153884609.000
Central America,2010,1000 persons,156064198.000
Central America,2011,1000 persons,158384478.000
Central America,2012,1000 persons,160696992.000
Central America,2013,1000 persons,162936805.000
Central America,2014,1000 persons,165101091.000
Central America,2015,1000 persons,167187385.000
Central America,2016,1000 persons,169249622.000
Central America,2017,1000 persons,171256607.000
Central America,2018,1000 persons,173093517.000
Central America,2019,1000 persons,174800778.000
Central America,2020,1000 persons,176343831.000
Central America,2021,1000 persons,177661928.000
Caribbean,1950,1000 persons,17165699.000
Caribbean,1951,1000 persons,17519889.000
Caribbean,1952,1000 persons,17875003.000
Caribbean,1953,1000 persons,18233532.000
Caribbean,1954,1000 persons,18598393.000
Caribbean,1955,1000 persons,18969435.000
Caribbean,1956,1000 persons,19346366.000
Caribbean,1957,1000 persons,19730146.000
Caribbean,1958,1000 persons,20123136.000
Caribbean,1959,1000 persons,20526519.000
Caribbean,1960,1000 persons,20951221.000
Caribbean,1961,1000 persons,21395868.000
Caribbean,1962,1000 persons,21846211.000
Caribbean,1963,1000 persons,22299696.000
Caribbean,1964,1000 persons,22758542.000
Caribbean,1965,1000 persons,23219053.000
Caribbean,1966,1000 persons,23677694.000
Caribbean,1967,1000 persons,24135339.000
Caribbean,1968,1000 persons,24588666.000
Caribbean,1969,1000 persons,25038891.000
Caribbean,1970,1000 persons,25496467.000
Caribbean,1971,1000 persons,25963146.000
Caribbean,1972,1000 persons,26424548.000
Caribbean,1973,1000 persons,26874019.000
Caribbean,1974,1000 persons,27313315.000
Caribbean,1975,1000 persons,27743641.000
Caribbean,1976,1000 persons,28163843.000
Caribbean,1977,1000 persons,28572978.000
Caribbean,1978,1000 persons,28971550.00
Caribbean,1979,1000 persons,29361789.000
Caribbean,1980,1000 persons,29743933.000
Caribbean,1981,1000 persons,30132969.000
Caribbean,1982,1000 persons,30550121.000
Caribbean,1983,1000 persons,30989298.000
Caribbean,1984,1000 persons,31434015.000
Caribbean,1985,1000 persons,31879912.000
Caribbean,1986,1000 persons,32326752.000
Caribbean,1987,1000 persons,32776199.000
Caribbean,1988,1000 persons,33233963.000
Caribbean,1989,1000 persons,33700752.000
Caribbean,1990,1000 persons,34174449.000
Caribbean,1991,1000 persons,34643789.000
Caribbean,1992,1000 persons,35098854.000
Caribbean,1993,1000 persons,35539225.000
Caribbean,1994,1000 persons,35963858.000
Caribbean,1995,1000 persons,36377375.000
Caribbean,1996,1000 persons,36782097.000
Caribbean,1997,1000 persons,37177788.000
Caribbean,1998,1000 persons,37565412.000
Caribbean,1999,1000 persons,37944703.000
Caribbean,2000,1000 persons,38308753.000
Caribbean,2001,1000 persons,38652996.000
Caribbean,2002,1000 persons,38985758.000
Caribbean,2003,1000 persons,39310836.000
Caribbean,2004,1000 persons,39623560.00
Caribbean,2005,1000 persons,39927095.000
Caribbean,2006,1000 persons,40232292.000
Caribbean,2007,1000 persons,40536220.00
Caribbean,2008,1000 persons,40836846.000
Caribbean,2009,1000 persons,41142494.000
Caribbean,2010,1000 persons,41404570.00
Caribbean,2011,1000 persons,41660234.000
Caribbean,2012,1000 persons,41954980.00
Caribbean,2013,1000 persons,42238680.00
Caribbean,2014,1000 persons,42504130.00
Caribbean,2015,1000 persons,42754710.00
Caribbean,2016,1000 persons,42989647.000
Caribbean,2017,1000 persons,43209006.000
Caribbean,2018,1000 persons,43469544.000
Caribbean,2019,1000 persons,43727822.000
Caribbean,2020,1000 persons,43962245.000
Caribbean,2021,1000 persons,44182048.000
South America,1950,1000 persons,113520678.000
South America,1951,1000 persons,116611618.000
South America,1952,1000 persons,119808263.000
South America,1953,1000 persons,123095656.000
South America,1954,1000 persons,126483839.000
South America,1955,1000 persons,129985920.00
South America,1956,1000 persons,133605446.000
South America,1957,1000 persons,137348264.000
South America,1958,1000 persons,141190490.00
South America,1959,1000 persons,145148586.000
South America,1960,1000 persons,149224210.00
South America,1961,1000 persons,153377765.000
South America,1962,1000 persons,157608915.000
South America,1963,1000 persons,161919399.000
South America,1964,1000 persons,166291419.000
South America,1965,1000 persons,170706849.000
South America,1966,1000 persons,175135392.000
South America,1967,1000 persons,179568924.000
South America,1968,1000 persons,184010946.000
South America,1969,1000 persons,188469297.000
South America,1970,1000 persons,192947156.000
South America,1971,1000 persons,197461619.000
South America,1972,1000 persons,202046138.000
South America,1973,1000 persons,206713094.000
South America,1974,1000 persons,211454529.000
South America,1975,1000 persons,216251746.000
South America,1976,1000 persons,221111720.00
South America,1977,1000 persons,226098249.000
South America,1978,1000 persons,231226758.000
South America,1979,1000 persons,236454113.000
South America,1980,1000 persons,241789006.000
South America,1981,1000 persons,247206134.000
South America,1982,1000 persons,252673356.000
South America,1983,1000 persons,258200232.000
South America,1984,1000 persons,263760543.000
South America,1985,1000 persons,269320524.000
South America,1986,1000 persons,274880125.000
South America,1987,1000 persons,280447540.00
South America,1988,1000 persons,286026496.000
South America,1989,1000 persons,291601345.000
South America,1990,1000 persons,297146415.000
South America,1991,1000 persons,302601502.000
South America,1992,1000 persons,307967446.000
South America,1993,1000 persons,313302095.000
South America,1994,1000 persons,318637008.000
South America,1995,1000 persons,323946144.000
South America,1996,1000 persons,329199280.00
South America,1997,1000 persons,334414027.000
South America,1998,1000 persons,339582998.000
South America,1999,1000 persons,344665653.000
South America,2000,1000 persons,349634282.000
South America,2001,1000 persons,354475149.000
South America,2002,1000 persons,359177000
South America,2003,1000 persons,363705347.000
South America,2004,1000 persons,368126785.000
South America,2005,1000 persons,372502473.000
South America,2006,1000 persons,376788333.000
South America,2007,1000 persons,380965937.000
South America,2008,1000 persons,385031352.000
South America,2009,1000 persons,389045246.000
South America,2010,1000 persons,393078250.00
South America,2011,1000 persons,397135127.000
South America,2012,1000 persons,401166824.000
South America,2013,1000 persons,405147888.000
South America,2014,1000 persons,409128833.000
South America,2015,1000 persons,413134396.000
South America,2016,1000 persons,417101738.000
South America,2017,1000 persons,420982586.000
South America,2018,1000 persons,424740675.000
South America,2019,1000 persons,428318159.000
South America,2020,1000 persons,431530043.000
South America,2021,1000 persons,434254120.00
Asia,1950,1000 persons,1353592419.000
Asia,1951,1000 persons,1379532986.000
Asia,1952,1000 persons,1408214437.000
Asia,1953,1000 persons,1438892303.000
Asia,1954,1000 persons,1470508395.000
Asia,1955,1000 persons,1503895827.000
Asia,1956,1000 persons,1537640452.000
Asia,1957,1000 persons,1572903881.000
Asia,1958,1000 persons,1608799284.000
Asia,1959,1000 persons,1640084414.000
Asia,1960,1000 persons,1665795881.000
Asia,1961,1000 persons,1691043801.000
Asia,1962,1000 persons,1725210613.000
Asia,1963,1000 persons,1770123747.000
Asia,1964,1000 persons,1817102720.00
Asia,1965,1000 persons,1862643154.000
Asia,1966,1000 persons,1907919054.000
Asia,1967,1000 persons,1952947036.000
Asia,1968,1000 persons,2000327458.000
Asia,1969,1000 persons,2050105005.000
Asia,1970,1000 persons,2100299473.000
Asia,1971,1000 persons,2149856774.000
Asia,1972,1000 persons,2199064117.000
Asia,1973,1000 persons,2249111388.000
Asia,1974,1000 persons,2298469585.000
Asia,1975,1000 persons,2345879669.000
Asia,1976,1000 persons,2392154429.000
Asia,1977,1000 persons,2438287757.000
Asia,1978,1000 persons,2484124521.000
Asia,1979,1000 persons,2531218640.00
Asia,1980,1000 persons,2580629613.000
Asia,1981,1000 persons,2632066497.000
Asia,1982,1000 persons,2685804855.000
Asia,1983,1000 persons,2739977227.000
Asia,1984,1000 persons,2794109101.000
Asia,1985,1000 persons,2849608153.000
Asia,1986,1000 persons,2906774891.000
Asia,1987,1000 persons,2965751024.000
Asia,1988,1000 persons,3024984317.000
Asia,1989,1000 persons,3084208347.000
Asia,1990,1000 persons,3143997531.000
Asia,1991,1000 persons,3201472658.000
Asia,1992,1000 persons,3325187721.000
Asia,1993,1000 persons,3379061304.000
Asia,1994,1000 persons,3432015230.00
Asia,1995,1000 persons,3484178997.000
Asia,1996,1000 persons,3535423903.000
Asia,1997,1000 persons,3586095561.000
Asia,1998,1000 persons,3636357351.000
Asia,1999,1000 persons,3686164147.000
Asia,2000,1000 persons,3736037841.000
Asia,2001,1000 persons,3786179783.000
Asia,2002,1000 persons,3835669462.000
Asia,2003,1000 persons,3884310945.000
Asia,2004,1000 persons,3932421014.000
Asia,2005,1000 persons,3980365940.00
Asia,2006,1000 persons,4028347032.000
Asia,2007,1000 persons,4076071753.000
Asia,2008,1000 persons,4123883051.000
Asia,2009,1000 persons,4172450404.000
Asia,2010,1000 persons,4221171013.000
Asia,2011,1000 persons,4269623981.000
Asia,2012,1000 persons,4318321902.000
Asia,2013,1000 persons,4366453710.00
Asia,2014,1000 persons,4413673350.00
Asia,2015,1000 persons,4459437462.000
Asia,2016,1000 persons,4504153487.000
Asia,2017,1000 persons,4548303450.00
Asia,2018,1000 persons,4590021498.000
Asia,2019,1000 persons,4628967397.000
Asia,2020,1000 persons,4664324072.000
Asia,2021,1000 persons,4694576163.000
Europe,1950,1000 persons,575177675.000
Europe,1951,1000 persons,580670485.000
Europe,1952,1000 persons,586398235.000
Europe,1953,1000 persons,592550644.000
Europe,1954,1000 persons,598899193.000
Europe,1955,1000 persons,605311962.000
Europe,1956,1000 persons,611812858.000
Europe,1957,1000 persons,618435080.00
Europe,1958,1000 persons,625332487.000
Europe,1959,1000 persons,632348344.000
Europe,1960,1000 persons,639359162.000
Europe,1961,1000 persons,646566089.000
Europe,1962,1000 persons,653695328.000
Europe,1963,1000 persons,660543606.000
Europe,1964,1000 persons,667336767.000
Europe,1965,1000 persons,673836355.000
Europe,1966,1000 persons,680004583.000
Europe,1967,1000 persons,686021462.000
Europe,1968,1000 persons,691676297.000
Europe,1969,1000 persons,696937961.000
Europe,1970,1000 persons,701769046.000
Europe,1971,1000 persons,706687198.000
Europe,1972,1000 persons,711960106.000
Europe,1973,1000 persons,717041992.000
Europe,1974,1000 persons,722038475.000
Europe,1975,1000 persons,726911999.000
Europe,1976,1000 persons,731537029.000
Europe,1977,1000 persons,736089562.000
Europe,1978,1000 persons,740472532.000
Europe,1979,1000 persons,744657252.000
Europe,1980,1000 persons,748821169.000
Europe,1981,1000 persons,752842698.000
Europe,1982,1000 persons,756705102.000
Europe,1983,1000 persons,760626314.000
Europe,1984,1000 persons,764579112.000
Europe,1985,1000 persons,768496042.000
Europe,1986,1000 persons,772648195.000
Europe,1987,1000 persons,777093681.000
Europe,1988,1000 persons,781450938.000
Europe,1989,1000 persons,785379760.00
Europe,1990,1000 persons,788851829.000
Europe,1991,1000 persons,791983181.000
Europe,1992,1000 persons,725259491.000
Europe,1993,1000 persons,726441897.000
Europe,1994,1000 persons,727063159.000
Europe,1995,1000 persons,727300410.00
Europe,1996,1000 persons,727453565.000
Europe,1997,1000 persons,727566482.000
Europe,1998,1000 persons,727445607.000
Europe,1999,1000 persons,727100016.000
Europe,2000,1000 persons,726968472.000
Europe,2001,1000 persons,726878371.000
Europe,2002,1000 persons,726939359.000
Europe,2003,1000 persons,727424985.000
Europe,2004,1000 persons,728163243.000
Europe,2005,1000 persons,728950486.000
Europe,2006,1000 persons,729857709.000
Europe,2007,1000 persons,731393138.000
Europe,2008,1000 persons,733256179.000
Europe,2009,1000 persons,734902803.000
Europe,2010,1000 persons,736276813.000
Europe,2011,1000 persons,737589669.000
Europe,2012,1000 persons,738907598.000
Europe,2013,1000 persons,740013807.000
Europe,2014,1000 persons,741014145.000
Europe,2015,1000 persons,742107450.00
Europe,2016,1000 persons,743318586.000
Europe,2017,1000 persons,744449362.000
Europe,2018,1000 persons,745359133.000
Europe,2019,1000 persons,746189647.000
Europe,2020,1000 persons,746225359.000
Europe,2021,1000 persons,745173770.00
Oceania,1950,1000 persons,12577614.000
Oceania,1951,1000 persons,12909938.000
Oceania,1952,1000 persons,13223870.00
Oceania,1953,1000 persons,13521603.000
Oceania,1954,1000 persons,13818797.000
Oceania,1955,1000 persons,14139684.000
Oceania,1956,1000 persons,14479259.000
Oceania,1957,1000 persons,14820530.00
Oceania,1958,1000 persons,15161740.00
Oceania,1959,1000 persons,15506332.000
Oceania,1960,1000 persons,15859369.000
Oceania,1961,1000 persons,16213467.000
Oceania,1962,1000 persons,16556691.000
Oceania,1963,1000 persons,16899479.000
Oceania,1964,1000 persons,17248331.000
Oceania,1965,1000 persons,17609083.000
Oceania,1966,1000 persons,17975668.000
Oceania,1967,1000 persons,18320278.000
Oceania,1968,1000 persons,18657607.000
Oceania,1969,1000 persons,19020170.00
Oceania,1970,1000 persons,19480270.00
Oceania,1971,1000 persons,20022646.000
Oceania,1972,1000 persons,20480651.000
Oceania,1973,1000 persons,20852374.000
Oceania,1974,1000 persons,21212949.000
Oceania,1975,1000 persons,21537412.000
Oceania,1976,1000 persons,21820381.000
Oceania,1977,1000 persons,22089514.000
Oceania,1978,1000 persons,22355638.000
Oceania,1979,1000 persons,22623044.000
Oceania,1980,1000 persons,22920240.00
Oceania,1981,1000 persons,23268481.000
Oceania,1982,1000 persons,23646051.000
Oceania,1983,1000 persons,24011054.000
Oceania,1984,1000 persons,24357389.000
Oceania,1985,1000 persons,24704546.000
Oceania,1986,1000 persons,25069187.000
Oceania,1987,1000 persons,25459312.000
Oceania,1988,1000 persons,25868246.000
Oceania,1989,1000 persons,26285786.000
Oceania,1990,1000 persons,26743822.000
Oceania,1991,1000 persons,27214098.000
Oceania,1992,1000 persons,27637106.000
Oceania,1993,1000 persons,28038401.000
Oceania,1994,1000 persons,28454918.000
Oceania,1995,1000 persons,28905123.000
Oceania,1996,1000 persons,29378687.000
Oceania,1997,1000 persons,29846362.000
Oceania,1998,1000 persons,30299186.000
Oceania,1999,1000 persons,30753172.000
Oceania,2000,1000 persons,31222778.000
Oceania,2001,1000 persons,31714603.000
Oceania,2002,1000 persons,32230004.000
Oceania,2003,1000 persons,32756470.00
Oceania,2004,1000 persons,33278445.000
Oceania,2005,1000 persons,33813026.000
Oceania,2006,1000 persons,34395530.00
Oceania,2007,1000 persons,35043843.000
Oceania,2008,1000 persons,35744785.000
Oceania,2009,1000 persons,36448274.000
Oceania,2010,1000 persons,37102764.000
Oceania,2011,1000 persons,37730133.000
Oceania,2012,1000 persons,38383409.000
Oceania,2013,1000 persons,39057445.000
Oceania,2014,1000 persons,39728972.000
Oceania,2015,1000 persons,40403283.000
Oceania,2016,1000 persons,41100875.000
Oceania,2017,1000 persons,41816928.000
Oceania,2018,1000 persons,42539678.000
Oceania,2019,1000 persons,43278151.000
Oceania,2020,1000 persons,43933426.000
Oceania,2021,1000 persons,44491724.000
