Domain,Area,Element,Item,Year,Unit,Value
"Food Balances (old methodology and population)","World","Food supply (kcal/capita/day)","Animal Products","1967","kcal/capita/day","364"
"Food Balances (old methodology and population)","World","Food supply (kcal/capita/day)","Animal Products","1968","kcal/capita/day","369"
"Food Balances (old methodology and population)","World","Food supply (kcal/capita/day)","Animal Products","1969","kcal/capita/day","366"
"Food Balances (old methodology and population)","World","Food supply (kcal/capita/day)","Animal Products","1970","kcal/capita/day","366"
"Food Balances (old methodology and population)","World","Food supply (kcal/capita/day)","Animal Products","1971","kcal/capita/day","369"
"Food Balances (old methodology and population)","World","Food supply (kcal/capita/day)","Animal Products","1972","kcal/capita/day","371"
"Food Balances (old methodology and population)","World","Food supply (kcal/capita/day)","Animal Products","1973","kcal/capita/day","365"
"Food Balances (old methodology and population)","World","Food supply (kcal/capita/day)","Animal Products","1974","kcal/capita/day","370"
"Food Balances (old methodology and population)","World","Food supply (kcal/capita/day)","Animal Products","1975","kcal/capita/day","369"
"Food Balances (old methodology and population)","World","Food supply (kcal/capita/day)","Animal Products","1976","kcal/capita/day","373"
"Food Balances (old methodology and population)","World","Food supply (kcal/capita/day)","Animal Products","1977","kcal/capita/day","372"
"Food Balances (old methodology and population)","World","Food supply (kcal/capita/day)","Animal Products","1978","kcal/capita/day","378"
"Food Balances (old methodology and population)","World","Food supply (kcal/capita/day)","Animal Products","1979","kcal/capita/day","386"
"Food Balances (old methodology and population)","World","Food supply (kcal/capita/day)","Animal Products","1980","kcal/capita/day","389"
"Food Balances (old methodology and population)","World","Food supply (kcal/capita/day)","Animal Products","1981","kcal/capita/day","388"
"Food Balances (old methodology and population)","World","Food supply (kcal/capita/day)","Animal Products","1982","kcal/capita/day","386"
"Food Balances (old methodology and population)","World","Food supply (kcal/capita/day)","Animal Products","1983","kcal/capita/day","392"
"Food Balances (old methodology and population)","World","Food supply (kcal/capita/day)","Animal Products","1984","kcal/capita/day","397"
"Food Balances (old methodology and population)","World","Food supply (kcal/capita/day)","Animal Products","1985","kcal/capita/day","407"
"Food Balances (old methodology and population)","World","Food supply (kcal/capita/day)","Animal Products","1986","kcal/capita/day","405"
"Food Balances (old methodology and population)","World","Food supply (kcal/capita/day)","Animal Products","1987","kcal/capita/day","408"
"Food Balances (old methodology and population)","World","Food supply (kcal/capita/day)","Animal Products","1988","kcal/capita/day","411"
"Food Balances (old methodology and population)","World","Food supply (kcal/capita/day)","Animal Products","1989","kcal/capita/day","413"
"Food Balances (old methodology and population)","World","Food supply (kcal/capita/day)","Animal Products","1990","kcal/capita/day","414"
"Food Balances (old methodology and population)","World","Food supply (kcal/capita/day)","Animal Products","1991","kcal/capita/day","410"
"Food Balances (old methodology and population)","World","Food supply (kcal/capita/day)","Animal Products","1992","kcal/capita/day","410"
"Food Balances (old methodology and population)","World","Food supply (kcal/capita/day)","Animal Products","1993","kcal/capita/day","412"
"Food Balances (old methodology and population)","World","Food supply (kcal/capita/day)","Animal Products","1994","kcal/capita/day","421"
"Food Balances (old methodology and population)","World","Food supply (kcal/capita/day)","Animal Products","1995","kcal/capita/day","428"
"Food Balances (old methodology and population)","World","Food supply (kcal/capita/day)","Animal Products","1996","kcal/capita/day","427"
"Food Balances (old methodology and population)","World","Food supply (kcal/capita/day)","Animal Products","1997","kcal/capita/day","430"
"Food Balances (old methodology and population)","World","Food supply (kcal/capita/day)","Animal Products","1998","kcal/capita/day","439"
"Food Balances (old methodology and population)","World","Food supply (kcal/capita/day)","Animal Products","1999","kcal/capita/day","445"
"Food Balances (old methodology and population)","World","Food supply (kcal/capita/day)","Animal Products","2000","kcal/capita/day","450"
"Food Balances (old methodology and population)","World","Food supply (kcal/capita/day)","Animal Products","2001","kcal/capita/day","448"
"Food Balances (old methodology and population)","World","Food supply (kcal/capita/day)","Animal Products","2002","kcal/capita/day","455"
"Food Balances (old methodology and population)","World","Food supply (kcal/capita/day)","Animal Products","2003","kcal/capita/day","461"
"Food Balances (old methodology and population)","World","Food supply (kcal/capita/day)","Animal Products","2004","kcal/capita/day","464"
"Food Balances (old methodology and population)","World","Food supply (kcal/capita/day)","Animal Products","2005","kcal/capita/day","470"
"Food Balances (old methodology and population)","World","Food supply (kcal/capita/day)","Animal Products","2006","kcal/capita/day","479"
"Food Balances (old methodology and population)","World","Food supply (kcal/capita/day)","Animal Products","2007","kcal/capita/day","488"
"Food Balances (old methodology and population)","World","Food supply (kcal/capita/day)","Animal Products","2008","kcal/capita/day","494"
"Food Balances (old methodology and population)","World","Food supply (kcal/capita/day)","Animal Products","2009","kcal/capita/day","497"
"Food Balances (old methodology and population)","World","Food supply (kcal/capita/day)","Animal Products","2010","kcal/capita/day","504"
"Food Balances (old methodology and population)","World","Food supply (kcal/capita/day)","Animal Products","2011","kcal/capita/day","507"
"Food Balances (old methodology and population)","World","Food supply (kcal/capita/day)","Animal Products","2012","kcal/capita/day","513"
"Food Balances (old methodology and population)","World","Food supply (kcal/capita/day)","Animal Products","2013","kcal/capita/day","514"
"Food Balances (old methodology and population)","World","Food supply (kcal/capita/day)","Cereals - Excluding Beer","1961","kcal/capita/day","1086"
"Food Balances (old methodology and population)","World","Food supply (kcal/capita/day)","Cereals - Excluding Beer","1962","kcal/capita/day","1118"
"Food Balances (old methodology and population)","World","Food supply (kcal/capita/day)","Cereals - Excluding Beer","1963","kcal/capita/day","1126"
"Food Balances (old methodology and population)","World","Food supply (kcal/capita/day)","Cereals - Excluding Beer","1964","kcal/capita/day","1153"
"Food Balances (old methodology and population)","World","Food supply (kcal/capita/day)","Cereals - Excluding Beer","1965","kcal/capita/day","1148"
"Food Balances (old methodology and population)","World","Food supply (kcal/capita/day)","Cereals - Excluding Beer","1966","kcal/capita/day","1159"
"Food Balances (old methodology and population)","World","Food supply (kcal/capita/day)","Cereals - Excluding Beer","1967","kcal/capita/day","1163"
"Food Balances (old methodology and population)","World","Food supply (kcal/capita/day)","Cereals - Excluding Beer","1968","kcal/capita/day","1154"
"Food Balances (old methodology and population)","World","Food supply (kcal/capita/day)","Cereals - Excluding Beer","1969","kcal/capita/day","1159"
"Food Balances (old methodology and population)","World","Food supply (kcal/capita/day)","Cereals - Excluding Beer","1970","kcal/capita/day","1189"
"Food Balances (old methodology and population)","World","Food supply (kcal/capita/day)","Cereals - Excluding Beer","1971","kcal/capita/day","1168"
"Food Balances (old methodology and population)","World","Food supply (kcal/capita/day)","Cereals - Excluding Beer","1972","kcal/capita/day","1168"
"Food Balances (old methodology and population)","World","Food supply (kcal/capita/day)","Cereals - Excluding Beer","1973","kcal/capita/day","1192"
"Food Balances (old methodology and population)","World","Food supply (kcal/capita/day)","Cereals - Excluding Beer","1974","kcal/capita/day","1180"
"Food Balances (old methodology and population)","World","Food supply (kcal/capita/day)","Cereals - Excluding Beer","1975","kcal/capita/day","1201"
"Food Balances (old methodology and population)","World","Food supply (kcal/capita/day)","Cereals - Excluding Beer","1976","kcal/capita/day","1183"
"Food Balances (old methodology and population)","World","Food supply (kcal/capita/day)","Cereals - Excluding Beer","1977","kcal/capita/day","1202"
"Food Balances (old methodology and population)","World","Food supply (kcal/capita/day)","Cereals - Excluding Beer","1978","kcal/capita/day","1239"
"Food Balances (old methodology and population)","World","Food supply (kcal/capita/day)","Cereals - Excluding Beer","1979","kcal/capita/day","1235"
"Food Balances (old methodology and population)","World","Food supply (kcal/capita/day)","Cereals - Excluding Beer","1980","kcal/capita/day","1246"
"Food Balances (old methodology and population)","World","Food supply (kcal/capita/day)","Cereals - Excluding Beer","1981","kcal/capita/day","1255"
"Food Balances (old methodology and population)","World","Food supply (kcal/capita/day)","Cereals - Excluding Beer","1982","kcal/capita/day","1277"
"Food Balances (old methodology and population)","World","Food supply (kcal/capita/day)","Cereals - Excluding Beer","1983","kcal/capita/day","1317"
"Food Balances (old methodology and population)","World","Food supply (kcal/capita/day)","Cereals - Excluding Beer","1984","kcal/capita/day","1310"
"Food Balances (old methodology and population)","World","Food supply (kcal/capita/day)","Cereals - Excluding Beer","1985","kcal/capita/day","1309"
"Food Balances (old methodology and population)","World","Food supply (kcal/capita/day)","Cereals - Excluding Beer","1986","kcal/capita/day","1309"
"Food Balances (old methodology and population)","World","Food supply (kcal/capita/day)","Cereals - Excluding Beer","1987","kcal/capita/day","1318"
"Food Balances (old methodology and population)","World","Food supply (kcal/capita/day)","Cereals - Excluding Beer","1988","kcal/capita/day","1329"
"Food Balances (old methodology and population)","World","Food supply (kcal/capita/day)","Cereals - Excluding Beer","1989","kcal/capita/day","1335"
"Food Balances (old methodology and population)","World","Food supply (kcal/capita/day)","Cereals - Excluding Beer","1990","kcal/capita/day","1315"
"Food Balances (old methodology and population)","World","Food supply (kcal/capita/day)","Cereals - Excluding Beer","1991","kcal/capita/day","1307"
"Food Balances (old methodology and population)","World","Food supply (kcal/capita/day)","Cereals - Excluding Beer","1992","kcal/capita/day","1316"
"Food Balances (old methodology and population)","World","Food supply (kcal/capita/day)","Cereals - Excluding Beer","1993","kcal/capita/day","1318"
"Food Balances (old methodology and population)","World","Food supply (kcal/capita/day)","Cereals - Excluding Beer","1994","kcal/capita/day","1320"
"Food Balances (old methodology and population)","World","Food supply (kcal/capita/day)","Cereals - Excluding Beer","1995","kcal/capita/day","1320"
"Food Balances (old methodology and population)","World","Food supply (kcal/capita/day)","Cereals - Excluding Beer","1996","kcal/capita/day","1328"
"Food Balances (old methodology and population)","World","Food supply (kcal/capita/day)","Cereals - Excluding Beer","1997","kcal/capita/day","1320"
"Food Balances (old methodology and population)","World","Food supply (kcal/capita/day)","Cereals - Excluding Beer","1998","kcal/capita/day","1325"
"Food Balances (old methodology and population)","World","Food supply (kcal/capita/day)","Cereals - Excluding Beer","1999","kcal/capita/day","1325"
"Food Balances (old methodology and population)","World","Food supply (kcal/capita/day)","Cereals - Excluding Beer","2000","kcal/capita/day","1317"
"Food Balances (old methodology and population)","World","Food supply (kcal/capita/day)","Cereals - Excluding Beer","2001","kcal/capita/day","1308"
"Food Balances (old methodology and population)","World","Food supply (kcal/capita/day)","Cereals - Excluding Beer","2002","kcal/capita/day","1297"
"Food Balances (old methodology and population)","World","Food supply (kcal/capita/day)","Cereals - Excluding Beer","2003","kcal/capita/day","1291"
"Food Balances (old methodology and population)","World","Food supply (kcal/capita/day)","Cereals - Excluding Beer","2004","kcal/capita/day","1290"
"Food Balances (old methodology and population)","World","Food supply (kcal/capita/day)","Cereals - Excluding Beer","2005","kcal/capita/day","1286"
"Food Balances (old methodology and population)","World","Food supply (kcal/capita/day)","Cereals - Excluding Beer","2006","kcal/capita/day","1289"
"Food Balances (old methodology and population)","World","Food supply (kcal/capita/day)","Cereals - Excluding Beer","2007","kcal/capita/day","1288"
"Food Balances (old methodology and population)","World","Food supply (kcal/capita/day)","Cereals - Excluding Beer","2008","kcal/capita/day","1296"
"Food Balances (old methodology and population)","World","Food supply (kcal/capita/day)","Cereals - Excluding Beer","2009","kcal/capita/day","1289"
"Food Balances (old methodology and population)","World","Food supply (kcal/capita/day)","Cereals - Excluding Beer","2010","kcal/capita/day","1298"
"Food Balances (old methodology and population)","World","Food supply (kcal/capita/day)","Cereals - Excluding Beer","2011","kcal/capita/day","1297"
"Food Balances (old methodology and population)","World","Food supply (kcal/capita/day)","Cereals - Excluding Beer","2012","kcal/capita/day","1287"
"Food Balances (old methodology and population)","World","Food supply (kcal/capita/day)","Cereals - Excluding Beer","2013","kcal/capita/day","1292"
"Food Balances (old methodology and population)","World","Food supply (kcal/capita/day)","Starchy Roots","1961","kcal/capita/day","175"
"Food Balances (old methodology and population)","World","Food supply (kcal/capita/day)","Starchy Roots","1962","kcal/capita/day","174"
"Food Balances (old methodology and population)","World","Food supply (kcal/capita/day)","Starchy Roots","1963","kcal/capita/day","166"
"Food Balances (old methodology and population)","World","Food supply (kcal/capita/day)","Starchy Roots","1964","kcal/capita/day","162"
"Food Balances (old methodology and population)","World","Food supply (kcal/capita/day)","Starchy Roots","1965","kcal/capita/day","174"
"Food Balances (old methodology and population)","World","Food supply (kcal/capita/day)","Starchy Roots","1966","kcal/capita/day","177"
"Food Balances (old methodology and population)","World","Food supply (kcal/capita/day)","Starchy Roots","1967","kcal/capita/day","173"
"Food Balances (old methodology and population)","World","Food supply (kcal/capita/day)","Starchy Roots","1968","kcal/capita/day","172"
"Food Balances (old methodology and population)","World","Food supply (kcal/capita/day)","Starchy Roots","1969","kcal/capita/day","176"
"Food Balances (old methodology and population)","World","Food supply (kcal/capita/day)","Starchy Roots","1970","kcal/capita/day","177"
"Food Balances (old methodology and population)","World","Food supply (kcal/capita/day)","Starchy Roots","1971","kcal/capita/day","169"
"Food Balances (old methodology and population)","World","Food supply (kcal/capita/day)","Starchy Roots","1972","kcal/capita/day","163"
"Food Balances (old methodology and population)","World","Food supply (kcal/capita/day)","Starchy Roots","1973","kcal/capita/day","173"
"Food Balances (old methodology and population)","World","Food supply (kcal/capita/day)","Starchy Roots","1974","kcal/capita/day","170"
"Food Balances (old methodology and population)","World","Food supply (kcal/capita/day)","Starchy Roots","1975","kcal/capita/day","167"
"Food Balances (old methodology and population)","World","Food supply (kcal/capita/day)","Starchy Roots","1976","kcal/capita/day","159"
"Food Balances (old methodology and population)","World","Food supply (kcal/capita/day)","Starchy Roots","1977","kcal/capita/day","163"
"Food Balances (old methodology and population)","World","Food supply (kcal/capita/day)","Starchy Roots","1978","kcal/capita/day","164"
"Food Balances (old methodology and population)","World","Food supply (kcal/capita/day)","Starchy Roots","1979","kcal/capita/day","153"
"Food Balances (old methodology and population)","World","Food supply (kcal/capita/day)","Starchy Roots","1980","kcal/capita/day","149"
"Food Balances (old methodology and population)","World","Food supply (kcal/capita/day)","Starchy Roots","1981","kcal/capita/day","143"
"Food Balances (old methodology and population)","World","Food supply (kcal/capita/day)","Starchy Roots","1982","kcal/capita/day","143"
"Food Balances (old methodology and population)","World","Food supply (kcal/capita/day)","Starchy Roots","1983","kcal/capita/day","141"
"Food Balances (old methodology and population)","World","Food supply (kcal/capita/day)","Starchy Roots","1984","kcal/capita/day","139"
"Food Balances (old methodology and population)","World","Food supply (kcal/capita/day)","Starchy Roots","1985","kcal/capita/day","130"
"Food Balances (old methodology and population)","World","Food supply (kcal/capita/day)","Starchy Roots","1986","kcal/capita/day","128"
"Food Balances (old methodology and population)","World","Food supply (kcal/capita/day)","Starchy Roots","1987","kcal/capita/day","129"
"Food Balances (old methodology and population)","World","Food supply (kcal/capita/day)","Starchy Roots","1988","kcal/capita/day","126"
"Food Balances (old methodology and population)","World","Food supply (kcal/capita/day)","Starchy Roots","1989","kcal/capita/day","124"
"Food Balances (old methodology and population)","World","Food supply (kcal/capita/day)","Starchy Roots","1990","kcal/capita/day","129"
"Food Balances (old methodology and population)","World","Food supply (kcal/capita/day)","Starchy Roots","1991","kcal/capita/day","128"
"Food Balances (old methodology and population)","World","Food supply (kcal/capita/day)","Starchy Roots","1992","kcal/capita/day","131"
"Food Balances (old methodology and population)","World","Food supply (kcal/capita/day)","Starchy Roots","1993","kcal/capita/day","134"
"Food Balances (old methodology and population)","World","Food supply (kcal/capita/day)","Starchy Roots","1994","kcal/capita/day","131"
"Food Balances (old methodology and population)","World","Food supply (kcal/capita/day)","Starchy Roots","1995","kcal/capita/day","134"
"Food Balances (old methodology and population)","World","Food supply (kcal/capita/day)","Starchy Roots","1996","kcal/capita/day","130"
"Food Balances (old methodology and population)","World","Food supply (kcal/capita/day)","Starchy Roots","1997","kcal/capita/day","133"
"Food Balances (old methodology and population)","World","Food supply (kcal/capita/day)","Starchy Roots","1998","kcal/capita/day","134"
"Food Balances (old methodology and population)","World","Food supply (kcal/capita/day)","Starchy Roots","1999","kcal/capita/day","137"
"Food Balances (old methodology and population)","World","Food supply (kcal/capita/day)","Starchy Roots","2000","kcal/capita/day","139"
"Food Balances (old methodology and population)","World","Food supply (kcal/capita/day)","Starchy Roots","2001","kcal/capita/day","138"
"Food Balances (old methodology and population)","World","Food supply (kcal/capita/day)","Starchy Roots","2002","kcal/capita/day","138"
"Food Balances (old methodology and population)","World","Food supply (kcal/capita/day)","Starchy Roots","2003","kcal/capita/day","137"
"Food Balances (old methodology and population)","World","Food supply (kcal/capita/day)","Starchy Roots","2004","kcal/capita/day","140"
"Food Balances (old methodology and population)","World","Food supply (kcal/capita/day)","Starchy Roots","2005","kcal/capita/day","140"
"Food Balances (old methodology and population)","World","Food supply (kcal/capita/day)","Starchy Roots","2006","kcal/capita/day","134"
"Food Balances (old methodology and population)","World","Food supply (kcal/capita/day)","Starchy Roots","2007","kcal/capita/day","133"
"Food Balances (old methodology and population)","World","Food supply (kcal/capita/day)","Starchy Roots","2008","kcal/capita/day","137"
"Food Balances (old methodology and population)","World","Food supply (kcal/capita/day)","Starchy Roots","2009","kcal/capita/day","136"
"Food Balances (old methodology and population)","World","Food supply (kcal/capita/day)","Starchy Roots","2010","kcal/capita/day","137"
"Food Balances (old methodology and population)","World","Food supply (kcal/capita/day)","Starchy Roots","2011","kcal/capita/day","140"
"Food Balances (old methodology and population)","World","Food supply (kcal/capita/day)","Starchy Roots","2012","kcal/capita/day","142"
"Food Balances (old methodology and population)","World","Food supply (kcal/capita/day)","Starchy Roots","2013","kcal/capita/day","141"
"Food Balances (old methodology and population)","World","Food supply (kcal/capita/day)","Treenuts","1961","kcal/capita/day","6"
"Food Balances (old methodology and population)","World","Food supply (kcal/capita/day)","Treenuts","1962","kcal/capita/day","6"
"Food Balances (old methodology and population)","World","Food supply (kcal/capita/day)","Treenuts","1963","kcal/capita/day","6"
"Food Balances (old methodology and population)","World","Food supply (kcal/capita/day)","Treenuts","1964","kcal/capita/day","6"
"Food Balances (old methodology and population)","World","Food supply (kcal/capita/day)","Treenuts","1965","kcal/capita/day","6"
"Food Balances (old methodology and population)","World","Food supply (kcal/capita/day)","Treenuts","1966","kcal/capita/day","6"
"Food Balances (old methodology and population)","World","Food supply (kcal/capita/day)","Treenuts","1967","kcal/capita/day","6"
"Food Balances (old methodology and population)","World","Food supply (kcal/capita/day)","Treenuts","1968","kcal/capita/day","6"
"Food Balances (old methodology and population)","World","Food supply (kcal/capita/day)","Treenuts","1969","kcal/capita/day","6"
"Food Balances (old methodology and population)","World","Food supply (kcal/capita/day)","Treenuts","1970","kcal/capita/day","6"
"Food Balances (old methodology and population)","World","Food supply (kcal/capita/day)","Treenuts","1971","kcal/capita/day","6"
"Food Balances (old methodology and population)","World","Food supply (kcal/capita/day)","Treenuts","1972","kcal/capita/day","6"
"Food Balances (old methodology and population)","World","Food supply (kcal/capita/day)","Treenuts","1973","kcal/capita/day","6"
"Food Balances (old methodology and population)","World","Food supply (kcal/capita/day)","Treenuts","1974","kcal/capita/day","6"
"Food Balances (old methodology and population)","World","Food supply (kcal/capita/day)","Treenuts","1975","kcal/capita/day","6"
"Food Balances (old methodology and population)","World","Food supply (kcal/capita/day)","Treenuts","1976","kcal/capita/day","6"
"Food Balances (old methodology and population)","World","Food supply (kcal/capita/day)","Treenuts","1977","kcal/capita/day","6"
"Food Balances (old methodology and population)","World","Food supply (kcal/capita/day)","Treenuts","1978","kcal/capita/day","6"
"Food Balances (old methodology and population)","World","Food supply (kcal/capita/day)","Treenuts","1979","kcal/capita/day","6"
"Food Balances (old methodology and population)","World","Food supply (kcal/capita/day)","Treenuts","1980","kcal/capita/day","6"
"Food Balances (old methodology and population)","World","Food supply (kcal/capita/day)","Treenuts","1981","kcal/capita/day","7"
"Food Balances (old methodology and population)","World","Food supply (kcal/capita/day)","Treenuts","1982","kcal/capita/day","7"
"Food Balances (old methodology and population)","World","Food supply (kcal/capita/day)","Treenuts","1983","kcal/capita/day","7"
"Food Balances (old methodology and population)","World","Food supply (kcal/capita/day)","Treenuts","1984","kcal/capita/day","7"
"Food Balances (old methodology and population)","World","Food supply (kcal/capita/day)","Treenuts","1985","kcal/capita/day","7"
"Food Balances (old methodology and population)","World","Food supply (kcal/capita/day)","Treenuts","1986","kcal/capita/day","6"
"Food Balances (old methodology and population)","World","Food supply (kcal/capita/day)","Treenuts","1987","kcal/capita/day","7"
"Food Balances (old methodology and population)","World","Food supply (kcal/capita/day)","Treenuts","1988","kcal/capita/day","7"
"Food Balances (old methodology and population)","World","Food supply (kcal/capita/day)","Treenuts","1989","kcal/capita/day","7"
"Food Balances (old methodology and population)","World","Food supply (kcal/capita/day)","Treenuts","1990","kcal/capita/day","7"
"Food Balances (old methodology and population)","World","Food supply (kcal/capita/day)","Treenuts","1991","kcal/capita/day","8"
"Food Balances (old methodology and population)","World","Food supply (kcal/capita/day)","Treenuts","1992","kcal/capita/day","8"
"Food Balances (old methodology and population)","World","Food supply (kcal/capita/day)","Treenuts","1993","kcal/capita/day","8"
"Food Balances (old methodology and population)","World","Food supply (kcal/capita/day)","Treenuts","1994","kcal/capita/day","8"
"Food Balances (old methodology and population)","World","Food supply (kcal/capita/day)","Treenuts","1995","kcal/capita/day","8"
"Food Balances (old methodology and population)","World","Food supply (kcal/capita/day)","Treenuts","1996","kcal/capita/day","9"
"Food Balances (old methodology and population)","World","Food supply (kcal/capita/day)","Treenuts","1997","kcal/capita/day","9"
"Food Balances (old methodology and population)","World","Food supply (kcal/capita/day)","Treenuts","1998","kcal/capita/day","9"
"Food Balances (old methodology and population)","World","Food supply (kcal/capita/day)","Treenuts","1999","kcal/capita/day","9"
"Food Balances (old methodology and population)","World","Food supply (kcal/capita/day)","Treenuts","2000","kcal/capita/day","10"
