Year,Reported value,Temperature anomaly (K)
1892,"low. bound, 95% CI bias unc.",-0.195
1893,"low. bound, 95% CI bias unc.",-0.232
1894,"low. bound, 95% CI bias unc.",-0.225
1895,"low. bound, 95% CI bias unc.",-0.155
1896,"low. bound, 95% CI bias unc.",-0.03
1897,"low. bound, 95% CI bias unc.",-0.032
1898,"low. bound, 95% CI bias unc.",-0.194
1899,"low. bound, 95% CI bias unc.",-0.101
1900,"low. bound, 95% CI bias unc.",0.007
1901,"low. bound, 95% CI bias unc.",-0.06
1902,"low. bound, 95% CI bias unc.",-0.182
1903,"low. bound, 95% CI bias unc.",-0.277
1904,"low. bound, 95% CI bias unc.",-0.374
1905,"low. bound, 95% CI bias unc.",-0.175
1906,"low. bound, 95% CI bias unc.",-0.133
1907,"low. bound, 95% CI bias unc.",-0.295
1908,"low. bound, 95% CI bias unc.",-0.333
1909,"low. bound, 95% CI bias unc.",-0.398
1910,"low. bound, 95% CI bias unc.",-0.336
1911,"low. bound, 95% CI bias unc.",-0.352
1912,"low. bound, 95% CI bias unc.",-0.27
1913,"low. bound, 95% CI bias unc.",-0.254
1914,"low. bound, 95% CI bias unc.",-0.063
1915,"low. bound, 95% CI bias unc.",-0.058
1916,"low. bound, 95% CI bias unc.",-0.273
1917,"low. bound, 95% CI bias unc.",-0.393
1918,"low. bound, 95% CI bias unc.",-0.211
1919,"low. bound, 95% CI bias unc.",-0.191
1920,"low. bound, 95% CI bias unc.",-0.182
1921,"low. bound, 95% CI bias unc.",-0.103
1922,"low. bound, 95% CI bias unc.",-0.189
1923,"low. bound, 95% CI bias unc.",-0.165
1924,"low. bound, 95% CI bias unc.",-0.18
1925,"low. bound, 95% CI bias unc.",-0.132
1926,"low. bound, 95% CI bias unc.",-0.009
1927,"low. bound, 95% CI bias unc.",-0.131
1928,"low. bound, 95% CI bias unc.",-0.115
1929,"low. bound, 95% CI bias unc.",-0.282
1930,"low. bound, 95% CI bias unc.",-0.074
1931,"low. bound, 95% CI bias unc.",-0.007
1932,"low. bound, 95% CI bias unc.",-0.074
1933,"low. bound, 95% CI bias unc.",-0.2
1934,"low. bound, 95% CI bias unc.",-0.039
1935,"low. bound, 95% CI bias unc.",-0.11
1936,"low. bound, 95% CI bias unc.",-0.062
1937,"low. bound, 95% CI bias unc.",0.063
1938,"low. bound, 95% CI bias unc.",0.086
1939,"low. bound, 95% CI bias unc.",0.073
1940,"low. bound, 95% CI bias unc.",0.224
1941,"low. bound, 95% CI bias unc.",0.275
1942,"low. bound, 95% CI bias unc.",0.165
1943,"low. bound, 95% CI bias unc.",0.183
1944,"low. bound, 95% CI bias unc.",0.298
1945,"low. bound, 95% CI bias unc.",0.189
1946,"low. bound, 95% CI bias unc.",0.045
1947,"low. bound, 95% CI bias unc.",0.091
1948,"low. bound, 95% CI bias unc.",0.011
1949,"low. bound, 95% CI bias unc.",0.014
1950,"low. bound, 95% CI bias unc.",-0.035
1951,"low. bound, 95% CI bias unc.",0.065
1952,"low. bound, 95% CI bias unc.",0.143
1953,"low. bound, 95% CI bias unc.",0.215
1954,"low. bound, 95% CI bias unc.",0.005
1955,"low. bound, 95% CI bias unc.",-0.01
1956,"low. bound, 95% CI bias unc.",-0.063
1957,"low. bound, 95% CI bias unc.",0.182
1958,"low. bound, 95% CI bias unc.",0.195
1959,"low. bound, 95% CI bias unc.",0.166
1960,"low. bound, 95% CI bias unc.",0.115
1961,"low. bound, 95% CI bias unc.",0.195
1962,"low. bound, 95% CI bias unc.",0.163
1963,"low. bound, 95% CI bias unc.",0.187
1964,"low. bound, 95% CI bias unc.",-0.059
1965,"low. bound, 95% CI bias unc.",0.03
1966,"low. bound, 95% CI bias unc.",0.078
1967,"low. bound, 95% CI bias unc.",0.116
1968,"low. bound, 95% CI bias unc.",0.058
1969,"low. bound, 95% CI bias unc.",0.175
1970,"low. bound, 95% CI bias unc.",0.172
1971,"low. bound, 95% CI bias unc.",0.061
1972,"low. bound, 95% CI bias unc.",0.148
1973,"low. bound, 95% CI bias unc.",0.306
1974,"low. bound, 95% CI bias unc.",0.08
1975,"low. bound, 95% CI bias unc.",0.136
1976,"low. bound, 95% CI bias unc.",0.049
1977,"low. bound, 95% CI bias unc.",0.33
1978,"low. bound, 95% CI bias unc.",0.222
1979,"low. bound, 95% CI bias unc.",0.309
1980,"low. bound, 95% CI bias unc.",0.415
1981,"low. bound, 95% CI bias unc.",0.459
1982,"low. bound, 95% CI bias unc.",0.288
1983,"low. bound, 95% CI bias unc.",0.461
1984,"low. bound, 95% CI bias unc.",0.316
1985,"low. bound, 95% CI bias unc.",0.278
1986,"low. bound, 95% CI bias unc.",0.336
1987,"low. bound, 95% CI bias unc.",0.474
1988,"low. bound, 95% CI bias unc.",0.545
1989,"low. bound, 95% CI bias unc.",0.417
1990,"low. bound, 95% CI bias unc.",0.597
1991,"low. bound, 95% CI bias unc.",0.56
1992,"low. bound, 95% CI bias unc.",0.376
1993,"low. bound, 95% CI bias unc.",0.385
1994,"low. bound, 95% CI bias unc.",0.473
1995,"low. bound, 95% CI bias unc.",0.598
1996,"low. bound, 95% CI bias unc.",0.49
1997,"low. bound, 95% CI bias unc.",0.616
1998,"low. bound, 95% CI bias unc.",0.766
1999,"low. bound, 95% CI bias unc.",0.52
2000,"low. bound, 95% CI bias unc.",0.541
2001,"low. bound, 95% CI bias unc.",0.69
2002,"low. bound, 95% CI bias unc.",0.78
2003,"low. bound, 95% CI bias unc.",0.773
2004,"low. bound, 95% CI bias unc.",0.695
2005,"low. bound, 95% CI bias unc.",0.831
2006,"low. bound, 95% CI bias unc.",0.789
2007,"low. bound, 95% CI bias unc.",0.81
2008,"low. bound, 95% CI bias unc.",0.687
2009,"low. bound, 95% CI bias unc.",0.819
2010,"low. bound, 95% CI bias unc.",0.872
2011,"low. bound, 95% CI bias unc.",0.76
2012,"low. bound, 95% CI bias unc.",0.793
2013,"low. bound, 95% CI bias unc.",0.832
2014,"low. bound, 95% CI bias unc.",0.903
2015,"low. bound, 95% CI bias unc.",1.045
2016,"low. bound, 95% CI bias unc.",1.157
2017,"low. bound, 95% CI bias unc.",1.067
2018,"low. bound, 95% CI bias unc.",0.997
2019,"low. bound, 95% CI bias unc.",1.13
2020,"low. bound, 95% CI bias unc.",1.19
1880,"upp. bound, 95% CI bias unc.",0.179
1881,"upp. bound, 95% CI bias unc.",0.265
1882,"upp. bound, 95% CI bias unc.",0.238
1883,"upp. bound, 95% CI bias unc.",0.177
1884,"upp. bound, 95% CI bias unc.",0.072
1885,"upp. bound, 95% CI bias unc.",0.018
1886,"upp. bound, 95% CI bias unc.",0.041
1887,"upp. bound, 95% CI bias unc.",-0.013
1888,"upp. bound, 95% CI bias unc.",0.156
1889,"upp. bound, 95% CI bias unc.",0.226
1890,"upp. bound, 95% CI bias unc.",-0.026
1891,"upp. bound, 95% CI bias unc.",0.103
1892,"upp. bound, 95% CI bias unc.",0.056
1893,"upp. bound, 95% CI bias unc.",0.013
1894,"upp. bound, 95% CI bias unc.",0.026
1895,"upp. bound, 95% CI bias unc.",0.096
1896,"upp. bound, 95% CI bias unc.",0.211
1897,"upp. bound, 95% CI bias unc.",0.213
1898,"upp. bound, 95% CI bias unc.",0.055
1899,"upp. bound, 95% CI bias unc.",0.142
1900,"upp. bound, 95% CI bias unc.",0.234
1901,"upp. bound, 95% CI bias unc.",0.16
1902,"upp. bound, 95% CI bias unc.",0.043
1903,"upp. bound, 95% CI bias unc.",-0.042
1904,"upp. bound, 95% CI bias unc.",-0.145
1905,"upp. bound, 95% CI bias unc.",0.056
1906,"upp. bound, 95% CI bias unc.",0.094
1907,"upp. bound, 95% CI bias unc.",-0.064
1908,"upp. bound, 95% CI bias unc.",-0.106
1909,"upp. bound, 95% CI bias unc.",-0.161
1910,"upp. bound, 95% CI bias unc.",-0.123
1911,"upp. bound, 95% CI bias unc.",-0.127
1912,"upp. bound, 95% CI bias unc.",-0.049
1913,"upp. bound, 95% CI bias unc.",-0.025
1914,"upp. bound, 95% CI bias unc.",0.164
1915,"upp. bound, 95% CI bias unc.",0.179
1916,"upp. bound, 95% CI bias unc.",-0.026
1917,"upp. bound, 95% CI bias unc.",-0.126
1918,"upp. bound, 95% CI bias unc.",0.032
1919,"upp. bound, 95% CI bias unc.",0.052
1920,"upp. bound, 95% CI bias unc.",0.043
1921,"upp. bound, 95% CI bias unc.",0.124
1922,"upp. bound, 95% CI bias unc.",0.03
1923,"upp. bound, 95% CI bias unc.",0.046
1924,"upp. bound, 95% CI bias unc.",0.041
1925,"upp. bound, 95% CI bias unc.",0.093
1926,"upp. bound, 95% CI bias unc.",0.21
1927,"upp. bound, 95% CI bias unc.",0.092
1928,"upp. bound, 95% CI bias unc.",0.116
1929,"upp. bound, 95% CI bias unc.",-0.037
1930,"upp. bound, 95% CI bias unc.",0.155
1931,"upp. bound, 95% CI bias unc.",0.208
1932,"upp. bound, 95% CI bias unc.",0.155
1933,"upp. bound, 95% CI bias unc.",0.021
1934,"upp. bound, 95% CI bias unc.",0.18
1935,"upp. bound, 95% CI bias unc.",0.111
1936,"upp. bound, 95% CI bias unc.",0.163
1937,"upp. bound, 95% CI bias unc.",0.278
1938,"upp. bound, 95% CI bias unc.",0.315
1939,"upp. bound, 95% CI bias unc.",0.288
1940,"upp. bound, 95% CI bias unc.",0.437
1941,"upp. bound, 95% CI bias unc.",0.506
1942,"upp. bound, 95% CI bias unc.",0.376
1943,"upp. bound, 95% CI bias unc.",0.398
1944,"upp. bound, 95% CI bias unc.",0.503
1945,"upp. bound, 95% CI bias unc.",0.392
1946,"upp. bound, 95% CI bias unc.",0.216
1947,"upp. bound, 95% CI bias unc.",0.25
1948,"upp. bound, 95% CI bias unc.",0.17
1949,"upp. bound, 95% CI bias unc.",0.167
1950,"upp. bound, 95% CI bias unc.",0.096
1951,"upp. bound, 95% CI bias unc.",0.196
1952,"upp. bound, 95% CI bias unc.",0.278
1953,"upp. bound, 95% CI bias unc.",0.346
1954,"upp. bound, 95% CI bias unc.",0.135
1955,"upp. bound, 95% CI bias unc.",0.131
1956,"upp. bound, 95% CI bias unc.",0.083
1957,"upp. bound, 95% CI bias unc.",0.319
1958,"upp. bound, 95% CI bias unc.",0.326
1959,"upp. bound, 95% CI bias unc.",0.295
1960,"upp. bound, 95% CI bias unc.",0.246
1961,"upp. bound, 95% CI bias unc.",0.326
1962,"upp. bound, 95% CI bias unc.",0.297
1963,"upp. bound, 95% CI bias unc.",0.314
1964,"upp. bound, 95% CI bias unc.",0.06
1965,"upp. bound, 95% CI bias unc.",0.151
1966,"upp. bound, 95% CI bias unc.",0.203
1967,"upp. bound, 95% CI bias unc.",0.245
1968,"upp. bound, 95% CI bias unc.",0.183
1969,"upp. bound, 95% CI bias unc.",0.326
1970,"upp. bound, 95% CI bias unc.",0.289
1971,"upp. bound, 95% CI bias unc.",0.18
1972,"upp. bound, 95% CI bias unc.",0.273
1973,"upp. bound, 95% CI bias unc.",0.415
1974,"upp. bound, 95% CI bias unc.",0.181
1975,"upp. bound, 95% CI bias unc.",0.245
1976,"upp. bound, 95% CI bias unc.",0.152
1977,"upp. bound, 95% CI bias unc.",0.431
1978,"upp. bound, 95% CI bias unc.",0.319
1979,"upp. bound, 95% CI bias unc.",0.412
1980,"upp. bound, 95% CI bias unc.",0.506
1981,"upp. bound, 95% CI bias unc.",0.582
1982,"upp. bound, 95% CI bias unc.",0.393
1983,"upp. bound, 95% CI bias unc.",0.56
1984,"upp. bound, 95% CI bias unc.",0.404
1985,"upp. bound, 95% CI bias unc.",0.363
1986,"upp. bound, 95% CI bias unc.",0.425
1987,"upp. bound, 95% CI bias unc.",0.567
1988,"upp. bound, 95% CI bias unc.",0.636
1989,"upp. bound, 95% CI bias unc.",0.524
1990,"upp. bound, 95% CI bias unc.",0.704
1991,"upp. bound, 95% CI bias unc.",0.66
1992,"upp. bound, 95% CI bias unc.",0.465
1993,"upp. bound, 95% CI bias unc.",0.476
1994,"upp. bound, 95% CI bias unc.",0.568
1995,"upp. bound, 95% CI bias unc.",0.703
1996,"upp. bound, 95% CI bias unc.",0.571
1997,"upp. bound, 95% CI bias unc.",0.705
1998,"upp. bound, 95% CI bias unc.",0.855
1999,"upp. bound, 95% CI bias unc.",0.641
2000,"upp. bound, 95% CI bias unc.",0.64
2001,"upp. bound, 95% CI bias unc.",0.791
2002,"upp. bound, 95% CI bias unc.",0.881
2003,"upp. bound, 95% CI bias unc.",0.868
2004,"upp. bound, 95% CI bias unc.",0.786
2005,"upp. bound, 95% CI bias unc.",0.93
2006,"upp. bound, 95% CI bias unc.",0.892
2007,"upp. bound, 95% CI bias unc.",0.931
2008,"upp. bound, 95% CI bias unc.",0.794
2009,"upp. bound, 95% CI bias unc.",0.902
2010,"upp. bound, 95% CI bias unc.",0.969
2011,"upp. bound, 95% CI bias unc.",0.861
2012,"upp. bound, 95% CI bias unc.",0.888
2013,"upp. bound, 95% CI bias unc.",0.929
2014,"upp. bound, 95% CI bias unc.",0.998
2015,"upp. bound, 95% CI bias unc.",1.156
2016,"upp. bound, 95% CI bias unc.",1.264
2017,"upp. bound, 95% CI bias unc.",1.174
2018,"upp. bound, 95% CI bias unc.",1.104
2019,"upp. bound, 95% CI bias unc.",1.23
2020,"upp. bound, 95% CI bias unc.",1.29
1880,95% CI,0.139
1881,95% CI,0.134
1882,95% CI,0.137
1883,95% CI,0.136
1884,95% CI,0.141
1885,95% CI,0.147
1886,95% CI,0.151
1887,95% CI,0.136
1888,95% CI,0.125
1889,95% CI,0.126
1890,95% CI,0.123
1891,95% CI,0.123
1892,95% CI,0.125
1893,95% CI,0.123
1894,95% CI,0.125
1895,95% CI,0.126
1896,95% CI,0.12
1897,95% CI,0.122
1898,95% CI,0.124
1899,95% CI,0.121
1900,95% CI,0.114
1901,95% CI,0.11
1902,95% CI,0.112
1903,95% CI,0.118
1904,95% CI,0.115
1905,95% CI,0.115
1906,95% CI,0.113
1907,95% CI,0.116
1908,95% CI,0.114
1909,95% CI,0.119
1910,95% CI,0.106
1911,95% CI,0.113
1912,95% CI,0.11
1913,95% CI,0.114
1914,95% CI,0.114
1915,95% CI,0.119
1916,95% CI,0.124
1917,95% CI,0.133
1918,95% CI,0.122
1919,95% CI,0.122
1920,95% CI,0.112
1921,95% CI,0.113
1922,95% CI,0.11
1923,95% CI,0.106
1924,95% CI,0.111
1925,95% CI,0.112
1926,95% CI,0.109
1927,95% CI,0.112
1928,95% CI,0.116
1929,95% CI,0.122
1930,95% CI,0.115
1931,95% CI,0.108
1932,95% CI,0.114
1933,95% CI,0.11
1934,95% CI,0.11
1935,95% CI,0.11
1936,95% CI,0.113
1937,95% CI,0.107
1938,95% CI,0.114
1939,95% CI,0.107
1940,95% CI,0.107
1941,95% CI,0.115
1942,95% CI,0.106
1943,95% CI,0.107
1944,95% CI,0.103
1945,95% CI,0.102
1946,95% CI,0.085
1947,95% CI,0.079
1948,95% CI,0.08
1949,95% CI,0.077
1950,95% CI,0.066
1951,95% CI,0.065
1952,95% CI,0.068
1953,95% CI,0.066
1954,95% CI,0.065
1955,95% CI,0.07
1956,95% CI,0.073
1957,95% CI,0.069
1958,95% CI,0.066
1959,95% CI,0.065
1960,95% CI,0.066
1961,95% CI,0.065
1962,95% CI,0.067
1963,95% CI,0.063
1964,95% CI,0.06
1965,95% CI,0.06
1966,95% CI,0.063
1967,95% CI,0.065
1968,95% CI,0.063
1969,95% CI,0.075
1970,95% CI,0.059
1971,95% CI,0.059
1972,95% CI,0.062
1973,95% CI,0.055
1974,95% CI,0.051
1975,95% CI,0.055
1976,95% CI,0.051
1977,95% CI,0.051
1978,95% CI,0.049
1979,95% CI,0.051
1980,95% CI,0.046
1981,95% CI,0.061
1982,95% CI,0.052
1983,95% CI,0.049
1984,95% CI,0.044
1985,95% CI,0.043
1986,95% CI,0.044
1987,95% CI,0.046
1988,95% CI,0.045
1989,95% CI,0.054
1990,95% CI,0.053
1991,95% CI,0.05
1992,95% CI,0.045
1993,95% CI,0.045
1994,95% CI,0.047
1995,95% CI,0.052
1996,95% CI,0.04
1997,95% CI,0.045
1998,95% CI,0.044
1999,95% CI,0.06
2000,95% CI,0.049
2001,95% CI,0.05
2002,95% CI,0.051
2003,95% CI,0.047
2004,95% CI,0.045
2005,95% CI,0.05
2006,95% CI,0.052
2007,95% CI,0.06
2008,95% CI,0.054
2009,95% CI,0.042
2010,95% CI,0.048
2011,95% CI,0.05
2012,95% CI,0.048
2013,95% CI,0.049
2014,95% CI,0.048
2015,95% CI,0.056
2016,95% CI,0.054
2017,95% CI,0.054
2018,95% CI,0.054
2019,95% CI,0.05
2020,95% CI,0.05
