Year,Reported value,Temperature anomaly (K)
1995,global mean,0.652
1996,global mean,0.532
1997,global mean,0.662
1998,global mean,0.812
1999,global mean,0.582
2000,global mean,0.592
2001,global mean,0.742
2002,global mean,0.832
2003,global mean,0.822
2004,global mean,0.742
2005,global mean,0.882
2006,global mean,0.842
2007,global mean,0.872
2008,global mean,0.742
2009,global mean,0.862
2010,global mean,0.922
2011,global mean,0.812
2012,global mean,0.842
2013,global mean,0.882
2014,global mean,0.952
2015,global mean,1.102
2016,global mean,1.212
2017,global mean,1.122
2018,global mean,1.052
2019,global mean,1.182
2020,global mean,1.242
1880,"low. bound, 95% CI bias unc.",-0.097
1881,"low. bound, 95% CI bias unc.",-0.002
1882,"low. bound, 95% CI bias unc.",-0.035
1883,"low. bound, 95% CI bias unc.",-0.094
1884,"low. bound, 95% CI bias unc.",-0.209
1885,"low. bound, 95% CI bias unc.",-0.275
1886,"low. bound, 95% CI bias unc.",-0.259
1887,"low. bound, 95% CI bias unc.",-0.284
1888,"low. bound, 95% CI bias unc.",-0.093
1889,"low. bound, 95% CI bias unc.",-0.024
1890,"low. bound, 95% CI bias unc.",-0.271
1891,"low. bound, 95% CI bias unc.",-0.141
1892,"low. bound, 95% CI bias unc.",-0.193
1893,"low. bound, 95% CI bias unc.",-0.231
1894,"low. bound, 95% CI bias unc.",-0.223
1895,"low. bound, 95% CI bias unc.",-0.154
1896,"low. bound, 95% CI bias unc.",-0.028
1897,"low. bound, 95% CI bias unc.",-0.03
1898,"low. bound, 95% CI bias unc.",-0.192
1899,"low. bound, 95% CI bias unc.",-0.099
1900,"low. bound, 95% CI bias unc.",0.008
1901,"low. bound, 95% CI bias unc.",-0.058
1902,"low. bound, 95% CI bias unc.",-0.18
1903,"low. bound, 95% CI bias unc.",-0.276
1904,"low. bound, 95% CI bias unc.",-0.373
1905,"low. bound, 95% CI bias unc.",-0.173
1906,"low. bound, 95% CI bias unc.",-0.131
1907,"low. bound, 95% CI bias unc.",-0.294
1908,"low. bound, 95% CI bias unc.",-0.332
1909,"low. bound, 95% CI bias unc.",-0.397
1910,"low. bound, 95% CI bias unc.",-0.334
1911,"low. bound, 95% CI bias unc.",-0.351
1912,"low. bound, 95% CI bias unc.",-0.268
1913,"low. bound, 95% CI bias unc.",-0.252
1914,"low. bound, 95% CI bias unc.",-0.061
1915,"low. bound, 95% CI bias unc.",-0.057
1916,"low. bound, 95% CI bias unc.",-0.272
1917,"low. bound, 95% CI bias unc.",-0.391
1918,"low. bound, 95% CI bias unc.",-0.21
1919,"low. bound, 95% CI bias unc.",-0.19
1920,"low. bound, 95% CI bias unc.",-0.18
1921,"low. bound, 95% CI bias unc.",-0.101
1922,"low. bound, 95% CI bias unc.",-0.188
1923,"low. bound, 95% CI bias unc.",-0.164
1924,"low. bound, 95% CI bias unc.",-0.179
1925,"low. bound, 95% CI bias unc.",-0.13
1926,"low. bound, 95% CI bias unc.",-0.007
1927,"low. bound, 95% CI bias unc.",-0.13
1928,"low. bound, 95% CI bias unc.",-0.113
1929,"low. bound, 95% CI bias unc.",-0.28
1930,"low. bound, 95% CI bias unc.",-0.072
1931,"low. bound, 95% CI bias unc.",-0.006
1932,"low. bound, 95% CI bias unc.",-0.072
1933,"low. bound, 95% CI bias unc.",-0.198
1934,"low. bound, 95% CI bias unc.",-0.038
1935,"low. bound, 95% CI bias unc.",-0.108
1936,"low. bound, 95% CI bias unc.",-0.061
1937,"low. bound, 95% CI bias unc.",0.065
1938,"low. bound, 95% CI bias unc.",0.088
1939,"low. bound, 95% CI bias unc.",0.075
1940,"low. bound, 95% CI bias unc.",0.225
1941,"low. bound, 95% CI bias unc.",0.277
1942,"low. bound, 95% CI bias unc.",0.166
1943,"low. bound, 95% CI bias unc.",0.185
1944,"low. bound, 95% CI bias unc.",0.299
1945,"low. bound, 95% CI bias unc.",0.19
1946,"low. bound, 95% CI bias unc.",0.047
1947,"low. bound, 95% CI bias unc.",0.093
1948,"low. bound, 95% CI bias unc.",0.012
1949,"low. bound, 95% CI bias unc.",0.015
1950,"low. bound, 95% CI bias unc.",-0.033
1951,"low. bound, 95% CI bias unc.",0.067
1952,"low. bound, 95% CI bias unc.",0.144
1953,"low. bound, 95% CI bias unc.",0.216
1954,"low. bound, 95% CI bias unc.",0.007
1955,"low. bound, 95% CI bias unc.",-0.008
1956,"low. bound, 95% CI bias unc.",-0.061
1957,"low. bound, 95% CI bias unc.",0.183
1958,"low. bound, 95% CI bias unc.",0.196
1959,"low. bound, 95% CI bias unc.",0.168
1960,"low. bound, 95% CI bias unc.",0.117
1961,"low. bound, 95% CI bias unc.",0.197
1962,"low. bound, 95% CI bias unc.",0.165
1963,"low. bound, 95% CI bias unc.",0.189
1964,"low. bound, 95% CI bias unc.",-0.058
1965,"low. bound, 95% CI bias unc.",0.032
1966,"low. bound, 95% CI bias unc.",0.079
1967,"low. bound, 95% CI bias unc.",0.117
1968,"low. bound, 95% CI bias unc.",0.059
1969,"low. bound, 95% CI bias unc.",0.177
1970,"low. bound, 95% CI bias unc.",0.173
1971,"low. bound, 95% CI bias unc.",0.063
1972,"low. bound, 95% CI bias unc.",0.15
1973,"low. bound, 95% CI bias unc.",0.307
1974,"low. bound, 95% CI bias unc.",0.082
1975,"low. bound, 95% CI bias unc.",0.137
1976,"low. bound, 95% CI bias unc.",0.051
1977,"low. bound, 95% CI bias unc.",0.331
1978,"low. bound, 95% CI bias unc.",0.223
1979,"low. bound, 95% CI bias unc.",0.311
1980,"low. bound, 95% CI bias unc.",0.416
1981,"low. bound, 95% CI bias unc.",0.461
1982,"low. bound, 95% CI bias unc.",0.29
1983,"low. bound, 95% CI bias unc.",0.463
1984,"low. bound, 95% CI bias unc.",0.318
1985,"low. bound, 95% CI bias unc.",0.279
1986,"low. bound, 95% CI bias unc.",0.338
1987,"low. bound, 95% CI bias unc.",0.476
1988,"low. bound, 95% CI bias unc.",0.547
1989,"low. bound, 95% CI bias unc.",0.418
1990,"low. bound, 95% CI bias unc.",0.599
1991,"low. bound, 95% CI bias unc.",0.562
1992,"low. bound, 95% CI bias unc.",0.377
1993,"low. bound, 95% CI bias unc.",0.387
1994,"low. bound, 95% CI bias unc.",0.475
1995,"low. bound, 95% CI bias unc.",0.6
1996,"low. bound, 95% CI bias unc.",0.492
1997,"low. bound, 95% CI bias unc.",0.617
1998,"low. bound, 95% CI bias unc.",0.768
1999,"low. bound, 95% CI bias unc.",0.522
2000,"low. bound, 95% CI bias unc.",0.543
2001,"low. bound, 95% CI bias unc.",0.692
2002,"low. bound, 95% CI bias unc.",0.781
2003,"low. bound, 95% CI bias unc.",0.775
2004,"low. bound, 95% CI bias unc.",0.697
2005,"low. bound, 95% CI bias unc.",0.833
2006,"low. bound, 95% CI bias unc.",0.79
2007,"low. bound, 95% CI bias unc.",0.812
2008,"low. bound, 95% CI bias unc.",0.688
2009,"low. bound, 95% CI bias unc.",0.82
2010,"low. bound, 95% CI bias unc.",0.874
2011,"low. bound, 95% CI bias unc.",0.762
2012,"low. bound, 95% CI bias unc.",0.794
2013,"low. bound, 95% CI bias unc.",0.834
2014,"low. bound, 95% CI bias unc.",0.904
2015,"low. bound, 95% CI bias unc.",1.046
2016,"low. bound, 95% CI bias unc.",1.158
2017,"low. bound, 95% CI bias unc.",1.068
2018,"low. bound, 95% CI bias unc.",0.998
2019,"low. bound, 95% CI bias unc.",1.132
2020,"low. bound, 95% CI bias unc.",1.192
1880,"upp. bound, 95% CI bias unc.",0.181
1881,"upp. bound, 95% CI bias unc.",0.266
1882,"upp. bound, 95% CI bias unc.",0.239
1883,"upp. bound, 95% CI bias unc.",0.178
1884,"upp. bound, 95% CI bias unc.",0.073
1885,"upp. bound, 95% CI bias unc.",0.019
1886,"upp. bound, 95% CI bias unc.",0.043
1887,"upp. bound, 95% CI bias unc.",-0.012
1888,"upp. bound, 95% CI bias unc.",0.157
1889,"upp. bound, 95% CI bias unc.",0.228
1890,"upp. bound, 95% CI bias unc.",-0.025
1891,"upp. bound, 95% CI bias unc.",0.105
1892,"upp. bound, 95% CI bias unc.",0.057
1893,"upp. bound, 95% CI bias unc.",0.015
1894,"upp. bound, 95% CI bias unc.",0.027
1895,"upp. bound, 95% CI bias unc.",0.098
1896,"upp. bound, 95% CI bias unc.",0.212
1897,"upp. bound, 95% CI bias unc.",0.214
1898,"upp. bound, 95% CI bias unc.",0.056
1899,"upp. bound, 95% CI bias unc.",0.143
1900,"upp. bound, 95% CI bias unc.",0.236
1901,"upp. bound, 95% CI bias unc.",0.162
1902,"upp. bound, 95% CI bias unc.",0.044
1903,"upp. bound, 95% CI bias unc.",-0.04
1904,"upp. bound, 95% CI bias unc.",-0.143
1905,"upp. bound, 95% CI bias unc.",0.057
1906,"upp. bound, 95% CI bias unc.",0.095
1907,"upp. bound, 95% CI bias unc.",-0.062
1908,"upp. bound, 95% CI bias unc.",-0.104
1909,"upp. bound, 95% CI bias unc.",-0.159
1910,"upp. bound, 95% CI bias unc.",-0.122
1911,"upp. bound, 95% CI bias unc.",-0.125
1912,"upp. bound, 95% CI bias unc.",-0.048
1913,"upp. bound, 95% CI bias unc.",-0.024
1914,"upp. bound, 95% CI bias unc.",0.166
1915,"upp. bound, 95% CI bias unc.",0.181
1916,"upp. bound, 95% CI bias unc.",-0.024
1917,"upp. bound, 95% CI bias unc.",-0.124
1918,"upp. bound, 95% CI bias unc.",0.034
1919,"upp. bound, 95% CI bias unc.",0.054
1920,"upp. bound, 95% CI bias unc.",0.044
1921,"upp. bound, 95% CI bias unc.",0.125
1922,"upp. bound, 95% CI bias unc.",0.032
1923,"upp. bound, 95% CI bias unc.",0.048
1924,"upp. bound, 95% CI bias unc.",0.043
1925,"upp. bound, 95% CI bias unc.",0.094
1926,"upp. bound, 95% CI bias unc.",0.211
1927,"upp. bound, 95% CI bias unc.",0.094
1928,"upp. bound, 95% CI bias unc.",0.118
1929,"upp. bound, 95% CI bias unc.",-0.036
1930,"upp. bound, 95% CI bias unc.",0.157
1931,"upp. bound, 95% CI bias unc.",0.21
1932,"upp. bound, 95% CI bias unc.",0.156
1933,"upp. bound, 95% CI bias unc.",0.022
1934,"upp. bound, 95% CI bias unc.",0.182
1935,"upp. bound, 95% CI bias unc.",0.112
1936,"upp. bound, 95% CI bias unc.",0.165
1937,"upp. bound, 95% CI bias unc.",0.279
1938,"upp. bound, 95% CI bias unc.",0.316
1939,"upp. bound, 95% CI bias unc.",0.289
1940,"upp. bound, 95% CI bias unc.",0.439
1941,"upp. bound, 95% CI bias unc.",0.508
1942,"upp. bound, 95% CI bias unc.",0.378
1943,"upp. bound, 95% CI bias unc.",0.399
1944,"upp. bound, 95% CI bias unc.",0.505
1945,"upp. bound, 95% CI bias unc.",0.394
1946,"upp. bound, 95% CI bias unc.",0.217
1947,"upp. bound, 95% CI bias unc.",0.251
1948,"upp. bound, 95% CI bias unc.",0.172
1949,"upp. bound, 95% CI bias unc.",0.169
1950,"upp. bound, 95% CI bias unc.",0.098
1951,"upp. bound, 95% CI bias unc.",0.197
1952,"upp. bound, 95% CI bias unc.",0.28
1953,"upp. bound, 95% CI bias unc.",0.348
1954,"upp. bound, 95% CI bias unc.",0.137
1955,"upp. bound, 95% CI bias unc.",0.132
1956,"upp. bound, 95% CI bias unc.",0.085
1957,"upp. bound, 95% CI bias unc.",0.321
1958,"upp. bound, 95% CI bias unc.",0.328
1959,"upp. bound, 95% CI bias unc.",0.297
1960,"upp. bound, 95% CI bias unc.",0.248
1961,"upp. bound, 95% CI bias unc.",0.328
1962,"upp. bound, 95% CI bias unc.",0.299
1963,"upp. bound, 95% CI bias unc.",0.315
1964,"upp. bound, 95% CI bias unc.",0.062
1965,"upp. bound, 95% CI bias unc.",0.152
1966,"upp. bound, 95% CI bias unc.",0.205
1967,"upp. bound, 95% CI bias unc.",0.247
1968,"upp. bound, 95% CI bias unc.",0.185
1969,"upp. bound, 95% CI bias unc.",0.327
1970,"upp. bound, 95% CI bias unc.",0.291
1971,"upp. bound, 95% CI bias unc.",0.181
1972,"upp. bound, 95% CI bias unc.",0.274
1973,"upp. bound, 95% CI bias unc.",0.417
1974,"upp. bound, 95% CI bias unc.",0.183
1975,"upp. bound, 95% CI bias unc.",0.247
1976,"upp. bound, 95% CI bias unc.",0.153
1977,"upp. bound, 95% CI bias unc.",0.433
1978,"upp. bound, 95% CI bias unc.",0.321
1979,"upp. bound, 95% CI bias unc.",0.414
1980,"upp. bound, 95% CI bias unc.",0.508
1981,"upp. bound, 95% CI bias unc.",0.583
1982,"upp. bound, 95% CI bias unc.",0.394
1983,"upp. bound, 95% CI bias unc.",0.561
1984,"upp. bound, 95% CI bias unc.",0.406
1985,"upp. bound, 95% CI bias unc.",0.365
1986,"upp. bound, 95% CI bias unc.",0.426
1987,"upp. bound, 95% CI bias unc.",0.568
1988,"upp. bound, 95% CI bias unc.",0.637
1989,"upp. bound, 95% CI bias unc.",0.526
1990,"upp. bound, 95% CI bias unc.",0.705
1991,"upp. bound, 95% CI bias unc.",0.662
1992,"upp. bound, 95% CI bias unc.",0.467
1993,"upp. bound, 95% CI bias unc.",0.477
1994,"upp. bound, 95% CI bias unc.",0.569
1995,"upp. bound, 95% CI bias unc.",0.704
1996,"upp. bound, 95% CI bias unc.",0.572
1997,"upp. bound, 95% CI bias unc.",0.707
1998,"upp. bound, 95% CI bias unc.",0.856
1999,"upp. bound, 95% CI bias unc.",0.642
2000,"upp. bound, 95% CI bias unc.",0.641
2001,"upp. bound, 95% CI bias unc.",0.792
2002,"upp. bound, 95% CI bias unc.",0.883
2003,"upp. bound, 95% CI bias unc.",0.869
2004,"upp. bound, 95% CI bias unc.",0.787
2005,"upp. bound, 95% CI bias unc.",0.932
2006,"upp. bound, 95% CI bias unc.",0.894
2007,"upp. bound, 95% CI bias unc.",0.932
2008,"upp. bound, 95% CI bias unc.",0.796
2009,"upp. bound, 95% CI bias unc.",0.904
2010,"upp. bound, 95% CI bias unc.",0.97
2011,"upp. bound, 95% CI bias unc.",0.862
2012,"upp. bound, 95% CI bias unc.",0.89
2013,"upp. bound, 95% CI bias unc.",0.931
2014,"upp. bound, 95% CI bias unc.",1.0
2015,"upp. bound, 95% CI bias unc.",1.158
2016,"upp. bound, 95% CI bias unc.",1.266
2017,"upp. bound, 95% CI bias unc.",1.176
2018,"upp. bound, 95% CI bias unc.",1.106
2019,"upp. bound, 95% CI bias unc.",1.232
2020,"upp. bound, 95% CI bias unc.",1.292
1880,95% CI,0.139
1881,95% CI,0.134
1882,95% CI,0.137
1883,95% CI,0.136
1884,95% CI,0.141
1885,95% CI,0.147
1886,95% CI,0.151
1887,95% CI,0.136
1888,95% CI,0.125
1889,95% CI,0.126
1890,95% CI,0.123
1891,95% CI,0.123
1892,95% CI,0.125
1893,95% CI,0.123
1894,95% CI,0.125
1895,95% CI,0.126
1896,95% CI,0.12
1897,95% CI,0.122
1898,95% CI,0.124
1899,95% CI,0.121
1900,95% CI,0.114
1901,95% CI,0.11
1902,95% CI,0.112
1903,95% CI,0.118
1904,95% CI,0.115
1905,95% CI,0.115
1906,95% CI,0.113
1907,95% CI,0.116
1908,95% CI,0.114
1909,95% CI,0.119
1910,95% CI,0.106
1911,95% CI,0.113
1912,95% CI,0.11
1913,95% CI,0.114
1914,95% CI,0.114
1915,95% CI,0.119
1916,95% CI,0.124
1917,95% CI,0.133
1918,95% CI,0.122
1919,95% CI,0.122
1920,95% CI,0.112
1921,95% CI,0.113
1922,95% CI,0.11
1923,95% CI,0.106
1924,95% CI,0.111
1925,95% CI,0.112
1926,95% CI,0.109
1927,95% CI,0.112
1928,95% CI,0.116
1929,95% CI,0.122
1930,95% CI,0.115
1931,95% CI,0.108
1932,95% CI,0.114
1933,95% CI,0.11
1934,95% CI,0.11
1935,95% CI,0.11
1936,95% CI,0.113
1937,95% CI,0.107
1938,95% CI,0.114
1939,95% CI,0.107
1940,95% CI,0.107
1941,95% CI,0.115
1942,95% CI,0.106
1943,95% CI,0.107
1944,95% CI,0.103
1945,95% CI,0.102
1946,95% CI,0.085
1947,95% CI,0.079
1948,95% CI,0.08
1949,95% CI,0.077
1950,95% CI,0.066
1951,95% CI,0.065
1952,95% CI,0.068
1953,95% CI,0.066
1954,95% CI,0.065
1955,95% CI,0.07
1956,95% CI,0.073
1957,95% CI,0.069
1958,95% CI,0.066
1959,95% CI,0.065
1960,95% CI,0.066
1961,95% CI,0.065
1962,95% CI,0.067
1963,95% CI,0.063
1964,95% CI,0.06
1965,95% CI,0.06
1966,95% CI,0.063
1967,95% CI,0.065
1968,95% CI,0.063
1969,95% CI,0.075
1970,95% CI,0.059
1971,95% CI,0.059
1972,95% CI,0.062
1973,95% CI,0.055
1974,95% CI,0.051
1975,95% CI,0.055
1976,95% CI,0.051
1977,95% CI,0.051
1978,95% CI,0.049
1979,95% CI,0.051
1980,95% CI,0.046
1981,95% CI,0.061
1982,95% CI,0.052
1983,95% CI,0.049
1984,95% CI,0.044
1985,95% CI,0.043
1986,95% CI,0.044
1987,95% CI,0.046
1988,95% CI,0.045
1989,95% CI,0.054
1990,95% CI,0.053
1991,95% CI,0.05
1992,95% CI,0.045
1993,95% CI,0.045
1994,95% CI,0.047
1995,95% CI,0.052
1996,95% CI,0.04
1997,95% CI,0.045
1998,95% CI,0.044
1999,95% CI,0.06
2000,95% CI,0.049
2001,95% CI,0.05
2002,95% CI,0.051
2003,95% CI,0.047
2004,95% CI,0.045
2005,95% CI,0.05
2006,95% CI,0.052
2007,95% CI,0.06
2008,95% CI,0.054
2009,95% CI,0.042
2010,95% CI,0.048
2011,95% CI,0.05
2012,95% CI,0.048
2013,95% CI,0.049
2014,95% CI,0.048
2015,95% CI,0.056
2016,95% CI,0.054
2017,95% CI,0.054
2018,95% CI,0.054
2019,95% CI,0.05
2020,95% CI,0.05
