year,subcategory,volume_km3,category
1992,wheat,174.0,agriculture
1993,wheat,177.0,agriculture
1994,wheat,185.0,agriculture
1995,wheat,183.0,agriculture
1996,wheat,185.0,agriculture
1997,wheat,182.0,agriculture
1998,wheat,187.0,agriculture
1999,wheat,212.0,agriculture
2000,wheat,216.0,agriculture
2001,wheat,215.0,agriculture
2002,wheat,226.0,agriculture
2003,wheat,195.0,agriculture
2004,wheat,220.0,agriculture
2005,wheat,211.0,agriculture
2006,wheat,229.0,agriculture
2007,wheat,215.0,agriculture
2008,wheat,224.0,agriculture
2009,wheat,238.0,agriculture
2010,wheat,227.0,agriculture
2011,wheat,228.0,agriculture
2012,wheat,224.0,agriculture
2013,wheat,224.0,agriculture
2014,wheat,227.0,agriculture
2015,wheat,220.0,agriculture
2016,wheat,236.0,agriculture
1980,maize,66.0,agriculture
1981,maize,67.0,agriculture
1982,maize,68.0,agriculture
1983,maize,68.0,agriculture
1984,maize,69.0,agriculture
1985,maize,69.0,agriculture
1986,maize,77.0,agriculture
1987,maize,74.0,agriculture
1988,maize,78.0,agriculture
1989,maize,73.0,agriculture
1990,maize,73.0,agriculture
1991,maize,80.0,agriculture
1992,maize,79.0,agriculture
1993,maize,70.0,agriculture
1994,maize,83.0,agriculture
1995,maize,78.0,agriculture
1996,maize,68.0,agriculture
1997,maize,87.0,agriculture
1998,maize,73.0,agriculture
1999,maize,87.0,agriculture
2000,maize,89.0,agriculture
2001,maize,93.0,agriculture
2002,maize,90.0,agriculture
2003,maize,80.0,agriculture
2004,maize,76.0,agriculture
2005,maize,79.0,agriculture
2006,maize,85.0,agriculture
2007,maize,81.0,agriculture
2008,maize,76.0,agriculture
2009,maize,85.0,agriculture
2010,maize,81.0,agriculture
2011,maize,94.0,agriculture
2012,maize,99.0,agriculture
2013,maize,85.0,agriculture
2014,maize,91.0,agriculture
2015,maize,92.0,agriculture
2016,maize,83.0,agriculture
1980,rice,220.0,agriculture
1981,rice,225.0,agriculture
1982,rice,228.0,agriculture
1983,rice,232.0,agriculture
1984,rice,235.0,agriculture
1985,rice,238.0,agriculture
1986,rice,253.0,agriculture
1987,rice,260.0,agriculture
1988,rice,259.0,agriculture
1989,rice,253.0,agriculture
1990,rice,252.0,agriculture
1991,rice,276.0,agriculture
1992,rice,281.0,agriculture
1993,rice,266.0,agriculture
1994,rice,287.0,agriculture
1995,rice,286.0,agriculture
1996,rice,278.0,agriculture
1997,rice,304.0,agriculture
1998,rice,287.0,agriculture
1999,rice,304.0,agriculture
2000,rice,308.0,agriculture
2001,rice,323.0,agriculture
2002,rice,327.0,agriculture
2003,rice,337.0,agriculture
2004,rice,357.0,agriculture
2005,rice,335.0,agriculture
2006,rice,355.0,agriculture
2007,rice,346.0,agriculture
2008,rice,331.0,agriculture
2009,rice,374.0,agriculture
2010,rice,337.0,agriculture
2011,rice,359.0,agriculture
2012,rice,356.0,agriculture
2013,rice,360.0,agriculture
2014,rice,370.0,agriculture
2015,rice,360.0,agriculture
2016,rice,352.0,agriculture
1980,population,32.6,domestic_municipal
1981,population,32.9,domestic_municipal
1982,population,33.4,domestic_municipal
1983,population,34.0,domestic_municipal
1984,population,34.7,domestic_municipal
1985,population,35.2,domestic_municipal
1986,population,35.8,domestic_municipal
1987,population,36.5,domestic_municipal
1988,population,37.2,domestic_municipal
1989,population,37.8,domestic_municipal
1990,population,38.7,domestic_municipal
1991,population,39.1,domestic_municipal
1992,population,39.8,domestic_municipal
1993,population,40.3,domestic_municipal
1994,population,40.9,domestic_municipal
1995,population,41.4,domestic_municipal
1996,population,42.1,domestic_municipal
1997,population,42.6,domestic_municipal
1998,population,43.1,domestic_municipal
1999,population,43.7,domestic_municipal
2000,population,44.7,domestic_municipal
2001,population,45.2,domestic_municipal
2002,population,45.7,domestic_municipal
2003,population,46.3,domestic_municipal
2004,population,47.0,domestic_municipal
2005,population,47.4,domestic_municipal
2006,population,48.0,domestic_municipal
2007,population,48.6,domestic_municipal
2008,population,49.3,domestic_municipal
2009,population,49.7,domestic_municipal
2010,population,50.3,domestic_municipal
2011,population,50.8,domestic_municipal
2012,population,51.5,domestic_municipal
2013,population,51.9,domestic_municipal
2014,population,52.4,domestic_municipal
2015,population,53.0,domestic_municipal
2016,population,53.7,domestic_municipal
1980,livestock,13.8,agriculture
1981,livestock,13.9,agriculture
1982,livestock,14.0,agriculture
1983,livestock,14.1,agriculture
1984,livestock,14.1,agriculture
1985,livestock,14.1,agriculture
1986,livestock,14.3,agriculture
1987,livestock,14.3,agriculture
1988,livestock,14.5,agriculture
1989,livestock,14.7,agriculture
1990,livestock,14.8,agriculture
1991,livestock,14.9,agriculture
1992,livestock,15.3,agriculture
1993,livestock,15.2,agriculture
1994,livestock,15.3,agriculture
1995,livestock,15.4,agriculture
1996,livestock,15.6,agriculture
1997,livestock,15.1,agriculture
1998,livestock,15.2,agriculture
1999,livestock,15.3,agriculture
2000,livestock,15.4,agriculture
2001,livestock,15.4,agriculture
2002,livestock,15.5,agriculture
2003,livestock,15.6,agriculture
2004,livestock,15.8,agriculture
2005,livestock,16.0,agriculture
2006,livestock,16.1,agriculture
2007,livestock,16.2,agriculture
2008,livestock,16.4,agriculture
2009,livestock,16.5,agriculture
2010,livestock,16.6,agriculture
2011,livestock,16.6,agriculture
2012,livestock,16.8,agriculture
2013,livestock,16.8,agriculture
2014,livestock,16.9,agriculture
2015,livestock,17.0,agriculture
2016,livestock,17.3,agriculture
1980,other_annuals,321.0,agriculture
1981,other_annuals,329.0,agriculture
1982,other_annuals,335.0,agriculture
1983,other_annuals,338.0,agriculture
1984,other_annuals,342.0,agriculture
1985,other_annuals,347.0,agriculture
1986,other_annuals,354.0,agriculture
1987,other_annuals,369.0,agriculture
1988,other_annuals,366.0,agriculture
1989,other_annuals,368.0,agriculture
1990,other_annuals,369.0,agriculture
1991,other_annuals,381.0,agriculture
1992,other_annuals,374.0,agriculture
1993,other_annuals,370.0,agriculture
1994,other_annuals,395.0,agriculture
1995,other_annuals,390.0,agriculture
1996,other_annuals,378.0,agriculture
1997,other_annuals,391.0,agriculture
1998,other_annuals,391.0,agriculture
1999,other_annuals,414.0,agriculture
2000,other_annuals,430.0,agriculture
2001,other_annuals,435.0,agriculture
2002,other_annuals,443.0,agriculture
2003,other_annuals,419.0,agriculture
2004,other_annuals,428.0,agriculture
2005,other_annuals,430.0,agriculture
2006,other_annuals,442.0,agriculture
2007,other_annuals,438.0,agriculture
2008,other_annuals,432.0,agriculture
2009,other_annuals,450.0,agriculture
2010,other_annuals,423.0,agriculture
2011,other_annuals,443.0,agriculture
2012,other_annuals,472.0,agriculture
2013,other_annuals,446.0,agriculture
2014,other_annuals,455.0,agriculture
2015,other_annuals,453.0,agriculture
2016,other_annuals,457.0,agriculture
