,year,subcategory,volume_km3,category
169,2001,maize,93.0,agriculture
170,2002,maize,90.0,agriculture
171,2003,maize,80.0,agriculture
172,2004,maize,76.0,agriculture
173,2005,maize,79.0,agriculture
174,2006,maize,85.0,agriculture
175,2007,maize,81.0,agriculture
176,2008,maize,76.0,agriculture
177,2009,maize,85.0,agriculture
178,2010,maize,81.0,agriculture
179,2011,maize,94.0,agriculture
180,2012,maize,99.0,agriculture
181,2013,maize,85.0,agriculture
182,2014,maize,91.0,agriculture
183,2015,maize,92.0,agriculture
184,2016,maize,83.0,agriculture
185,1980,rice,220.0,agriculture
186,1981,rice,225.0,agriculture
187,1982,rice,228.0,agriculture
188,1983,rice,232.0,agriculture
189,1984,rice,235.0,agriculture
190,1985,rice,238.0,agriculture
191,1986,rice,253.0,agriculture
192,1987,rice,260.0,agriculture
193,1988,rice,259.0,agriculture
194,1989,rice,253.0,agriculture
195,1990,rice,252.0,agriculture
196,1991,rice,276.0,agriculture
197,1992,rice,281.0,agriculture
198,1993,rice,266.0,agriculture
199,1994,rice,287.0,agriculture
200,1995,rice,286.0,agriculture
201,1996,rice,278.0,agriculture
202,1997,rice,304.0,agriculture
203,1998,rice,287.0,agriculture
204,1999,rice,304.0,agriculture
205,2000,rice,308.0,agriculture
206,2001,rice,323.0,agriculture
207,2002,rice,327.0,agriculture
208,2003,rice,337.0,agriculture
209,2004,rice,357.0,agriculture
210,2005,rice,335.0,agriculture
211,2006,rice,355.0,agriculture
212,2007,rice,346.0,agriculture
213,2008,rice,331.0,agriculture
214,2009,rice,374.0,agriculture
215,2010,rice,337.0,agriculture
216,2011,rice,359.0,agriculture
217,2012,rice,356.0,agriculture
218,2013,rice,360.0,agriculture
219,2014,rice,370.0,agriculture
220,2015,rice,360.0,agriculture
221,2016,rice,352.0,agriculture
222,1980,population,32.6,domestic_municipal
223,1981,population,32.9,domestic_municipal
224,1982,population,33.4,domestic_municipal
225,1983,population,34.0,domestic_municipal
226,1984,population,34.7,domestic_municipal
227,1985,population,35.2,domestic_municipal
228,1986,population,35.8,domestic_municipal
229,1987,population,36.5,domestic_municipal
230,1988,population,37.2,domestic_municipal
231,1989,population,37.8,domestic_municipal
232,1990,population,38.7,domestic_municipal
233,1991,population,39.1,domestic_municipal
234,1992,population,39.8,domestic_municipal
235,1993,population,40.3,domestic_municipal
236,1994,population,40.9,domestic_municipal
237,1995,population,41.4,domestic_municipal
238,1996,population,42.1,domestic_municipal
239,1997,population,42.6,domestic_municipal
240,1998,population,43.1,domestic_municipal
241,1999,population,43.7,domestic_municipal
242,2000,population,44.7,domestic_municipal
243,2001,population,45.2,domestic_municipal
244,2002,population,45.7,domestic_municipal
245,2003,population,46.3,domestic_municipal
246,2004,population,47.0,domestic_municipal
247,2005,population,47.4,domestic_municipal
248,2006,population,48.0,domestic_municipal
249,2007,population,48.6,domestic_municipal
250,2008,population,49.3,domestic_municipal
251,2009,population,49.7,domestic_municipal
252,2010,population,50.3,domestic_municipal
253,2011,population,50.8,domestic_municipal
254,2012,population,51.5,domestic_municipal
255,2013,population,51.9,domestic_municipal
256,2014,population,52.4,domestic_municipal
257,2015,population,53.0,domestic_municipal
258,2016,population,53.7,domestic_municipal
259,1980,livestock,13.8,agriculture
260,1981,livestock,13.9,agriculture
261,1982,livestock,14.0,agriculture
262,1983,livestock,14.1,agriculture
263,1984,livestock,14.1,agriculture
264,1985,livestock,14.1,agriculture
265,1986,livestock,14.3,agriculture
266,1987,livestock,14.3,agriculture
267,1988,livestock,14.5,agriculture
268,1989,livestock,14.7,agriculture
269,1990,livestock,14.8,agriculture
270,1991,livestock,14.9,agriculture
271,1992,livestock,15.3,agriculture
272,1993,livestock,15.2,agriculture
273,1994,livestock,15.3,agriculture
274,1995,livestock,15.4,agriculture
275,1996,livestock,15.6,agriculture
276,1997,livestock,15.1,agriculture
277,1998,livestock,15.2,agriculture
278,1999,livestock,15.3,agriculture
279,2000,livestock,15.4,agriculture
280,2001,livestock,15.4,agriculture
281,2002,livestock,15.5,agriculture
282,2003,livestock,15.6,agriculture
283,2004,livestock,15.8,agriculture
284,2005,livestock,16.0,agriculture
285,2006,livestock,16.1,agriculture
286,2007,livestock,16.2,agriculture
287,2008,livestock,16.4,agriculture
288,2009,livestock,16.5,agriculture
289,2010,livestock,16.6,agriculture
290,2011,livestock,16.6,agriculture
291,2012,livestock,16.8,agriculture
292,2013,livestock,16.8,agriculture
293,2014,livestock,16.9,agriculture
294,2015,livestock,17.0,agriculture
295,2016,livestock,17.3,agriculture
296,1980,other_annuals,321.0,agriculture
297,1981,other_annuals,329.0,agriculture
298,1982,other_annuals,335.0,agriculture
299,1983,other_annuals,338.0,agriculture
300,1984,other_annuals,342.0,agriculture
301,1985,other_annuals,347.0,agriculture
302,1986,other_annuals,354.0,agriculture
303,1987,other_annuals,369.0,agriculture
304,1988,other_annuals,366.0,agriculture
305,1989,other_annuals,368.0,agriculture
306,1990,other_annuals,369.0,agriculture
307,1991,other_annuals,381.0,agriculture
308,1992,other_annuals,374.0,agriculture
309,1993,other_annuals,370.0,agriculture
310,1994,other_annuals,395.0,agriculture
311,1995,other_annuals,390.0,agriculture
312,1996,other_annuals,378.0,agriculture
313,1997,other_annuals,391.0,agriculture
314,1998,other_annuals,391.0,agriculture
315,1999,other_annuals,414.0,agriculture
316,2000,other_annuals,430.0,agriculture
317,2001,other_annuals,435.0,agriculture
318,2002,other_annuals,443.0,agriculture
319,2003,other_annuals,419.0,agriculture
320,2004,other_annuals,428.0,agriculture
321,2005,other_annuals,430.0,agriculture
322,2006,other_annuals,442.0,agriculture
323,2007,other_annuals,438.0,agriculture
324,2008,other_annuals,432.0,agriculture
325,2009,other_annuals,450.0,agriculture
326,2010,other_annuals,423.0,agriculture
327,2011,other_annuals,443.0,agriculture
328,2012,other_annuals,472.0,agriculture
329,2013,other_annuals,446.0,agriculture
330,2014,other_annuals,455.0,agriculture
331,2015,other_annuals,453.0,agriculture
332,2016,other_annuals,457.0,agriculture
