region,year,population_MHd
Europe,2015,742.11
Europe,2016,743.319
Europe,2017,744.449
Europe,2018,745.359
Europe,2019,746.19
Europe,2020,746.225
Europe,2021,745.17
Northern America,1950,179.255
Northern America,1951,182.27
Northern America,1952,185.369
Northern America,1953,188.655
Northern America,1954,192.19600000000003
Northern America,1955,195.91
Northern America,1956,199.648
Northern America,1957,203.402
Northern America,1958,207.459
Northern America,1959,211.454
Northern America,1960,215.128
Northern America,1961,218.83800000000002
Northern America,1962,222.47
Northern America,1963,226.007
Northern America,1964,229.45100000000002
Northern America,1965,232.702
Northern America,1966,235.658
Northern America,1967,238.421
Northern America,1968,241.163
Northern America,1969,244.03300000000002
Northern America,1970,247.36200000000002
Northern America,1971,250.864
Northern America,1972,253.991
Northern America,1973,256.794
Northern America,1974,259.511
Northern America,1975,262.26300000000003
Northern America,1976,264.985
Northern America,1977,267.835
Northern America,1978,270.923
Northern America,1979,274.154
Northern America,1980,277.505
Northern America,1981,280.714
Northern America,1982,283.75
Northern America,1983,286.853
Northern America,1984,289.91400000000004
Northern America,1985,292.985
Northern America,1986,296.072
Northern America,1987,299.183
Northern America,1988,302.455
Northern America,1989,306.01800000000003
Northern America,1990,310.034
Northern America,1991,314.34000000000003
Northern America,1992,318.74199999999996
Northern America,1993,323.108
Northern America,1994,327.34
Northern America,1995,331.449
Northern America,1996,335.48199999999997
Northern America,1997,339.579
Northern America,1998,343.668
Northern America,1999,347.65
Northern America,2000,351.515
Northern America,2001,355.25100000000003
Northern America,2002,358.784
Northern America,2003,362.166
Northern America,2004,365.605
Northern America,2005,369.112
Northern America,2006,372.64300000000003
Northern America,2007,376.27200000000005
Northern America,2008,379.876
Northern America,2009,383.374
Northern America,2010,386.67199999999997
Northern America,2011,389.986
Northern America,2012,393.419
Northern America,2013,396.80400000000003
Northern America,2014,400.064
Northern America,2015,403.215
Northern America,2016,406.439
Northern America,2017,409.68
Northern America,2018,412.77099999999996
Northern America,2019,415.696
Northern America,2020,417.919
Northern America,2021,419.461
Oceania,1950,12.578
Oceania,1951,12.91
Oceania,1952,13.22
Oceania,1953,13.522
Oceania,1954,13.819
Oceania,1955,14.14
Oceania,1956,14.479
Oceania,1957,14.82
Oceania,1958,15.16
Oceania,1959,15.506
Oceania,1960,15.859
Oceania,1961,16.213
Oceania,1962,16.557
Oceania,1963,16.899
Oceania,1964,17.248
Oceania,1965,17.609
Oceania,1966,17.976
Oceania,1967,18.32
Oceania,1968,18.658
Oceania,1969,19.02
Oceania,1970,19.48
Oceania,1971,20.023
Oceania,1972,20.481
Oceania,1973,20.852
Oceania,1974,21.213
Oceania,1975,21.537
Oceania,1976,21.82
Oceania,1977,22.09
Oceania,1978,22.356
Oceania,1979,22.623
Oceania,1980,22.92
Oceania,1981,23.268
Oceania,1982,23.646
Oceania,1983,24.011
Oceania,1984,24.357
Oceania,1985,24.705
Oceania,1986,25.069
Oceania,1987,25.459
Oceania,1988,25.868
Oceania,1989,26.286
Oceania,1990,26.744
Oceania,1991,27.214
Oceania,1992,27.637
Oceania,1993,28.038
Oceania,1994,28.455
Oceania,1995,28.905
Oceania,1996,29.379
Oceania,1997,29.846
Oceania,1998,30.299
Oceania,1999,30.753
Oceania,2000,31.223
Oceania,2001,31.715
Oceania,2002,32.23
Oceania,2003,32.76
Oceania,2004,33.278
Oceania,2005,33.813
Oceania,2006,34.4
Oceania,2007,35.044
Oceania,2008,35.745
Oceania,2009,36.448
Oceania,2010,37.103
Oceania,2011,37.73
Oceania,2012,38.383
Oceania,2013,39.057
Oceania,2014,39.729
Oceania,2015,40.403
Oceania,2016,41.101
Oceania,2017,41.817
Oceania,2018,42.54
Oceania,2019,43.278
Oceania,2020,43.933
Oceania,2021,44.492
South America,1950,113.521
South America,1951,116.612
South America,1952,119.808
South America,1953,123.096
South America,1954,126.484
South America,1955,129.99
South America,1956,133.605
South America,1957,137.348
South America,1958,141.19
South America,1959,145.149
South America,1960,149.22
South America,1961,153.378
South America,1962,157.609
South America,1963,161.919
South America,1964,166.291
South America,1965,170.707
South America,1966,175.135
South America,1967,179.569
South America,1968,184.011
South America,1969,188.469
South America,1970,192.947
South America,1971,197.462
South America,1972,202.046
South America,1973,206.713
South America,1974,211.455
South America,1975,216.252
South America,1976,221.11
South America,1977,226.098
South America,1978,231.227
South America,1979,236.454
South America,1980,241.789
South America,1981,247.206
South America,1982,252.673
South America,1983,258.2
South America,1984,263.761
South America,1985,269.321
South America,1986,274.88
South America,1987,280.45
South America,1988,286.026
South America,1989,291.601
South America,1990,297.146
South America,1991,302.602
South America,1992,307.967
South America,1993,313.302
South America,1994,318.637
South America,1995,323.946
South America,1996,329.2
South America,1997,334.414
South America,1998,339.583
South America,1999,344.666
South America,2000,349.634
South America,2001,354.475
South America,2002,359.177
South America,2003,363.705
South America,2004,368.127
South America,2005,372.502
South America,2006,376.788
South America,2007,380.966
South America,2008,385.031
South America,2009,389.045
South America,2010,393.08
South America,2011,397.135
South America,2012,401.167
South America,2013,405.148
South America,2014,409.129
South America,2015,413.134
South America,2016,417.102
South America,2017,420.983
South America,2018,424.741
South America,2019,428.318
South America,2020,431.53
South America,2021,434.25
