year,month,date_excel,date,CO2_ppm,CO2_seasonally_adjusted_ppm,CO2_fit_ppm,CO2_seasonally_adjusted_fit_ppm,CO2_filled_ppm,CO2_seasonally_adjusted_filled_ppm
1973,7,26860,1973.537,330.87,330.16,330.45,329.77,330.87,330.16
1973,8,26891,1973.6219,329.31,330.64,328.52,329.88,329.31,330.64
1973,9,26922,1973.7068,327.51,330.55,326.91,329.96,327.51,330.55
1973,10,26952,1973.789,327.18,330.32,326.88,330.01,327.18,330.32
1973,11,26983,1973.874,328.16,330.13,328.1,330.05,328.16,330.13
1973,12,27013,1973.9562,328.64,329.44,329.28,330.07,328.64,329.44
1974,1,27044,1974.0411,329.35,329.31,330.15,330.09,329.35,329.31
1974,2,27075,1974.126,330.71,330.05,330.79,330.12,330.71,330.05
1974,3,27103,1974.2027,331.48,330.14,331.5,330.14,331.48,330.14
1974,4,27134,1974.2877,332.65,330.22,332.62,330.18,332.65,330.22
1974,5,27164,1974.3699,333.09,330.13,333.18,330.22,333.09,330.13
1974,6,27195,1974.4548,332.25,330.01,332.48,330.26,332.25,330.01
1974,7,27225,1974.537,331.18,330.47,330.99,330.31,331.18,330.47
1974,8,27256,1974.6219,329.39,330.73,328.99,330.36,329.39,330.73
1974,9,27287,1974.7068,327.43,330.47,327.35,330.41,327.43,330.47
1974,10,27317,1974.789,327.37,330.52,327.32,330.46,327.37,330.52
1974,11,27348,1974.874,328.46,330.43,328.57,330.52,328.46,330.43
1974,12,27378,1974.9562,329.57,330.38,329.79,330.58,329.57,330.38
1975,1,27409,1975.0411,330.4,330.36,330.71,330.65,330.4,330.36
1975,2,27440,1975.126,331.4,330.74,331.41,330.74,331.4,330.74
1975,3,27468,1975.2027,332.04,330.69,332.17,330.82,332.04,330.69
1975,4,27499,1975.2877,333.31,330.87,333.36,330.91,333.31,330.87
1975,5,27529,1975.3699,333.97,331,333.97,331.01,333.97,331
1975,6,27560,1975.4548,333.6,331.36,333.33,331.1,333.6,331.36
1975,7,27590,1975.537,331.9,331.19,331.88,331.2,331.9,331.19
1975,8,27621,1975.6219,330.06,331.39,329.92,331.29,330.06,331.39
1975,9,27652,1975.7068,328.56,331.61,328.32,331.39,328.56,331.61
1975,10,27682,1975.789,328.34,331.5,328.32,331.47,328.34,331.5
1975,11,27713,1975.874,329.49,331.47,329.6,331.56,329.49,331.47
1975,12,27743,1975.9562,330.76,331.57,330.84,331.64,330.76,331.57
1976,1,27774,1976.041,331.75,331.7,331.77,331.72,331.75,331.7
1976,2,27805,1976.1257,332.57,331.9,332.47,331.8,332.57,331.9
1976,3,27834,1976.2049,333.5,332.12,333.26,331.87,333.5,332.12
1976,4,27865,1976.2896,334.58,332.12,334.43,331.95,334.58,332.12
1976,5,27895,1976.3716,334.88,331.9,335,332.03,334.88,331.9
1976,6,27926,1976.4563,334.33,332.1,334.32,332.11,334.33,332.1
1976,7,27956,1976.5383,333.05,332.37,332.85,332.19,333.05,332.37
1976,8,27987,1976.623,330.94,332.31,330.89,332.29,330.94,332.31
1976,9,28018,1976.7077,329.3,332.38,329.3,332.39,329.3,332.38
1976,10,28048,1976.7896,328.94,332.11,329.35,332.5,328.94,332.11
1976,11,28079,1976.8743,330.31,332.29,330.67,332.63,330.31,332.29
1976,12,28109,1976.9563,331.68,332.49,331.98,332.77,331.68,332.49
1977,1,28140,1977.0411,332.93,332.88,332.99,332.93,332.93,332.88
1977,2,28171,1977.126,333.42,332.75,333.78,333.11,333.42,332.75
1977,3,28199,1977.2027,334.7,333.35,334.64,333.27,334.7,333.35
1977,4,28230,1977.2877,336.07,333.62,335.92,333.46,336.07,333.62
1977,5,28260,1977.3699,336.75,333.76,336.62,333.64,336.75,333.76
1977,6,28291,1977.4548,336.27,334.01,336.06,333.82,336.27,334.01
1977,7,28321,1977.537,334.92,334.2,334.67,333.99,334.92,334.2
1977,8,28352,1977.6219,332.75,334.1,332.77,334.15,332.75,334.1
1977,9,28383,1977.7068,331.59,334.66,331.22,334.31,331.59,334.66
1977,10,28413,1977.789,331.16,334.35,331.29,334.46,331.16,334.35
1977,11,28444,1977.874,332.4,334.4,332.63,334.6,332.4,334.4
1977,12,28474,1977.9562,333.85,334.66,333.94,334.74,333.85,334.66
1978,1,28505,1978.0411,334.97,334.93,334.93,334.88,334.97,334.93
1978,2,28536,1978.126,335.39,334.72,335.69,335.01,335.39,334.72
1978,3,28564,1978.2027,336.64,335.28,336.5,335.13,336.64,335.28
1978,4,28595,1978.2877,337.76,335.3,337.73,335.25,337.76,335.3
1978,5,28625,1978.3699,338.01,335.01,338.37,335.37,338.01,335.01
1978,6,28656,1978.4548,337.9,335.63,337.74,335.49,337.9,335.63
1978,7,28686,1978.537,336.54,335.82,336.28,335.6,336.54,335.82
1978,8,28717,1978.6219,334.68,336.03,334.31,335.7,334.68,336.03
1978,9,28748,1978.7068,332.76,335.84,332.7,335.8,332.76,335.84
1978,10,28778,1978.789,332.55,335.74,332.71,335.89,332.55,335.74
1978,11,28809,1978.874,333.92,335.92,334.01,335.99,333.92,335.92
1978,12,28839,1978.9562,334.95,335.77,335.28,336.08,334.95,335.77
1979,1,28870,1979.0411,336.23,336.18,336.25,336.19,336.23,336.18
1979,2,28901,1979.126,336.76,336.09,336.99,336.31,336.76,336.09
1979,3,28929,1979.2027,337.96,336.6,337.79,336.41,337.96,336.6
1979,4,28960,1979.2877,338.88,336.41,339.02,336.54,338.88,336.41
1979,5,28990,1979.3699,339.47,336.46,339.68,336.67,339.47,336.46
1979,6,29021,1979.4548,339.29,337.01,339.06,336.8,339.29,337.01
1979,7,29051,1979.537,337.73,337.01,337.63,336.94,337.73,337.01
1979,8,29082,1979.6219,336.09,337.44,335.69,337.08,336.09,337.44
1979,9,29113,1979.7068,333.92,337.01,334.11,337.22,333.92,337.01
1979,10,29143,1979.789,333.86,337.07,334.17,337.37,333.86,337.07
1979,11,29174,1979.874,335.29,337.3,335.54,337.52,335.29,337.3
1979,12,29204,1979.9562,336.73,337.55,336.88,337.68,336.73,337.55
1980,1,29235,1980.041,338.01,337.97,337.91,337.85,338.01,337.97
1980,2,29266,1980.1257,338.36,337.69,338.7,338.02,338.36,337.69
1980,3,29295,1980.2049,340.07,338.68,339.58,338.17,340.07,338.68
1980,4,29326,1980.2896,340.76,338.26,340.85,338.33,340.76,338.26
1980,5,29356,1980.3716,341.47,338.45,341.5,338.48,341.47,338.45
1980,6,29387,1980.4563,341.17,338.92,340.87,338.63,341.17,338.92
1980,7,29417,1980.5383,339.56,338.86,339.43,338.77,339.56,338.86
1980,8,29448,1980.623,337.6,338.99,337.47,338.9,337.6,338.99
1980,9,29479,1980.7077,335.88,339,335.89,339.02,335.88,339
1980,10,29509,1980.7896,336.02,339.23,335.93,339.13,336.02,339.23
1980,11,29540,1980.8743,337.1,339.11,337.25,339.24,337.1,339.11
1980,12,29570,1980.9563,338.21,339.03,338.54,339.34,338.21,339.03
1981,1,29601,1981.0411,339.24,339.19,339.5,339.45,339.24,339.19
1981,2,29632,1981.126,340.48,339.8,340.23,339.55,340.48,339.8
1981,3,29660,1981.2027,341.38,340.01,341.02,339.63,341.38,340.01
1981,4,29691,1981.2877,342.5,340.02,342.23,339.73,342.5,340.02
1981,5,29721,1981.3699,342.91,339.88,342.84,339.81,342.91,339.88
1981,6,29752,1981.4548,342.25,339.96,342.16,339.89,342.25,339.96
1981,7,29782,1981.537,340.49,339.76,340.67,339.98,340.49,339.76
1981,8,29813,1981.6219,338.43,339.8,338.67,340.07,338.43,339.8
1981,9,29844,1981.7068,336.69,339.81,337.03,340.16,336.69,339.81
1981,10,29874,1981.789,336.86,340.08,337.05,340.26,336.86,340.08
1981,11,29905,1981.874,338.36,340.38,338.38,340.37,338.36,340.38
1981,12,29935,1981.9562,339.61,340.44,339.67,340.48,339.61,340.44
1982,1,29966,1982.0411,340.75,340.71,340.65,340.59,340.75,340.71
1982,2,29997,1982.126,341.61,340.94,341.39,340.7,341.61,340.94
1982,3,30025,1982.2027,342.7,341.32,342.18,340.79,342.7,341.32
1982,4,30056,1982.2877,343.57,341.07,343.39,340.88,343.57,341.07
1982,5,30086,1982.3699,344.14,341.1,344,340.96,344.14,341.1
1982,6,30117,1982.4548,343.35,341.05,343.32,341.04,343.35,341.05
1982,7,30147,1982.537,342.06,341.33,341.81,341.12,342.06,341.33
1982,8,30178,1982.6219,339.81,341.18,339.79,341.2,339.81,341.18
1982,9,30209,1982.7068,337.98,341.1,338.14,341.28,337.98,341.1
1982,10,30239,1982.789,337.86,341.1,338.15,341.38,337.86,341.1
1982,11,30270,1982.874,339.26,341.29,339.49,341.49,339.26,341.29
1982,12,30300,1982.9562,340.49,341.32,340.81,341.62,340.49,341.32
1983,1,30331,1983.0411,341.38,341.33,341.84,341.78,341.38,341.33
1983,2,30362,1983.126,342.52,341.84,342.64,341.95,342.52,341.84
1983,3,30390,1983.2027,343.1,341.72,343.51,342.12,343.1,341.72
1983,4,30421,1983.2877,344.94,342.44,344.83,342.31,344.94,342.44
1983,5,30451,1983.3699,345.76,342.71,345.54,342.5,345.76,342.71
1983,6,30482,1983.4548,345.32,343.01,344.97,342.69,345.32,343.01
1983,7,30512,1983.537,343.98,343.25,343.56,342.86,343.98,343.25
1983,8,30543,1983.6219,342.38,343.75,341.62,343.03,342.38,343.75
1983,9,30574,1983.7068,339.87,343,340.04,343.19,339.87,343
1983,10,30604,1983.789,339.99,343.24,340.1,343.34,339.99,343.24
1983,11,30635,1983.874,341.15,343.19,341.47,343.48,341.15,343.19
1983,12,30665,1983.9562,342.99,343.82,342.81,343.62,342.99,343.82
1984,1,30696,1984.041,343.7,343.65,343.82,343.76,343.7,343.65
1984,2,30727,1984.1257,344.5,343.82,344.58,343.89,344.5,343.82
1984,3,30756,1984.2049,345.28,343.87,345.44,344.01,345.28,343.87
1984,4,30787,1984.2896,347.05,344.52,346.69,344.14,347.05,344.52
1984,5,30817,1984.3716,347.43,344.38,347.32,344.27,347.43,344.38
1984,6,30848,1984.4563,346.8,344.51,346.65,344.39,346.8,344.51
1984,7,30878,1984.5383,345.39,344.69,345.18,344.5,345.39,344.69
1984,8,30909,1984.623,343.28,344.68,343.18,344.62,343.28,344.68
1984,9,30940,1984.7077,341.07,344.23,341.57,344.74,341.07,344.23
1984,10,30970,1984.7896,341.35,344.6,341.62,344.86,341.35,344.6
1984,11,31001,1984.8743,342.98,345.01,342.98,344.99,342.98,345.01
1984,12,31031,1984.9563,344.22,345.05,344.31,345.12,344.22,345.05
1985,1,31062,1985.0411,344.97,344.92,345.31,345.25,344.97,344.92
1985,2,31093,1985.126,345.99,345.31,346.08,345.39,345.99,345.31
1985,3,31121,1985.2027,347.42,346.04,346.91,345.5,347.42,346.04
1985,4,31152,1985.2877,348.35,345.83,348.16,345.62,348.35,345.83
1985,5,31182,1985.3699,348.93,345.86,348.8,345.73,348.93,345.86
1985,6,31213,1985.4548,348.25,345.93,348.13,345.83,348.25,345.93
1985,7,31243,1985.537,346.56,345.82,346.63,345.93,346.56,345.82
1985,8,31274,1985.6219,344.67,346.06,344.6,346.02,344.67,346.06
1985,9,31305,1985.7068,343.09,346.24,342.93,346.11,343.09,346.24
1985,10,31335,1985.789,342.8,346.07,342.93,346.19,342.8,346.07
1985,11,31366,1985.874,344.24,346.28,344.26,346.28,344.24,346.28
1985,12,31396,1985.9562,345.56,346.39,345.55,346.37,345.56,346.39
1986,1,31427,1986.0411,346.3,346.25,346.53,346.47,346.3,346.25
1986,2,31458,1986.126,346.95,346.26,347.28,346.58,346.95,346.26
1986,3,31486,1986.2027,347.85,346.46,348.1,346.69,347.85,346.46
1986,4,31517,1986.2877,349.55,347.03,349.35,346.81,349.55,347.03
1986,5,31547,1986.3699,350.22,347.14,350.01,346.93,350.22,347.14
1986,6,31578,1986.4548,349.55,347.23,349.37,347.06,349.55,347.23
1986,7,31608,1986.537,347.94,347.2,347.89,347.19,347.94,347.2
1986,8,31639,1986.6219,345.9,347.29,345.89,347.31,345.9,347.29
1986,9,31670,1986.7068,344.85,348.02,344.26,347.44,344.85,348.02
1986,10,31700,1986.789,344.17,347.45,344.3,347.56,344.17,347.45
1986,11,31731,1986.874,345.66,347.71,345.67,347.7,345.66,347.71
1986,12,31761,1986.9562,346.9,347.74,347.01,347.83,346.9,347.74
1987,1,31792,1987.0411,348.02,347.98,348.03,347.98,348.02,347.98
1987,2,31823,1987.126,348.48,347.79,348.83,348.13,348.48,347.79
1987,3,31851,1987.2027,349.42,348.02,349.7,348.29,349.42,348.02
1987,4,31882,1987.2877,350.98,348.45,351.02,348.47,350.98,348.45
1987,5,31912,1987.3699,351.85,348.76,351.75,348.66,351.85,348.76
1987,6,31943,1987.4548,351.26,348.92,351.17,348.86,351.26,348.92
1987,7,31973,1987.537,349.51,348.77,349.77,349.06,349.51,348.77
1987,8,32004,1987.6219,348.1,349.49,347.85,349.28,348.1,349.49
1987,9,32035,1987.7068,346.45,349.62,346.31,349.5,346.45,349.62
1987,10,32065,1987.789,346.36,349.65,346.44,349.72,346.36,349.65
1987,11,32096,1987.874,347.81,349.87,347.91,349.94,347.81,349.87
1987,12,32126,1987.9562,348.96,349.81,349.34,350.16,348.96,349.81
1988,1,32157,1988.041,350.43,350.39,350.45,350.39,350.43,350.39
1988,2,32188,1988.1257,351.73,351.04,351.31,350.61,351.73,351.04
1988,3,32217,1988.2049,352.22,350.79,352.26,350.81,352.22,350.79
1988,4,32248,1988.2896,353.59,351.02,353.6,351.02,353.59,351.02
1988,5,32278,1988.3716,354.22,351.12,354.31,351.21,354.22,351.12
1988,6,32309,1988.4563,353.8,351.48,353.7,351.4,353.8,351.48
