country,sector,year,withdrawal_billion_m3,metadata_note
Uganda,agricultural,1970,0.12,
Uganda,agricultural,2002,0.12,
Uganda,agricultural,2008,0.259,
United Republic of Tanzania,agricultural,1994,1.04,
United Republic of Tanzania,agricultural,2002,4.632,[47]
Zambia,agricultural,1992,1.339,
Zambia,agricultural,1994,1.318,
Zambia,agricultural,2002,1.152,[48]
Zimbabwe,agricultural,1987,0.964,
Zimbabwe,agricultural,2002,3.318,[49]
Zimbabwe,agricultural,2007,2.93,[50]
Zimbabwe,agricultural,2017,2.77,
Antigua and Barbuda,agricultural,1990,0.001,
Antigua and Barbuda,agricultural,1997,0.0013,[51]
Antigua and Barbuda,agricultural,2005,0.0013,"[52,53]"
Antigua and Barbuda,agricultural,2012,0.0018,
Argentina,agricultural,1995,21.52,
Argentina,agricultural,2000,21.52,
Argentina,agricultural,2011,27.93,
Barbados,agricultural,1989,0.0548,[54]
Barbados,agricultural,1996,0.0548,
Barbados,agricultural,2005,0.0548,"[55,56]"
Belize,agricultural,1987,0.018,
Belize,agricultural,1990,0.019,
Belize,agricultural,1993,0.02,
Belize,agricultural,2000,0.0684,
Bolivia (Plurinational State of),agricultural,1987,1.054,
Bolivia (Plurinational State of),agricultural,1999,1.777,[57]
Bolivia (Plurinational State of),agricultural,2008,1.92,
Brazil,agricultural,1996,33.43,
Brazil,agricultural,2006,31.7,
Brazil,agricultural,2010,44.9,
Brazil,agricultural,2017,39.43,
Canada,agricultural,1991,3.991,[58]
Canada,agricultural,1996,4.104,[59]
Canada,agricultural,2007,2.322,
Canada,agricultural,2010,4.749,"[60,61]"
Canada,agricultural,2015,2.639,
Chile,agricultural,2006,29.42,
Colombia,agricultural,1996,3.308,
Colombia,agricultural,2000,4.92,
Colombia,agricultural,2008,6.391,
Costa Rica,agricultural,2012,1.673,
Costa Rica,agricultural,2015,2.302,
Cuba,agricultural,1995,2.666,
Cuba,agricultural,2007,2.476,
Cuba,agricultural,2010,3.569,
Cuba,agricultural,2013,4.519,
Dominica,agricultural,2010,0.001,
Dominican Republic,agricultural,2000,4.2,
Dominican Republic,agricultural,2005,4.487,
Dominican Republic,agricultural,2010,5.715,
Dominican Republic,agricultural,2015,7.563,[62]
Ecuador,agricultural,2000,8.076,[63]
Ecuador,agricultural,2005,8.076,"[64,65]"
El Salvador,agricultural,1992,0.336,
El Salvador,agricultural,2000,0.76,
El Salvador,agricultural,2005,1.431,
Grenada,agricultural,1997,0.0022,[66]
Grenada,agricultural,2014,0.0021,
Guatemala,agricultural,2001,1.472,
Guatemala,agricultural,2006,1.886,
Guyana,agricultural,1992,1.438,
Guyana,agricultural,2000,1.6,
Guyana,agricultural,2010,1.363,[67]
Haiti,agricultural,1991,0.9246,
Haiti,agricultural,1995,1.169,
Haiti,agricultural,2009,1.209,[68]
Honduras,agricultural,2003,1.178,
Jamaica,agricultural,1993,0.696,
Jamaica,agricultural,2007,0.448,
Jamaica,agricultural,2016,0.114,
Mexico,agricultural,1995,62.5,
Mexico,agricultural,2002,56.1,
Mexico,agricultural,2007,60.57,
Mexico,agricultural,2012,63.35,
Mexico,agricultural,2017,66.8,
Nicaragua,agricultural,2001,1.18,
Nicaragua,agricultural,2011,1.185,
Panama,agricultural,2010,0.446,
Panama,agricultural,2016,0.4461,
Paraguay,agricultural,1987,0.3354,
Paraguay,agricultural,2000,0.35,
Paraguay,agricultural,2012,1.897,
Peru,agricultural,2008,12.12,
Peru,agricultural,2016,13.1,
Puerto Rico,agricultural,1990,0.2063,[69]
Puerto Rico,agricultural,2000,0.1306,
Puerto Rico,agricultural,2005,0.0739,[70]
Puerto Rico,agricultural,2010,0.0641,[71]
Puerto Rico,agricultural,2015,0.1135,
Saint Kitts and Nevis,agricultural,1997,2.00E-04,[72]
Saint Kitts and Nevis,agricultural,2012,2.00E-04,
Saint Lucia,agricultural,2007,0.0304,
Saint Vincent and the Grenadines,agricultural,1990,0.0101,[73]
Saint Vincent and the Grenadines,agricultural,2013,0,
Suriname,agricultural,1987,0.41,
Suriname,agricultural,2000,0.62,
Suriname,agricultural,2006,0.4311,[74]
Trinidad and Tobago,agricultural,1997,0.0156,
Trinidad and Tobago,agricultural,2000,0.017,
Trinidad and Tobago,agricultural,2005,0.015,
Trinidad and Tobago,agricultural,2011,0.0167,
United States of America,agricultural,1969,100.1,
United States of America,agricultural,1974,106.5,
United States of America,agricultural,1979,117.1,
United States of America,agricultural,1990,194.7,[75]
United States of America,agricultural,2000,196.5,"[76,77]"
United States of America,agricultural,2005,191.9,"[78,79]"
United States of America,agricultural,2010,175.1,"[80,81]"
United States of America,agricultural,2015,176.2,
Uruguay,agricultural,1965,0.5915,
Uruguay,agricultural,2000,3.17,
Venezuela (Bolivarian Republic of),agricultural,1970,1.886,
Venezuela (Bolivarian Republic of),agricultural,2000,3.97,
Venezuela (Bolivarian Republic of),agricultural,2007,16.71,
Venezuela (Bolivarian Republic of),agricultural,2008,16.71,[82]
Afghanistan,agricultural,1987,25.85,
Afghanistan,agricultural,1998,20,
Armenia,agricultural,1995,1.94,
Armenia,agricultural,2002,1.14,
Armenia,agricultural,2007,1.89,
Armenia,agricultural,2012,2.108,
Armenia,agricultural,2017,2.127,
Azerbaijan,agricultural,1992,10.93,
Azerbaijan,agricultural,1997,9.254,
Azerbaijan,agricultural,2002,6.376,
Azerbaijan,agricultural,2007,8.581,
Azerbaijan,agricultural,2012,8.887,
Azerbaijan,agricultural,2017,9.27,
Bahrain,agricultural,1990,0.135,
Bahrain,agricultural,2000,0.17,
Bahrain,agricultural,2003,0.1592,
Bahrain,agricultural,2016,0.1447,
Bangladesh,agricultural,2008,31.5,[83]
Bhutan,agricultural,2008,0.318,
Brunei Darussalam,agricultural,1995,0.0053,[84]
Cambodia,agricultural,2006,2.053,
China,agricultural,1980,391.2,
China,agricultural,1985,415.2,
China,agricultural,1990,415,
China,agricultural,1993,407.7,
China,agricultural,2000,378.4,
China,agricultural,2007,360,
China,agricultural,2012,388,
China,agricultural,2015,385.2,
Democratic People's Republic of Korea,agricultural,1995,6.61,
Democratic People's Republic of Korea,agricultural,2005,6.61,
Georgia,agricultural,2005,1.055,[85]
India,agricultural,1975,353.4,
India,agricultural,1980,411.7,
India,agricultural,1986,468,
India,agricultural,1990,460,
India,agricultural,2000,558.4,
India,agricultural,2010,688,
Indonesia,agricultural,1990,69.24,
Indonesia,agricultural,2000,92.76,
Indonesia,agricultural,2016,189.7,
Iran (Islamic Republic of),agricultural,1995,76,
Iran (Islamic Republic of),agricultural,2001,83.75,
Iran (Islamic Republic of),agricultural,2004,86,
Iraq,agricultural,1975,39.53,
Iraq,agricultural,1980,39.77,
Iraq,agricultural,1985,40,
Iraq,agricultural,1990,39.38,
Iraq,agricultural,1995,45.69,
Iraq,agricultural,2000,52,
Iraq,agricultural,2016,35.27,
Israel,agricultural,1970,1.249,
Israel,agricultural,1975,1.242,
Israel,agricultural,1980,1.235,
Israel,agricultural,1990,1.216,
Israel,agricultural,2002,1.021,
Israel,agricultural,2004,1.129,
Israel,agricultural,2010,1.1,
Israel,agricultural,2017,1.249,
Japan,agricultural,1980,58,
Japan,agricultural,1992,58.6,
Japan,agricultural,1997,58.88,
Japan,agricultural,2002,56.05,[86]
Japan,agricultural,2007,54.5,[87]
Japan,agricultural,2009,54.43,[88]
Jordan,agricultural,1975,0.293,
Jordan,agricultural,1980,0.377,
Jordan,agricultural,1985,0.461,
Jordan,agricultural,1992,0.737,
Jordan,agricultural,2002,0.517,[89]
Jordan,agricultural,2007,0.589,[90]
Jordan,agricultural,2012,0.462,[91]
Jordan,agricultural,2016,0.5547,[92]
Kazakhstan,agricultural,1995,27.41,
Kazakhstan,agricultural,2002,15.17,
Kazakhstan,agricultural,2007,14.46,
Kazakhstan,agricultural,2012,12.49,
Kazakhstan,agricultural,2017,15.12,
Kuwait,agricultural,1994,0.324,
Kuwait,agricultural,2002,0.4919,
Kuwait,agricultural,2017,0.7784,
Kyrgyzstan,agricultural,1994,9.496,
Kyrgyzstan,agricultural,2000,9.45,
Kyrgyzstan,agricultural,2006,7.447,
Kyrgyzstan,agricultural,2011,7.1,
Lao People's Democratic Republic,agricultural,2005,3.193,[93]
Lao People's Democratic Republic,agricultural,2017,7.02,
Lebanon,agricultural,1975,0.638,
Lebanon,agricultural,1994,0.875,
Lebanon,agricultural,2000,0.92,
Lebanon,agricultural,2005,0.78,
Lebanon,agricultural,2015,0.7,
Malaysia,agricultural,1990,8.3,
Malaysia,agricultural,1996,2.505,[94]
Maldives,agricultural,1987,0,
Maldives,agricultural,2008,0,
Mongolia,agricultural,1993,0.227,
Mongolia,agricultural,2006,0.224,
Mongolia,agricultural,2009,0.242,
Mongolia,agricultural,2016,0.2509,
Myanmar,agricultural,1987,27.86,
Myanmar,agricultural,2000,29.57,
Nepal,agricultural,2000,9.32,"[95,96]"
Nepal,agricultural,2006,9.32,[97]
Oman,agricultural,1991,1.148,
Oman,agricultural,2000,1.23,
Oman,agricultural,2003,1.168,
Oman,agricultural,2013,1.607,
Pakistan,agricultural,1975,150.3,
Pakistan,agricultural,1991,150.6,
Pakistan,agricultural,2000,162.7,
Pakistan,agricultural,2008,172.4,
Palestine,agricultural,2001,0.167,
Palestine,agricultural,2005,0.189,
Palestine,agricultural,2017,0.162,
Papua New Guinea,agricultural,2000,0.001,
Papua New Guinea,agricultural,2005,0.001,
Philippines,agricultural,2007,67.19,
Philippines,agricultural,2012,67.91,
Philippines,agricultural,2017,67.97,
Qatar,agricultural,1994,0.2106,
Qatar,agricultural,2000,0.21,
Qatar,agricultural,2007,0.254,
Qatar,agricultural,2012,0.2888,
Qatar,agricultural,2016,0.2917,
Republic of Korea,agricultural,1990,14.1,
Republic of Korea,agricultural,1997,15.29,
Republic of Korea,agricultural,2002,16.1,[98]
Republic of Korea,agricultural,2003,15.96,
Saudi Arabia,agricultural,1992,15.31,
Saudi Arabia,agricultural,2006,20.83,
Saudi Arabia,agricultural,2012,17.51,[99]
Saudi Arabia,agricultural,2017,19.2,[100]
Singapore,agricultural,1975,0.0076,
Sri Lanka,agricultural,1990,9.379,
Sri Lanka,agricultural,2000,12,
Sri Lanka,agricultural,2005,11.31,
Syrian Arab Republic,agricultural,1997,12.84,
Syrian Arab Republic,agricultural,2002,14.41,
Syrian Arab Republic,agricultural,2003,14.67,
Tajikistan,agricultural,1994,10.96,
Tajikistan,agricultural,2000,10.96,
Tajikistan,agricultural,2006,10.44,
Thailand,agricultural,2007,51.79,
Timor-Leste,agricultural,2004,1.071,
Turkey,agricultural,1992,22.9,
Turkey,agricultural,2000,31.5,
Turkey,agricultural,2003,29.6,
Turkey,agricultural,2012,43.78,
Turkey,agricultural,2017,50.05,
Turkmenistan,agricultural,1994,23.29,
Turkmenistan,agricultural,2000,24.04,
Turkmenistan,agricultural,2004,26.36,
United Arab Emirates,agricultural,1980,0.72,
United Arab Emirates,agricultural,1995,1.408,
United Arab Emirates,agricultural,2000,2.279,
United Arab Emirates,agricultural,2005,3.312,
Uzbekistan,agricultural,1994,54.37,
Uzbekistan,agricultural,2001,54.78,
Uzbekistan,agricultural,2005,50.4,
Uzbekistan,agricultural,2017,54.36,
Viet Nam,agricultural,1980,35.04,
Viet Nam,agricultural,1985,40.65,
Viet Nam,agricultural,1990,47,
Viet Nam,agricultural,2005,77.75,
Yemen,agricultural,1990,2.7,
Yemen,agricultural,2000,3.06,
Yemen,agricultural,2005,3.235,
Albania,agricultural,1990,1,
Albania,agricultural,1995,0.67,[101]
Albania,agricultural,2000,1.06,
Albania,agricultural,2006,0.5176,[102]
Albania,agricultural,2017,0.905,
Austria,agricultural,1980,0.09,[103]
Austria,agricultural,1985,0.2,[104]
Austria,agricultural,1990,0.1,[105]
Austria,agricultural,1997,0.1,[106]
Austria,agricultural,2002,0.1,
Austria,agricultural,2010,0.0771,
Belarus,agricultural,1995,0.568,[107]
Belarus,agricultural,2000,0.442,[108]
Belarus,agricultural,2005,0.409,[109]
Belarus,agricultural,2010,0.471,[110]
Belarus,agricultural,2017,0.431,
Belgium,agricultural,1980,0.3612,
Belgium,agricultural,1997,0.016,
Belgium,agricultural,2002,0.0382,[111]
Belgium,agricultural,2007,0.0369,[112]
Belgium,agricultural,2012,0.036,
Belgium,agricultural,2015,0.045,
Bulgaria,agricultural,1990,2.225,
Bulgaria,agricultural,2002,0.743,[113]
Bulgaria,agricultural,2006,0.8759,[114]
Bulgaria,agricultural,2012,0.9494,
Bulgaria,agricultural,2017,0.8345,
Croatia,agricultural,2002,0.0059,
Croatia,agricultural,2007,0.0032,[115]
Croatia,agricultural,2010,0.0086,
Croatia,agricultural,2015,0.076,
Cyprus,agricultural,1975,0.13,
Cyprus,agricultural,1980,0.14,
Cyprus,agricultural,1985,0.155,
Cyprus,agricultural,1990,0.166,
Cyprus,agricultural,1993,0.156,
Cyprus,agricultural,2002,0.1606,[116]
Cyprus,agricultural,2007,0.143,[117]
Cyprus,agricultural,2012,0.171,[118]
Cyprus,agricultural,2017,0.184,
Czechia,agricultural,1985,,[119]
Czechia,agricultural,1990,,[120]
Czechia,agricultural,1997,0.02,[121]
Czechia,agricultural,2002,0.0187,
Czechia,agricultural,2007,0.0298,
Czechia,agricultural,2012,0.0432,[122]
Czechia,agricultural,2017,0.0466,
Denmark,agricultural,1970,0.18,
Denmark,agricultural,1975,0.46,
Denmark,agricultural,1980,0.46,
Denmark,agricultural,1985,0.7,
Denmark,agricultural,1990,0.465,
Denmark,agricultural,1997,0.369,
Denmark,agricultural,2002,0.1652,[123]
Denmark,agricultural,2007,0.1175,[124]
Denmark,agricultural,2012,0.1863,
Denmark,agricultural,2016,0.3267,
Estonia,agricultural,1995,0.008,
Estonia,agricultural,2002,0.03,[125]
Estonia,agricultural,2007,0.0076,[126]
Estonia,agricultural,2012,0.0045,
Estonia,agricultural,2017,0.0045,
Finland,agricultural,1990,0.02,
Finland,agricultural,1995,0.05,
Finland,agricultural,2002,0.05,[127]
Finland,agricultural,2005,0.05,[128]
France,agricultural,1992,4.919,
France,agricultural,1997,3.35,
France,agricultural,2002,4.291,[129]
France,agricultural,2007,3.933,[130]
France,agricultural,2012,2.913,
France,agricultural,2016,3.113,[131]
Germany,agricultural,1991,1.6,
Germany,agricultural,1995,1.6,
Germany,agricultural,2000,1.14,
Germany,agricultural,2007,0.1317,
Germany,agricultural,2010,0.2109,[132]
Germany,agricultural,2016,0.2997,
Greece,agricultural,1970,2.425,[133]
Greece,agricultural,1975,3.576,
Greece,agricultural,1985,4.6,[134]
Greece,agricultural,1992,7.9,[135]
Greece,agricultural,1997,7.6,[136]
Greece,agricultural,2002,8.42,[137]
Greece,agricultural,2007,8.458,[138]
Greece,agricultural,2012,8.283,
Greece,agricultural,2016,9.041,
Hungary,agricultural,1970,0.665,[139]
Hungary,agricultural,1975,0.8903,[140]
Hungary,agricultural,1985,2.286,
Hungary,agricultural,1992,0.949,[141]
Hungary,agricultural,1996,0.4556,[142]
Hungary,agricultural,2002,0.6796,[143]
Hungary,agricultural,2006,0.3054,[144]
Hungary,agricultural,2012,0.322,[145]
Hungary,agricultural,2017,0.5186,
Iceland,agricultural,1980,0.004,
Iceland,agricultural,1985,0.004,[146]
Iceland,agricultural,1992,0.07,[147]
Iceland,agricultural,2002,0.07,[148]
Iceland,agricultural,2004,0.07,[149]
Iceland,agricultural,2012,3.00E-04,
Iceland,agricultural,2015,3.00E-04,
Ireland,agricultural,1970,0.179,
Ireland,agricultural,1980,0.13,
Ireland,agricultural,1994,0.179,[150]
Italy,agricultural,1970,25.6,
Italy,agricultural,2000,20.01,
Italy,agricultural,2007,12.89,[151]
Italy,agricultural,2013,17,
Latvia,agricultural,1995,0.036,
Latvia,agricultural,2002,0.0532,[152]
Latvia,agricultural,2007,0.0506,[153]
Latvia,agricultural,2012,0.0408,[154]
Latvia,agricultural,2017,0.0615,
Lithuania,agricultural,1995,0.008,
Lithuania,agricultural,2001,0.053,[155]
Lithuania,agricultural,2007,0.0818,[156]
Lithuania,agricultural,2009,0.0793,[157]
Lithuania,agricultural,2017,0.0589,
Luxembourg,agricultural,1995,2.00E-04,
Luxembourg,agricultural,1999,2.00E-04,
Luxembourg,agricultural,2012,2.00E-04,[158]
Luxembourg,agricultural,2017,4.00E-04,
Malta,agricultural,1995,0.007,
Malta,agricultural,2002,0.0189,[159]
Malta,agricultural,2007,0.0203,[160]
Malta,agricultural,2012,0.0241,[161]
Malta,agricultural,2017,0.0254,
Monaco,agricultural,1990,0,
Monaco,agricultural,1997,0,
Monaco,agricultural,2002,0,
Monaco,agricultural,2007,0,
Monaco,agricultural,2009,0,
Montenegro,agricultural,2007,0.0066,
Montenegro,agricultural,2010,0.0017,
Netherlands,agricultural,1991,0.184,
Netherlands,agricultural,1996,0.23,[162]
Netherlands,agricultural,2002,0.0526,[163]
Netherlands,agricultural,2007,0.0719,[164]
Netherlands,agricultural,2012,0.0602,[165]
Netherlands,agricultural,2016,0.0765,
North Macedonia,agricultural,1996,1.066,
North Macedonia,agricultural,2002,0.2814,[166]
North Macedonia,agricultural,2007,0.1255,[167]
North Macedonia,agricultural,2012,1.353,
North Macedonia,agricultural,2015,0.139,
Norway,agricultural,1996,0.73,
Norway,agricultural,2002,0.808,
Norway,agricultural,2006,0.8449,
Poland,agricultural,1970,1.681,
Poland,agricultural,1975,1.662,[168]
Poland,agricultural,1980,1.323,[169]
Poland,agricultural,1985,1.606,[170]
Poland,agricultural,1992,1.37,[171]
Poland,agricultural,1997,1.083,[172]
Poland,agricultural,2002,1.108,[173]
Poland,agricultural,2007,1.122,[174]
Poland,agricultural,2012,1.102,[175]
Poland,agricultural,2017,1.018,
Portugal,agricultural,1991,5.1,
Portugal,agricultural,1995,10,
Portugal,agricultural,1998,8.767,
Republic of Moldova,agricultural,1992,0.775,
Republic of Moldova,agricultural,1996,0.35,
Republic of Moldova,agricultural,2007,0.036,
Republic of Moldova,agricultural,2012,0.039,
Republic of Moldova,agricultural,2017,0.042,
Romania,agricultural,1970,3.4,
Romania,agricultural,1975,5.75,
Romania,agricultural,1980,6.79,
Romania,agricultural,1985,8.49,
Romania,agricultural,1990,9.1,
Romania,agricultural,1997,2.98,
Romania,agricultural,2002,1.192,[176]
Romania,agricultural,2007,1.099,[177]
Romania,agricultural,2012,1.093,[178]
Romania,agricultural,2017,1.491,
Russian Federation,agricultural,1994,15.3,
Russian Federation,agricultural,2001,13.2,
Russian Federation,agricultural,2017,18.66,
Serbia,agricultural,2007,0.1282,[179]
Serbia,agricultural,2012,0.6245,
Serbia,agricultural,2017,0.6608,
Slovakia,agricultural,1992,,[180]
Slovakia,agricultural,1997,0.067,[181]
Slovakia,agricultural,2002,0.056,[182]
Slovakia,agricultural,2007,0.0225,[183]
Slovakia,agricultural,2012,0.0307,[184]
Slovakia,agricultural,2017,0.0316,
Slovenia,agricultural,1992,0.0037,[185]
Slovenia,agricultural,1995,0.0048,[186]
Slovenia,agricultural,2002,0.0066,
Slovenia,agricultural,2007,0.0046,[187]
Slovenia,agricultural,2012,0.0023,[188]
Slovenia,agricultural,2017,0.0039,
Spain,agricultural,1986,28.43,
Spain,agricultural,1991,23.7,[189]
Spain,agricultural,1997,23.41,[190]
Spain,agricultural,2002,23.04,[191]
Spain,agricultural,2007,23.18,[192]
Spain,agricultural,2012,25.47,[193]
Spain,agricultural,2016,20.36,
Sweden,agricultural,1970,0.132,[194]
Sweden,agricultural,1975,0.137,[195]
Sweden,agricultural,1980,0.14,[196]
Sweden,agricultural,1992,0.174,
Sweden,agricultural,1997,0.15,[197]
Sweden,agricultural,2002,0.135,
Sweden,agricultural,2007,0.107,[198]
Sweden,agricultural,2010,0.098,[199]
Sweden,agricultural,2015,0.075,
Switzerland,agricultural,2000,0.05,
Switzerland,agricultural,2012,0.1601,[200]
Ukraine,agricultural,1992,7.865,
Ukraine,agricultural,2000,5.485,
Ukraine,agricultural,2005,4.525,
Ukraine,agricultural,2010,4.454,
Ukraine,agricultural,2017,3.206,
United Kingdom,agricultural,1990,0.6681,
United Kingdom,agricultural,1995,1.723,
United Kingdom,agricultural,2002,1.308,"[201,202]"
United Kingdom,agricultural,2007,1.33,[203]
United Kingdom,agricultural,2012,1.049,[204]
United Kingdom,agricultural,2016,1.183,
Australia,agricultural,1996,15.5,
Australia,agricultural,2001,15.03,
Australia,agricultural,2005,12.24,
Australia,agricultural,2012,9.587,
Australia,agricultural,2017,10.5,
Fiji,agricultural,1987,0.018,
Fiji,agricultural,2000,0.05,
Fiji,agricultural,2005,0.05,
New Zealand,agricultural,1985,0.836,
New Zealand,agricultural,2006,2.82,[205]
New Zealand,agricultural,2010,3.207,[206]
Algeria,industrial,1980,0.12,
Algeria,industrial,1990,0.68,
Algeria,industrial,2000,0.5,
Algeria,industrial,2012,0.415,[207]
Algeria,industrial,2017,0.191,
Angola,industrial,1987,0.048,
Angola,industrial,2000,0.1845,
Angola,industrial,2005,0.2396,
Benin,industrial,1985,0.015,
Benin,industrial,2001,0.03,
Botswana,industrial,1992,0.023,
Botswana,industrial,1995,0.0275,
Botswana,industrial,2000,0.035,[208]
Botswana,industrial,2005,0.0389,
Botswana,industrial,2012,0.0363,
Botswana,industrial,2017,0.0234,
Burkina Faso,industrial,1985,0,
Burkina Faso,industrial,1992,0,
Burkina Faso,industrial,1995,0.003,
Burkina Faso,industrial,2000,0.0161,
Burkina Faso,industrial,2005,0.0217,
Burundi,industrial,1987,0,
Burundi,industrial,2000,0.017,
Burundi,industrial,2005,0.015,
Cabo Verde,industrial,2001,4.00E-04,
Cameroon,industrial,1987,0.076,
Cameroon,industrial,1992,0.076,
