year,Region,A/C units (million)
2016,Indonesia,12.14
1990,Mexico,4.6
1991,Mexico,5.19
1992,Mexico,5.47
1993,Mexico,5.26
1994,Mexico,5.32
1995,Mexico,5.11
1996,Mexico,5.11
1997,Mexico,5.44
1998,Mexico,6.22
1999,Mexico,6.7
2000,Mexico,8.12
2001,Mexico,8.24
2002,Mexico,8.31
2003,Mexico,8.44
2004,Mexico,8.79
2005,Mexico,9.4
2006,Mexico,9.99
2007,Mexico,10.52
2008,Mexico,11.11
2009,Mexico,11.12
2010,Mexico,11.31
2011,Mexico,11.78
2012,Mexico,12.56
2013,Mexico,13.63
2014,Mexico,14.3
2015,Mexico,15.12
2016,Mexico,15.84
1990,Brazil,7.24
1991,Brazil,7.73
1992,Brazil,7.83
1993,Brazil,8.46
1994,Brazil,9.4
1995,Brazil,10.53
1996,Brazil,11.04
1997,Brazil,11.79
1998,Brazil,12.13
1999,Brazil,12.28
2000,Brazil,12.86
2001,Brazil,12.84
2002,Brazil,13.06
2003,Brazil,13.31
2004,Brazil,14.07
2005,Brazil,14.86
2006,Brazil,16.04
2007,Brazil,18.16
2008,Brazil,19.97
2009,Brazil,21.94
2010,Brazil,25.11
2011,Brazil,27.25
2012,Brazil,29.34
2013,Brazil,31.12
2014,Brazil,31.34
2015,Brazil,29.79
2016,Brazil,27.4
1990,Middle East,12.1
1991,Middle East,13.38
1992,Middle East,14.49
1993,Middle East,15.11
1994,Middle East,15.24
1995,Middle East,15.64
1996,Middle East,16.14
1997,Middle East,16.91
1998,Middle East,19.01
1999,Middle East,18.02
2000,Middle East,18.0
2001,Middle East,19.0
2002,Middle East,19.19
2003,Middle East,20.72
2004,Middle East,23.48
2005,Middle East,24.01
2006,Middle East,26.38
2007,Middle East,29.97
2008,Middle East,33.54
2009,Middle East,40.03
2010,Middle East,42.09
2011,Middle East,41.05
2012,Middle East,42.41
2013,Middle East,43.6
2014,Middle East,44.62
2015,Middle East,45.54
2016,Middle East,47.03
1990,Rest of world,91.55
1991,Rest of world,94.24
1992,Rest of world,96.36
1993,Rest of world,99.9
1994,Rest of world,102.03
1995,Rest of world,104.28
1996,Rest of world,107.13
1997,Rest of world,111.13
1998,Rest of world,113.53
1999,Rest of world,115.57
2000,Rest of world,121.28
2001,Rest of world,124.77
2002,Rest of world,128.46
2003,Rest of world,135.08
2004,Rest of world,144.15
2005,Rest of world,152.37
2006,Rest of world,161.48
2007,Rest of world,174.33
2008,Rest of world,183.06
2009,Rest of world,189.35
2010,Rest of world,198.96
2011,Rest of world,207.71
2012,Rest of world,218.41
2013,Rest of world,228.4
2014,Rest of world,235.3
2015,Rest of world,241.15
2016,Rest of world,246.3
1990,World,575.69
1991,World,588.87
1992,World,611.39
1993,World,631.76
1994,World,655.76
1995,World,677.7
1996,World,704.49
1997,World,732.25
1998,World,760.29
1999,World,783.19
2000,World,815.79
2001,World,844.49
2002,World,875.44
2003,World,911.53
2004,World,951.45
2005,World,992.72
2006,World,1045.17
2007,World,1105.3
2008,World,1155.19
2009,World,1208.84
2010,World,1269.05
2011,World,1326.06
2012,World,1391.97
2013,World,1448.66
2014,World,1502.32
2015,World,1563.45
2016,World,1621.72
