"",,,,"2013-2017",,
"Cultivated area (arable land + permanent crops) (1000 ha)","United Republic of Tanzania","World | Africa",2016,15650.0,"E",
"Cultivated area (arable land + permanent crops) (1000 ha)","Zambia","World | Africa",2016,3836.0,"E",
"Cultivated area (arable land + permanent crops) (1000 ha)","Zimbabwe","World | Africa",2016,4100.0,"E",
"Cultivated area (arable land + permanent crops) (1000 ha)","Antigua and Barbuda","World | Americas",2016,5.0,"E",
"Cultivated area (arable land + permanent crops) (1000 ha)","Argentina","World | Americas",2016,40200.0,"E",
"Cultivated area (arable land + permanent crops) (1000 ha)","Bahamas","World | Americas",2016,12.0,"E",
"Cultivated area (arable land + permanent crops) (1000 ha)","Barbados","World | Americas",2016,8.0,"E",
"Cultivated area (arable land + permanent crops) (1000 ha)","Belize","World | Americas",2016,110.0,"E",
"Cultivated area (arable land + permanent crops) (1000 ha)","Bolivia (Plurinational State of)","World | Americas",2016,4685.0,"E",
"Cultivated area (arable land + permanent crops) (1000 ha)","Brazil","World | Americas",2016,87546.0,"E",
"Cultivated area (arable land + permanent crops) (1000 ha)","Canada","World | Americas",2016,48410.0,"E",
"Cultivated area (arable land + permanent crops) (1000 ha)","Chile","World | Americas",2016,1727.0,"E",
"Cultivated area (arable land + permanent crops) (1000 ha)","Colombia","World | Americas",2016,3595.0,"E",
"Cultivated area (arable land + permanent crops) (1000 ha)","Costa Rica","World | Americas",2016,559.5,"E",
"Cultivated area (arable land + permanent crops) (1000 ha)","Cuba","World | Americas",2016,3472.0,"E",
"Cultivated area (arable land + permanent crops) (1000 ha)","Dominica","World | Americas",2016,23.0,"E",
"Cultivated area (arable land + permanent crops) (1000 ha)","Dominican Republic","World | Americas",2016,1155.0,"E",
"Cultivated area (arable land + permanent crops) (1000 ha)","Ecuador","World | Americas",2016,2415.0,"E",
"Cultivated area (arable land + permanent crops) (1000 ha)","El Salvador","World | Americas",2016,947.0,"E",
"Cultivated area (arable land + permanent crops) (1000 ha)","Grenada","World | Americas",2016,7.0,"E",
"Cultivated area (arable land + permanent crops) (1000 ha)","Guatemala","World | Americas",2016,2045.0,"E",
"Cultivated area (arable land + permanent crops) (1000 ha)","Guyana","World | Americas",2016,470.0,"E",
"Cultivated area (arable land + permanent crops) (1000 ha)","Haiti","World | Americas",2016,1350.0,"E",
"Cultivated area (arable land + permanent crops) (1000 ha)","Honduras","World | Americas",2016,1475.0,"E",
"Cultivated area (arable land + permanent crops) (1000 ha)","Jamaica","World | Americas",2016,215.0,"E",
"Cultivated area (arable land + permanent crops) (1000 ha)","Mexico","World | Americas",2016,25187.0,"E",
"Cultivated area (arable land + permanent crops) (1000 ha)","Nicaragua","World | Americas",2016,1790.0,"E",
"Cultivated area (arable land + permanent crops) (1000 ha)","Panama","World | Americas",2016,748.0,"E",
"Cultivated area (arable land + permanent crops) (1000 ha)","Paraguay","World | Americas",2016,4885.0,"E",
"Cultivated area (arable land + permanent crops) (1000 ha)","Peru","World | Americas",2016,4887.0,"E",
"Cultivated area (arable land + permanent crops) (1000 ha)","Puerto Rico","World | Americas",2016,111.0,"E",
"Cultivated area (arable land + permanent crops) (1000 ha)","Saint Kitts and Nevis","World | Americas",2016,5.1,"E",
"Cultivated area (arable land + permanent crops) (1000 ha)","Saint Lucia","World | Americas",2016,10.0,"E",
"Cultivated area (arable land + permanent crops) (1000 ha)","Saint Vincent and the Grenadines","World | Americas",2016,8.0,"E",
"Cultivated area (arable land + permanent crops) (1000 ha)","Suriname","World | Americas",2016,71.0,"E",
"Cultivated area (arable land + permanent crops) (1000 ha)","Trinidad and Tobago","World | Americas",2016,47.0,"E",
"Cultivated area (arable land + permanent crops) (1000 ha)","United States of America","World | Americas",2016,154862.0,"E",
"Cultivated area (arable land + permanent crops) (1000 ha)","Uruguay","World | Americas",2016,2450.0,"E",
"Cultivated area (arable land + permanent crops) (1000 ha)","Venezuela (Bolivarian Republic of)","World | Americas",2016,3400.0,"E",
"Cultivated area (arable land + permanent crops) (1000 ha)","Afghanistan","World | Asia",2016,7910.0,"E",
"Cultivated area (arable land + permanent crops) (1000 ha)","Armenia","World | Asia",2016,504.4,"E",
"Cultivated area (arable land + permanent crops) (1000 ha)","Azerbaijan","World | Asia",2016,2240.0,"E",
"Cultivated area (arable land + permanent crops) (1000 ha)","Bahrain","World | Asia",2016,4.6,"E",
"Cultivated area (arable land + permanent crops) (1000 ha)","Bangladesh","World | Asia",2016,8594.0,"E",
"Cultivated area (arable land + permanent crops) (1000 ha)","Bhutan","World | Asia",2016,106.0,"E",
"Cultivated area (arable land + permanent crops) (1000 ha)","Brunei Darussalam","World | Asia",2016,11.0,"E",
"Cultivated area (arable land + permanent crops) (1000 ha)","Cambodia","World | Asia",2016,3955.0,"E",
"Cultivated area (arable land + permanent crops) (1000 ha)","China","World | Asia",2016,135698.0,"E",
"Cultivated area (arable land + permanent crops) (1000 ha)","Democratic People's Republic of Korea","World | Asia",2016,2580.0,"E",
"Cultivated area (arable land + permanent crops) (1000 ha)","Georgia","World | Asia",2016,454.0,"E",
"Cultivated area (arable land + permanent crops) (1000 ha)","India","World | Asia",2016,169463.0,"E",
"Cultivated area (arable land + permanent crops) (1000 ha)","Indonesia","World | Asia",2016,46000.0,"E",
"Cultivated area (arable land + permanent crops) (1000 ha)","Iran (Islamic Republic of)","World | Asia",2016,16477.0,"E",
"Cultivated area (arable land + permanent crops) (1000 ha)","Iraq","World | Asia",2016,5300.0,"E",
"Cultivated area (arable land + permanent crops) (1000 ha)","Israel","World | Asia",2016,392.0,"E",
"Cultivated area (arable land + permanent crops) (1000 ha)","Japan","World | Asia",2016,4471.0,"E",
"Cultivated area (arable land + permanent crops) (1000 ha)","Jordan","World | Asia",2016,324.0,"E",
"Cultivated area (arable land + permanent crops) (1000 ha)","Kazakhstan","World | Asia",2016,29527.0,"E",
"Cultivated area (arable land + permanent crops) (1000 ha)","Kuwait","World | Asia",2016,14.0,"E",
"Cultivated area (arable land + permanent crops) (1000 ha)","Kyrgyzstan","World | Asia",2016,1364.0,"E",
"Cultivated area (arable land + permanent crops) (1000 ha)","Lao People's Democratic Republic","World | Asia",2016,1694.0,"E",
"Cultivated area (arable land + permanent crops) (1000 ha)","Lebanon","World | Asia",2016,258.0,"E",
"Cultivated area (arable land + permanent crops) (1000 ha)","Malaysia","World | Asia",2016,8342.0,"E",
"Cultivated area (arable land + permanent crops) (1000 ha)","Maldives","World | Asia",2016,6.9,"E",
"Cultivated area (arable land + permanent crops) (1000 ha)","Mongolia","World | Asia",2016,572.2,"E",
"Cultivated area (arable land + permanent crops) (1000 ha)","Myanmar","World | Asia",2016,12458.0,"E",
"Cultivated area (arable land + permanent crops) (1000 ha)","Nepal","World | Asia",2016,2326.0,"E",
"Cultivated area (arable land + permanent crops) (1000 ha)","Oman","World | Asia",2016,85.0,"E",
"Cultivated area (arable land + permanent crops) (1000 ha)","Pakistan","World | Asia",2016,31844.0,"E",
"Cultivated area (arable land + permanent crops) (1000 ha)","Palestine","World | Asia",2016,146.9,"E",
"Cultivated area (arable land + permanent crops) (1000 ha)","Papua New Guinea","World | Asia",2016,1000.0,"E",
"Cultivated area (arable land + permanent crops) (1000 ha)","Philippines","World | Asia",2016,10940.0,"E",
"Cultivated area (arable land + permanent crops) (1000 ha)","Qatar","World | Asia",2016,17.0,"E",
"Cultivated area (arable land + permanent crops) (1000 ha)","Republic of Korea","World | Asia",2016,1644.0,"E",
"Cultivated area (arable land + permanent crops) (1000 ha)","Saudi Arabia","World | Asia",2016,3619.0,"E",
"Cultivated area (arable land + permanent crops) (1000 ha)","Singapore","World | Asia",2016,0.66,"E",
"Cultivated area (arable land + permanent crops) (1000 ha)","Sri Lanka","World | Asia",2016,2300.0,"E",
"Cultivated area (arable land + permanent crops) (1000 ha)","Syrian Arab Republic","World | Asia",2016,5733.0,"E",
"Cultivated area (arable land + permanent crops) (1000 ha)","Tajikistan","World | Asia",2016,863.0,"E",
"Cultivated area (arable land + permanent crops) (1000 ha)","Thailand","World | Asia",2016,21310.0,"E",
"Cultivated area (arable land + permanent crops) (1000 ha)","Timor-Leste","World | Asia",2016,230.0,"E",
"Cultivated area (arable land + permanent crops) (1000 ha)","Turkey","World | Asia",2016,23710.0,"E",
"Cultivated area (arable land + permanent crops) (1000 ha)","Turkmenistan","World | Asia",2016,2000.0,"E",
"Cultivated area (arable land + permanent crops) (1000 ha)","United Arab Emirates","World | Asia",2016,83.8,"E",
"Cultivated area (arable land + permanent crops) (1000 ha)","Uzbekistan","World | Asia",2016,4770.0,"E",
"Cultivated area (arable land + permanent crops) (1000 ha)","Viet Nam","World | Asia",2016,11536.0,"E",
"Cultivated area (arable land + permanent crops) (1000 ha)","Yemen","World | Asia",2016,1546.0,"E",
"Cultivated area (arable land + permanent crops) (1000 ha)","Albania","World | Europe",2016,703.5,"E",
"Cultivated area (arable land + permanent crops) (1000 ha)","Andorra","World | Europe",2016,0.78,"E",
"Cultivated area (arable land + permanent crops) (1000 ha)","Austria","World | Europe",2016,1411.0,"E",
"Cultivated area (arable land + permanent crops) (1000 ha)","Belarus","World | Europe",2016,5795.0,"E",
"Cultivated area (arable land + permanent crops) (1000 ha)","Belgium","World | Europe",2016,872.4,"E",
"Cultivated area (arable land + permanent crops) (1000 ha)","Bosnia and Herzegovina","World | Europe",2016,1130.0,"E",
"Cultivated area (arable land + permanent crops) (1000 ha)","Bulgaria","World | Europe",2016,3637.0,"E",
"Cultivated area (arable land + permanent crops) (1000 ha)","Croatia","World | Europe",2016,944.0,"E",
"Cultivated area (arable land + permanent crops) (1000 ha)","Cyprus","World | Europe",2016,110.9,"E",
"Cultivated area (arable land + permanent crops) (1000 ha)","Czechia","World | Europe",2016,2540.0,"E",
"Cultivated area (arable land + permanent crops) (1000 ha)","Denmark","World | Europe",2016,2378.0,"E",
"Cultivated area (arable land + permanent crops) (1000 ha)","Estonia","World | Europe",2016,699.0,"E",
"Cultivated area (arable land + permanent crops) (1000 ha)","Faroe Islands","World | Europe",2016,3.0,"E",
"Cultivated area (arable land + permanent crops) (1000 ha)","Finland","World | Europe",2016,2249.0,"E",
"Cultivated area (arable land + permanent crops) (1000 ha)","France","World | Europe",2016,19348.0,"E",
"Cultivated area (arable land + permanent crops) (1000 ha)","Germany","World | Europe",2016,11963.0,"E",
"Cultivated area (arable land + permanent crops) (1000 ha)","Greece","World | Europe",2016,3254.0,"E",
"Cultivated area (arable land + permanent crops) (1000 ha)","Holy See","World | Europe",,,"",
"Cultivated area (arable land + permanent crops) (1000 ha)","Hungary","World | Europe",2016,4500.0,"E",
"Cultivated area (arable land + permanent crops) (1000 ha)","Iceland","World | Europe",2016,121.0,"E",
"Cultivated area (arable land + permanent crops) (1000 ha)","Ireland","World | Europe",2016,447.0,"E",
"Cultivated area (arable land + permanent crops) (1000 ha)","Italy","World | Europe",2016,9054.0,"E",
"Cultivated area (arable land + permanent crops) (1000 ha)","Latvia","World | Europe",2016,1296.0,"E",
"Cultivated area (arable land + permanent crops) (1000 ha)","Liechtenstein","World | Europe",2016,2.16,"E",
"Cultivated area (arable land + permanent crops) (1000 ha)","Lithuania","World | Europe",2016,2178.0,"E",
"Cultivated area (arable land + permanent crops) (1000 ha)","Luxembourg","World | Europe",2016,63.4,"E",
"Cultivated area (arable land + permanent crops) (1000 ha)","Malta","World | Europe",2016,10.38,"E",
"Cultivated area (arable land + permanent crops) (1000 ha)","Monaco","World | Europe",,,"",
"Cultivated area (arable land + permanent crops) (1000 ha)","Montenegro","World | Europe",2016,14.0,"E",
"Cultivated area (arable land + permanent crops) (1000 ha)","Netherlands","World | Europe",2016,1066.0,"E",
"Cultivated area (arable land + permanent crops) (1000 ha)","North Macedonia","World | Europe",2016,456.0,"E",
"Cultivated area (arable land + permanent crops) (1000 ha)","Norway","World | Europe",2016,808.1,"E",
"Cultivated area (arable land + permanent crops) (1000 ha)","Poland","World | Europe",2016,11199.0,"E",
"Cultivated area (arable land + permanent crops) (1000 ha)","Portugal","World | Europe",2016,1738.0,"E",
"Cultivated area (arable land + permanent crops) (1000 ha)","Republic of Moldova","World | Europe",2016,2096.0,"E",
"Cultivated area (arable land + permanent crops) (1000 ha)","Romania","World | Europe",2016,9000.0,"E",
"Cultivated area (arable land + permanent crops) (1000 ha)","Russian Federation","World | Europe",2016,124722.0,"E",
"Cultivated area (arable land + permanent crops) (1000 ha)","San Marino","World | Europe",2016,1.0,"E",
"Cultivated area (arable land + permanent crops) (1000 ha)","Serbia","World | Europe",2016,2786.0,"E",
"Cultivated area (arable land + permanent crops) (1000 ha)","Slovakia","World | Europe",2016,1365.0,"E",
"Cultivated area (arable land + permanent crops) (1000 ha)","Slovenia","World | Europe",2016,237.7,"E",
"Cultivated area (arable land + permanent crops) (1000 ha)","Spain","World | Europe",2016,17033.0,"E",
"Cultivated area (arable land + permanent crops) (1000 ha)","Sweden","World | Europe",2016,2580.0,"E",
"Cultivated area (arable land + permanent crops) (1000 ha)","Switzerland","World | Europe",2016,423.8,"E",
"Cultivated area (arable land + permanent crops) (1000 ha)","Ukraine","World | Europe",2016,33673.0,"E",
"Cultivated area (arable land + permanent crops) (1000 ha)","United Kingdom","World | Europe",2016,6073.0,"E",
"Cultivated area (arable land + permanent crops) (1000 ha)","Australia","World | Oceania",2016,46378.0,"E",
"Cultivated area (arable land + permanent crops) (1000 ha)","Cook Islands","World | Oceania",2016,1.5,"E",
"Cultivated area (arable land + permanent crops) (1000 ha)","Fiji","World | Oceania",2016,250.0,"E",
"Cultivated area (arable land + permanent crops) (1000 ha)","Kiribati","World | Oceania",2016,34.0,"E",
"Cultivated area (arable land + permanent crops) (1000 ha)","Marshall Islands","World | Oceania",2016,8.5,"E",
"Cultivated area (arable land + permanent crops) (1000 ha)","Micronesia (Federated States of)","World | Oceania",2016,19.0,"E",
"Cultivated area (arable land + permanent crops) (1000 ha)","Nauru","World | Oceania",2016,0.4,"E",
"Cultivated area (arable land + permanent crops) (1000 ha)","New Zealand","World | Oceania",2016,645.0,"E",
"Cultivated area (arable land + permanent crops) (1000 ha)","Niue","World | Oceania",2016,4.0,"E",
"Cultivated area (arable land + permanent crops) (1000 ha)","Palau","World | Oceania",2016,3.0,"E",
"Cultivated area (arable land + permanent crops) (1000 ha)","Samoa","World | Oceania",2016,30.0,"E",
"Cultivated area (arable land + permanent crops) (1000 ha)","Solomon Islands","World | Oceania",2016,100.0,"E",
"Cultivated area (arable land + permanent crops) (1000 ha)","Tokelau","World | Oceania",2016,0.6,"E",
"Cultivated area (arable land + permanent crops) (1000 ha)","Tonga","World | Oceania",2016,29.0,"E",
"Cultivated area (arable land + permanent crops) (1000 ha)","Tuvalu","World | Oceania",2016,1.8,"E",
"Cultivated area (arable land + permanent crops) (1000 ha)","Vanuatu","World | Oceania",2016,145.0,"E",

"",,,,"2013-2017",,
"% of total country area cultivated (%)","Algeria","World | Africa",2016,3.534,"E",
"% of total country area cultivated (%)","Angola","World | Africa",2016,4.163,"E",
"% of total country area cultivated (%)","Benin","World | Africa",2016,27.88,"E",
"% of total country area cultivated (%)","Botswana","World | Africa",2016,0.4497,"E",
"% of total country area cultivated (%)","Burkina Faso","World | Africa",2016,22.24,"E",
"% of total country area cultivated (%)","Burundi","World | Africa",2016,55.7,"E",
"% of total country area cultivated (%)","Cabo Verde","World | Africa",2016,13.4,"E",
"% of total country area cultivated (%)","Cameroon","World | Africa",2016,16.3,"E",
"% of total country area cultivated (%)","Central African Republic","World | Africa",2016,3.018,"E",
"% of total country area cultivated (%)","Chad","World | Africa",2016,3.843,"E",
"% of total country area cultivated (%)","Comoros","World | Africa",2016,63.41,"E",
"% of total country area cultivated (%)","Congo","World | Africa",2016,1.833,"E",
"% of total country area cultivated (%)","Côte d'Ivoire","World | Africa",2016,22.95,"E",
"% of total country area cultivated (%)","Democratic Republic of the Congo","World | Africa",2016,3.412,"E",
"% of total country area cultivated (%)","Djibouti","World | Africa",2016,0.0862,"E",
"% of total country area cultivated (%)","Egypt","World | Africa",2016,3.729,"E",
"% of total country area cultivated (%)","Equatorial Guinea","World | Africa",2016,6.417,"E",
"% of total country area cultivated (%)","Eritrea","World | Africa",2016,5.884,"E",
"% of total country area cultivated (%)","Eswatini","World | Africa",2016,10.94,"E",
"% of total country area cultivated (%)","Ethiopia","World | Africa",2016,14.72,"E",
"% of total country area cultivated (%)","Gabon","World | Africa",2016,1.849,"E",
"% of total country area cultivated (%)","Gambia","World | Africa",2016,39.38,"E",
"% of total country area cultivated (%)","Ghana","World | Africa",2016,31.02,"E",
"% of total country area cultivated (%)","Guinea","World | Africa",2016,15.46,"E",
"% of total country area cultivated (%)","Guinea-Bissau","World | Africa",2016,15.22,"E",
"% of total country area cultivated (%)","Kenya","World | Africa",2016,10.91,"E",
"% of total country area cultivated (%)","Lesotho","World | Africa",2016,11.76,"E",
"% of total country area cultivated (%)","Liberia","World | Africa",2016,6.285,"E",
"% of total country area cultivated (%)","Libya","World | Africa",2016,1.165,"E",
"% of total country area cultivated (%)","Madagascar","World | Africa",2016,7.015,"E",
"% of total country area cultivated (%)","Malawi","World | Africa",2016,33.25,"E",
"% of total country area cultivated (%)","Mali","World | Africa",2016,5.29,"E",
"% of total country area cultivated (%)","Mauritania","World | Africa",2016,0.4473,"E",
"% of total country area cultivated (%)","Mauritius","World | Africa",2016,38.73,"E",
"% of total country area cultivated (%)","Morocco","World | Africa",2016,21.48,"E",
"% of total country area cultivated (%)","Mozambique","World | Africa",2016,7.566,"E",
"% of total country area cultivated (%)","Namibia","World | Africa",2016,0.9815,"E",
"% of total country area cultivated (%)","Niger","World | Africa",2016,13.34,"E",
"% of total country area cultivated (%)","Nigeria","World | Africa",2016,43.84,"E",
"% of total country area cultivated (%)","Rwanda","World | Africa",2016,53.23,"E",
"% of total country area cultivated (%)","Sao Tome and Principe","World | Africa",2016,49.69,"E",
"% of total country area cultivated (%)","Senegal","World | Africa",2016,16.61,"E",
"% of total country area cultivated (%)","Seychelles","World | Africa",2016,3.37,"E",
"% of total country area cultivated (%)","Sierra Leone","World | Africa",2016,24.19,"E",
"% of total country area cultivated (%)","Somalia","World | Africa",2016,1.764,"E",
"% of total country area cultivated (%)","South Africa","World | Africa",2016,10.59,"E",
"% of total country area cultivated (%)","South Sudan","World | Africa",,,"",
"% of total country area cultivated (%)","Sudan","World | Africa",2016,10.64,"K",
"% of total country area cultivated (%)","Togo","World | Africa",2016,49.66,"E",
"% of total country area cultivated (%)","Tunisia","World | Africa",2016,31.98,"E",
"% of total country area cultivated (%)","Uganda","World | Africa",2016,37.67,"E",
"% of total country area cultivated (%)","United Republic of Tanzania","World | Africa",2016,16.52,"E",
"% of total country area cultivated (%)","Zambia","World | Africa",2016,5.097,"E",
"% of total country area cultivated (%)","Zimbabwe","World | Africa",2016,10.49,"E",
"% of total country area cultivated (%)","Antigua and Barbuda","World | Americas",2016,11.36,"E",
"% of total country area cultivated (%)","Argentina","World | Americas",2016,14.46,"E",
"% of total country area cultivated (%)","Bahamas","World | Americas",2016,0.8646,"E",
"% of total country area cultivated (%)","Barbados","World | Americas",2016,18.6,"E",
"% of total country area cultivated (%)","Belize","World | Americas",2016,4.789,"E",
"% of total country area cultivated (%)","Bolivia (Plurinational State of)","World | Americas",2016,4.265,"E",
"% of total country area cultivated (%)","Brazil","World | Americas",2016,10.28,"E",
"% of total country area cultivated (%)","Canada","World | Americas",2016,4.848,"E",
"% of total country area cultivated (%)","Chile","World | Americas",2016,2.282,"E",
"% of total country area cultivated (%)","Colombia","World | Americas",2016,3.149,"E",
"% of total country area cultivated (%)","Costa Rica","World | Americas",2016,10.95,"E",
"% of total country area cultivated (%)","Cuba","World | Americas",2016,31.6,"E",
"% of total country area cultivated (%)","Dominica","World | Americas",2016,30.67,"E",
"% of total country area cultivated (%)","Dominican Republic","World | Americas",2016,23.73,"E",
"% of total country area cultivated (%)","Ecuador","World | Americas",2016,9.42,"E",
"% of total country area cultivated (%)","El Salvador","World | Americas",2016,45.01,"E",
"% of total country area cultivated (%)","Grenada","World | Americas",2016,20.59,"E",
"% of total country area cultivated (%)","Guatemala","World | Americas",2016,18.78,"E",
"% of total country area cultivated (%)","Guyana","World | Americas",2016,2.186,"E",
"% of total country area cultivated (%)","Haiti","World | Americas",2016,48.65,"E",
"% of total country area cultivated (%)","Honduras","World | Americas",2016,13.11,"E",
"% of total country area cultivated (%)","Jamaica","World | Americas",2016,19.56,"E",
"% of total country area cultivated (%)","Mexico","World | Americas",2016,12.82,"E",
"% of total country area cultivated (%)","Nicaragua","World | Americas",2016,13.73,"E",
"% of total country area cultivated (%)","Panama","World | Americas",2016,9.918,"E",
"% of total country area cultivated (%)","Paraguay","World | Americas",2016,12.01,"E",
"% of total country area cultivated (%)","Peru","World | Americas",2016,3.802,"E",
"% of total country area cultivated (%)","Puerto Rico","World | Americas",2016,12.51,"E",
"% of total country area cultivated (%)","Saint Kitts and Nevis","World | Americas",2016,19.62,"E",
"% of total country area cultivated (%)","Saint Lucia","World | Americas",2016,16.13,"E",
"% of total country area cultivated (%)","Saint Vincent and the Grenadines","World | Americas",2016,20.51,"E",
"% of total country area cultivated (%)","Suriname","World | Americas",2016,0.4334,"E",
"% of total country area cultivated (%)","Trinidad and Tobago","World | Americas",2016,9.162,"E",
"% of total country area cultivated (%)","United States of America","World | Americas",2016,15.75,"E",
"% of total country area cultivated (%)","Uruguay","World | Americas",2016,13.9,"E",
"% of total country area cultivated (%)","Venezuela (Bolivarian Republic of)","World | Americas",2016,3.728,"E",
"% of total country area cultivated (%)","Afghanistan","World | Asia",2016,12.12,"E",
"% of total country area cultivated (%)","Armenia","World | Asia",2016,16.96,"E",
"% of total country area cultivated (%)","Azerbaijan","World | Asia",2016,25.87,"E",
"% of total country area cultivated (%)","Bahrain","World | Asia",2016,5.913,"E",
"% of total country area cultivated (%)","Bangladesh","World | Asia",2016,58.21,"E",
"% of total country area cultivated (%)","Bhutan","World | Asia",2016,2.761,"E",
"% of total country area cultivated (%)","Brunei Darussalam","World | Asia",2016,1.906,"E",
"% of total country area cultivated (%)","Cambodia","World | Asia",2016,21.85,"E",
"% of total country area cultivated (%)","China","World | Asia",2016,14.14,"E",
"% of total country area cultivated (%)","Democratic People's Republic of Korea","World | Asia",2016,21.4,"E",
"% of total country area cultivated (%)","Georgia","World | Asia",2016,6.514,"E",
"% of total country area cultivated (%)","India","World | Asia",2016,51.55,"E",
"% of total country area cultivated (%)","Indonesia","World | Asia",2016,24.04,"E",
"% of total country area cultivated (%)","Iran (Islamic Republic of)","World | Asia",2016,9.442,"E",
"% of total country area cultivated (%)","Iraq","World | Asia",2016,12.18,"E",
"% of total country area cultivated (%)","Israel","World | Asia",2016,17.76,"E",
