year.decimal,Greenland Mass Gt,Greenland Mass Gt (1-sigma uncertainty)
2014.02,-3330.41,22.93
2014.2,-3279.29,17.07
2014.29,-3266.3,17.46
2014.37,-3266.76,17.76
2014.45,-3305.22,19.27
2014.62,-3588.41,18.08
2014.71,-3625.13,17.47
2014.79,-3608.9,16.66
2014.88,-3605.42,16.71
2015.06,-3519.47,19.55
2015.12,-3526.36,33.53
2015.2,-3480.75,15.05
2015.29,-3471.78,15.84
2015.32,-3468.73,16.95
2015.53,-3654.08,18.02
2015.62,-3789.36,17.47
2015.7,-3825.65,19.26
2015.98,-3770.22,20.01
2016.04,-3713.74,18.43
2016.12,-3737.09,17.34
2016.21,-3736.39,17.48
2016.38,-3704.79,18.71
2016.46,-3702.37,17.74
2016.54,-3873.33,18.46
2016.64,-4128.51,21.23
2016.91,-4000.94,41.3
2016.98,-4068.43,41.14
2017.06,-4014.36,41.13
2017.25,-4006.34,40.96
2017.31,-3973.91,40.29
2017.36,-3965.24,39.47
2017.44,-3996.52,39.04
2018.45,-4047.29,19.72
2018.52,-4071.26,18.77
2018.83,-4211.44,18.44
2018.87,-4177.63,16.78
2018.96,-4188.96,16.18
2019.04,-4193.83,15.93
2019.12,-4219.91,16.17
2019.2,-4240.66,15.93
2019.29,-4225.33,15.82
2019.37,-4206.87,15.82
2019.45,-4262.63,15.84
2019.54,-4464.52,15.73
2019.62,-4693.82,15.83
2019.71,-4786.16,16.03
2019.79,-4770.77,15.75
2019.87,-4728.74,15.75
2019.96,-4733.38,15.84
2020.04,-4771.08,15.99
2020.12,-4725.02,16.11
2020.21,-4760.09,15.91
2020.29,-4750.86,15.75
2020.37,-4723.58,15.72
2020.46,-4761.35,15.87
2020.54,-4914.59,15.77
2020.62,-4996.51,15.76
2020.71,-5001.69,15.87
2020.79,-4934.89,15.76
2020.87,-4930.1,15.86
2020.96,-4908.4,15.91
2021.04,-4848.04,16.66
2021.12,-4910.1,17.48
2021.2,-4905.38,18.37
2021.29,-4884.29,19.14
2021.37,-4929.89,19.93
2021.46,-4924.62,21.2
2021.54,-4961.86,21.94
2021.62,-5099.91,22.64
2021.71,-5149.26,28.91
2021.79,-5189.94,35.53
2021.87,-5151.97,43.02
2021.96,-5122.36,51.03
